Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"5,395,849","3,311,133","3,513,544","1,241,710","466,785","213,194",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),79.041%,-5.761%,182.960%,166.013%,118.948%,3.495%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"10,998,978","10,416,789","11,968,428","27,794,879","18,880,751","12,764,804",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-5,603,129","-7,105,656","-8,454,884","-26,553,169","-18,413,966","-12,551,610",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,591,617","7,475,722","11,336,120","12,924,826","10,471,846","9,977,196",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,591,617","7,475,722","11,336,120","12,924,826","10,471,846","9,977,196",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,194,746","-14,581,378","-19,791,004","-39,477,995","-28,885,812","-22,528,806",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"564,603","539,158","248,063","5,700","148,742","1,082,842",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"31,000","18,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,630,143","-14,042,220","-19,542,941","-39,472,295","-28,706,070","-21,427,964",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-232,974","-2,406,576",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,630,143","-14,042,220","-19,775,915","-41,878,871","-28,706,070","-21,427,964",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,675","3,675",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-9,633,818","-14,045,895","-19,775,915","-41,878,871","-28,706,070","-21,427,964",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-62,939","5,809,081","-10,154,779",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-9,696,757","-8,236,814","-29,930,694","-41,878,871","-28,706,070","-21,427,964",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,696,757","-8,236,814","-29,930,694","-41,878,871","-28,706,070","-21,427,964",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,908,492","8,809,382","8,351,003","7,650,567","4,703,986","4,558,773",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,908,492","8,809,382","8,351,003","7,650,567","4,703,986","4,558,773",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.631%,5.489%,9.155%,62.640%,3.185%,138.780%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.088,-0.935,-3.584,-5.474,-6.102,-4.700,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.088,-0.935,-3.586,-5.474,-6.102,-4.700,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,574,773","-16,439,961","-26,972,153","-30,410,896","-29,287,578","-18,659,276",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.963,-1.866,-3.230,-3.975,-6.226,-4.093,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-103.841%,-214.599%,-240.637%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-188.937%,-440.374%,-563.278%,-3179.325%,-6188.248%,-10567.280%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-179.708%,-248.761%,-851.866%,-3372.677%,-6149.741%,-10050.923%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-158.914%,-496.506%,-767.662%,-2449.114%,-6274.319%,-8752.252%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,"-11,792,272","-17,001,898","-37,329,012","-28,400,171","-22,423,683",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,"2,789,106","2,789,106","2,148,983","485,641","105,123",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-10,194,746","-14,581,378","-19,791,004","-39,477,995","-28,885,812","-22,528,806",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"5,395,849","3,311,133","3,513,544","1,241,710","466,785","213,194",Upgrade,Financials in USD,Fiscal year is January - December
