Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"8,541,000","8,056,000","7,679,000","7,190,000","7,338,000","6,081,000","10,380,000","7,162,000","2,340,000","1,790,000","14,186,000","1,520,000","10,114,000","1,905,000","1,806,000","1,547,000","171,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),16.394%,32.478%,-26.021%,0.391%,213.590%,239.721%,-26.829%,371.184%,-76.864%,-6.037%,685.493%,-1.745%,5814.620%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,067,000","20,188,000","24,874,000","27,269,000","1,974,000","20,330,000","28,139,000","21,716,000","19,050,000","21,495,000","19,160,000","18,014,000","19,831,000","18,562,000","18,591,000","12,444,000","11,306,000","11,752,000","15,004,000","14,276,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"6,474,000","-12,132,000","-17,195,000","-20,079,000","5,364,000","-14,249,000","-17,759,000","-14,554,000","-16,710,000","-19,705,000","-4,974,000","-16,494,000","-9,717,000","-16,657,000","-16,785,000","-10,897,000","-11,135,000","-11,752,000","-15,004,000","-14,276,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,573,000","16,710,000","18,626,000","15,358,000","14,868,000","15,722,000","15,204,000","14,658,000","13,389,000","17,061,000","11,737,000","12,722,000","9,452,000","6,828,000","10,376,000","6,606,000","4,564,000","4,130,000","3,850,000","3,160,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"14,981,000","1,444,000",-,-,"22,142,000","1,468,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,964,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"27,554,000","18,154,000","18,626,000","15,358,000","37,010,000","17,190,000","15,204,000","14,658,000","13,389,000","17,061,000","11,737,000","12,722,000","9,452,000","6,828,000","10,376,000","6,606,000","4,564,000","4,130,000","3,850,000","1,196,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-21,080,000","-30,286,000","-35,821,000","-35,437,000","-31,646,000","-31,439,000","-32,963,000","-29,212,000","-30,099,000","-36,766,000","-16,711,000","-29,216,000","-19,169,000","-23,485,000","-27,161,000","-17,503,000","-15,699,000","-15,882,000","-18,854,000","-15,472,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,843,000","-4,617,000","-4,346,000","-4,298,000","-4,242,000","-4,208,000","-4,147,000","-3,690,000","-2,634,000","-2,656,000","-1,692,000","-1,553,000","-678,000","-351,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
