Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"276,920,000","288,945,000","883,001,000","799,240,000","284,098,000","143,140,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-33.991%,-67.277%,10.480%,181.325%,98.476%,15.591%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"148,540,000","148,743,000","168,957,000","140,561,000","79,649,000","66,849,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"128,380,000","140,202,000","714,044,000","658,679,000","204,449,000","76,291,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","154,906,000","147,290,000","125,759,000","100,064,000","94,245,000","48,354,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"19,254,000","17,280,000","18,369,000","15,219,000","6,423,000","3,627,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"174,160,000","164,570,000","144,128,000","115,283,000","100,668,000","51,981,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-45,780,000","-24,368,000","569,916,000","543,396,000","103,781,000","24,310,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-51,837,000","-45,892,000","-20,414,000","-30,260,000","-30,740,000","-29,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"28,826,000","27,727,000","2,338,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"668,854,000","667,549,000","-4,460,000","6,380,000","126,000","118,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"600,063,000","625,016,000","547,380,000","519,516,000","73,167,000","-5,531,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-9,346,000","-10,566,000","-3,500,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"11,249,000","19,002,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"4,728,000","3,286,000","7,592,000",-,"-7,592,000","-322,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"441,206,000","617,736,000","551,472,000","530,765,000","81,696,000","-5,853,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"764,315,000","756,111,000","60,809,000","61,515,000","2,880,000","-652,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-323,109,000","-138,375,000","490,663,000","469,250,000","78,816,000","-5,201,000",Upgrade,Financials in USD,Fiscal year is January - December
