Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
"Selling, General & Admin","1,358,000","1,509,000","1,581,000","1,257,000","1,375,000","1,754,000","1,648,000","1,514,000","1,715,000","1,889,000","2,152,000","2,055,000","2,277,000","2,075,000","2,104,000","1,906,000","1,906,000","1,629,000","1,609,000","1,722,000",Upgrade,Financials in GBP,Fiscal year is January - December
Research & Development,"3,736,000","6,769,000","6,783,000","6,859,000","7,439,000","3,959,000","6,805,000","13,188,000","7,386,000","6,406,000","9,446,000","10,634,000","8,971,000","8,523,000","8,706,000","7,981,000","6,117,000","5,863,000","5,938,000","5,177,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Expenses,"5,094,000","8,278,000","8,364,000","8,116,000","8,814,000","5,713,000","8,453,000","14,702,000","9,101,000","8,295,000","11,598,000","12,689,000","11,248,000","10,598,000","10,810,000","9,887,000","8,023,000","7,492,000","7,547,000","6,899,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Income,"-5,094,000","-8,278,000","-8,364,000","-8,116,000","-8,814,000","-5,713,000","-8,453,000","-14,702,000","-9,101,000","-8,295,000","-11,598,000","-12,689,000","-11,248,000","-10,598,000","-10,810,000","-9,887,000","-8,023,000","-7,492,000","-7,547,000","-6,899,000",Upgrade,Financials in GBP,Fiscal year is January - December
Interest Expense,-,-,-,"-29,000",-,-,-,"-21,000",-,-,-,"-18,000",-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"72,000","85,000","126,000","137,000","152,000","178,000","287,000","289,000","216,000","132,000","31,000","22,000","22,000","35,000","24,000","12,000","26,000","64,000","144,000","182,000",Upgrade,Financials in GBP,Fiscal year is January - December
Currency Exchange Gain (Loss),"-229,000","-74,000","95,000","-459,000","562,000","-564,000","-695,000","-2,233,000","2,912,000","3,077,000","1,131,000","-221,000","1,274,000","-109,000","-677,000","-4,082,000","-1,601,000","84,000","2,127,000","-2,210,000",Upgrade,Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,251,000","-8,267,000","-8,143,000","-8,467,000","-8,100,000","-6,099,000","-8,861,000","-16,667,000","-5,973,000","-5,086,000","-10,436,000","-12,906,000","-9,952,000","-10,672,000","-11,463,000","-13,957,000","-9,598,000","-7,344,000","-5,276,000","-8,927,000",Upgrade,Financials in GBP,Fiscal year is January - December
Asset Writedown,-,-,-,"-503,000",-,-,-,"-292,000",-,-,-,"-2,809,000",-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Pretax Income,"-5,251,000","-8,267,000","-8,143,000","-8,970,000","-8,100,000","-6,099,000","-8,861,000","-16,959,000","-5,973,000","-5,086,000","-10,436,000","-15,715,000","-9,952,000","-10,672,000","-11,463,000","-13,957,000","-9,598,000","-7,344,000","-5,276,000","-8,927,000",Upgrade,Financials in GBP,Fiscal year is January - December
Income Tax Expense,"-740,000","-1,272,000","-1,305,000","-1,315,000","-1,404,000","-685,000","-994,000","-1,760,000","-1,445,000","-1,194,000","-2,033,000","-2,071,000","-1,911,000","-1,585,000","-1,702,000","-1,696,000","-1,204,000","-1,283,000","-1,310,000","-1,219,000",Upgrade,Financials in GBP,Fiscal year is January - December
Net Income,"-4,511,000","-6,995,000","-6,838,000","-7,655,000","-6,696,000","-5,414,000","-7,867,000","-15,199,000","-4,528,000","-3,892,000","-8,403,000","-13,644,000","-8,041,000","-9,087,000","-9,761,000","-12,261,000","-8,394,000","-6,061,000","-3,966,000","-7,708,000",Upgrade,Financials in GBP,Fiscal year is January - December
Net Income to Common,"-4,511,000","-6,995,000","-6,838,000","-7,655,000","-6,696,000","-5,414,000","-7,867,000","-15,199,000","-4,528,000","-3,892,000","-8,403,000","-13,644,000","-8,041,000","-9,087,000","-9,761,000","-12,261,000","-8,394,000","-6,061,000","-3,966,000","-7,708,000",Upgrade,Financials in GBP,Fiscal year is January - December
