Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,-,-,-,-,"41,175,600",-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"12,398,965","12,705,253","14,649,087","16,838,947","22,039,440","39,124,354",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-12,398,965","-12,705,253","-14,649,087","-16,838,947","19,136,160","-39,124,354",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,861,788","10,414,323","10,582,239","13,326,710","17,289,413","17,740,742",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,237,421",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,099,209","10,414,323","10,582,239","13,326,710","17,289,413","17,740,742",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-24,498,174","-23,119,576","-25,231,326","-30,165,657","1,846,747","-56,865,096",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,752,375","-8,282,947","-7,406,555","-6,327,321",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,391,513","1,437,405","556,946","16,516","161,207","1,456,019",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-31,556","-40,235","-27,741","-32,846","-67,183","-28,545",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,311,546","-30,005,353","-32,108,676","-36,509,308","1,940,771","-55,437,622",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-15,200,000",-,"-19,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,311,546","-30,005,353","-32,108,676","-51,709,308","1,940,771","-74,437,622",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-1,803,356",-,"-2,254,132",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,311,546","-30,005,353","-32,108,676","-49,905,952","1,940,771","-72,183,490",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,311,546","-30,005,353","-32,108,676","-49,905,952","1,940,771","-72,183,490",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,571,901","6,506,372","5,340,194","5,340,196","5,102,965","4,876,788",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,571,901","6,506,372","5,340,194","5,340,196","5,114,609","4,876,788",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),27.339%,21.838%,-0.000%,4.411%,4.877%,0.572%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.437,-4.612,-6.013,-9.345,0.380,-14.801,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.442,-4.612,-6.013,-9.345,0.380,-14.801,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-20,375,168","-14,784,732","-24,661,469","-24,601,872","-33,822,023","-43,432,223",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.691,-2.272,-4.618,-4.607,-6.613,-8.906,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,46.474%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,4.485%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,4.713%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-82.141%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-24,492,731","-23,114,134",-,"-30,149,646","1,862,758","-56,847,629",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,4.524%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,443","5,442",-,"16,011","16,011","17,467",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-24,498,174","-23,119,576","-25,231,326","-30,165,657","1,846,747","-56,865,096",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,4.485%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"41,175,600",-,Upgrade,Financials in USD,Fiscal year is January - December
