Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","Nov '23 Nov 30, 2023","Nov '22 Nov 30, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020","Nov '19 Nov 30, 2019",2018,,
Revenue,"56,424,000","76,987,000","38,627,000","29,750,000","17,820,000","31,115,000",Upgrade,Financials in USD,Fiscal year is December - November
Revenue Growth (YoY),-17.762%,99.309%,29.839%,66.947%,-42.729%,-16.914%,Upgrade,Financials in USD,Fiscal year is December - November
Cost of Revenue,"204,121,000","189,148,000","184,497,000","116,434,000","66,494,000","45,025,000",Upgrade,Financials in USD,Fiscal year is December - November
Gross Profit,"-147,697,000","-112,161,000","-145,870,000","-86,684,000","-48,674,000","-13,910,000",Upgrade,Financials in USD,Fiscal year is December - November
"Selling, General & Admin","46,007,000","42,902,000","37,997,000","31,202,000","16,309,000","8,326,000",Upgrade,Financials in USD,Fiscal year is December - November
Operating Expenses,"46,007,000","42,902,000","37,997,000","31,202,000","16,309,000","8,326,000",Upgrade,Financials in USD,Fiscal year is December - November
Operating Income,"-193,704,000","-155,063,000","-183,867,000","-117,886,000","-64,983,000","-22,236,000",Upgrade,Financials in USD,Fiscal year is December - November
Interest & Investment Income,"16,990,000","11,115,000","3,507,000","823,000","1,206,000","776,000",Upgrade,Financials in USD,Fiscal year is December - November
Pretax Income,"-176,714,000","-143,948,000","-180,360,000","-117,063,000","-63,777,000","-21,460,000",Upgrade,Financials in USD,Fiscal year is December - November
Income Tax Expense,"262,000",-,-,"131,000","-20,535,000","239,000",Upgrade,Financials in USD,Fiscal year is December - November
Net Income,"-176,976,000","-143,948,000","-180,360,000","-117,194,000","-43,242,000","-21,699,000",Upgrade,Financials in USD,Fiscal year is December - November
Net Income to Common,"-176,976,000","-143,948,000","-180,360,000","-117,194,000","-43,242,000","-21,699,000",Upgrade,Financials in USD,Fiscal year is December - November
Shares Outstanding (Basic),"61,205,413","54,337,901","48,607,990","42,895,383","15,673,424","3,292,514",Upgrade,Financials in USD,Fiscal year is December - November
Shares Outstanding (Diluted),"61,205,413","54,337,901","48,607,990","42,895,383","15,673,424","3,292,514",Upgrade,Financials in USD,Fiscal year is December - November
Shares Change (YoY),13.026%,11.788%,13.318%,173.682%,376.032%,16.872%,Upgrade,Financials in USD,Fiscal year is December - November
EPS (Basic),-2.892,-2.649,-3.711,-2.732,-2.759,-6.590,Upgrade,Financials in USD,Fiscal year is December - November
EPS (Diluted),-2.892,-2.649,-3.711,-2.732,-2.759,-6.590,Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow,"-106,897,000","-89,766,000","-172,051,000","-90,026,000","-4,633,000","-1,050,000",Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow Per Share,-1.747,-1.652,-3.540,-2.099,-0.296,-0.319,Upgrade,Financials in USD,Fiscal year is December - November
Gross Margin,-261.763%,-145.688%,-,-291.375%,-273.142%,-44.705%,Upgrade,Financials in USD,Fiscal year is December - November
Operating Margin,-343.301%,-201.415%,-476.006%,-396.255%,-364.663%,-71.464%,Upgrade,Financials in USD,Fiscal year is December - November
Profit Margin,-313.654%,-186.977%,-466.927%,-393.929%,-242.660%,-69.738%,Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow Margin,-189.453%,-116.599%,-445.416%,-302.608%,-25.999%,-3.375%,Upgrade,Financials in USD,Fiscal year is December - November
EBITDA,"-186,401,000","-148,930,000","-179,718,000","-115,896,000","-62,803,000","-19,882,000",Upgrade,Financials in USD,Fiscal year is December - November
EBITDA Margin,-,-193.448%,-,-,-,-63.898%,Upgrade,Financials in USD,Fiscal year is December - November
D&A For EBITDA,"7,303,000","6,133,000","4,149,000","1,990,000","2,180,000","2,354,000",Upgrade,Financials in USD,Fiscal year is December - November
EBIT,"-193,704,000","-155,063,000","-183,867,000","-117,886,000","-64,983,000","-22,236,000",Upgrade,Financials in USD,Fiscal year is December - November
EBIT Margin,-,-201.415%,-,-,-,-71.464%,Upgrade,Financials in USD,Fiscal year is December - November
Revenue as Reported,"56,424,000","76,987,000","38,627,000",-,-,-,Upgrade,Financials in USD,Fiscal year is December - November
