Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","946,000","1,461,000","1,112,000","390,000","1,272,000","1,008,000","1,543,000","-334,000","1,613,000","1,720,000","1,968,000","1,599,000","361,000","453,000","92,000","138,500","138,500","58,000","58,000",Financials in USD,Fiscal year is January - December
Research & Development,"1,161,000","1,569,000","1,882,000","1,644,000","1,625,000","1,712,000","2,098,000","715,000","1,706,000","1,870,000","1,296,000","46,000","519,000","498,000","2,019,000","980,500","980,500","267,000","267,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,107,000","3,030,000","2,994,000","2,034,000","2,897,000","2,720,000","3,641,000","381,000","3,319,000","3,590,000","3,264,000","1,645,000","880,000","951,000","2,111,000","1,119,000","1,119,000","325,000","325,000",Financials in USD,Fiscal year is January - December
Operating Income,"-2,107,000","-3,030,000","-2,994,000","-2,034,000","-2,897,000","-2,720,000","-3,641,000","-381,000","-3,319,000","-3,590,000","-3,264,000","-1,645,000","-880,000","-951,000","-2,111,000","-1,119,000","-1,119,000","-325,000","-325,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-41,000",-,"-2,410,000","-3,715,000","-12,000","-62,000","-310,000","-960,000","-10,000","-35,000","-23,000","-3,000","-8,000",-,"-13,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"2,173,000",-,"2,208,000","3,693,000","101,000","62,000","68,000","335,000","144,000","572,000","1,000",-,"23,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"21,000",-,-,-,"-22,000",-,-,-,"-32,000",-,-,-,"16,500","16,500","14,000","14,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"1,743,000",-,-,-,"-7,000",-,-,-,"1,578,000",-,-,-,-500,-500,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,148,000","-857,000","-5,404,000","-1,777,000","784,000","-2,681,000","-3,889,000","-1,302,000","-2,994,000","-3,481,000","-2,715,000","-101,000","-888,000","-928,000","-2,124,000","-1,103,000","-1,103,000","-311,000","-311,000",Financials in USD,Fiscal year is January - December
Net Income,"-2,148,000","-857,000","-5,404,000","-1,777,000","784,000","-2,681,000","-3,889,000","-1,302,000","-2,994,000","-3,481,000","-2,715,000","-101,000","-888,000","-928,000","-2,124,000","-1,103,000","-1,103,000","-311,000","-311,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,148,000","-857,000","-5,404,000","-1,777,000","784,000","-2,681,000","-3,889,000","-1,302,000","-2,994,000","-3,481,000","-2,715,000","-101,000","-888,000","-928,000","-2,124,000","-1,103,000","-1,103,000","-311,000","-311,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"19,209,134","18,142,359","15,405,253","17,168,105","10,146,483","11,952,748","11,784,848","11,835,829","11,592,853","11,595,138","10,994,264","7,825,173","5,825,295","5,740,254","5,582,922","5,583,978","5,583,978","5,454,144","5,454,144",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"19,209,134","18,142,359","15,405,253","17,168,105","10,146,483","11,952,748","11,784,848","11,835,829","11,592,853","11,595,138","10,994,264","7,825,173","5,825,295","5,740,254","5,582,922","5,583,978","5,583,978","5,454,144","5,454,144",Financials in USD,Fiscal year is January - December
Shares Change (YoY),89.318%,51.784%,30.721%,45.052%,-12.476%,3.084%,7.191%,51.253%,99.009%,101.997%,96.927%,40.136%,4.322%,5.246%,2.361%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.112,-0.047,-0.351,-0.104,0.077,-0.224,-0.330,-0.110,-0.258,-0.300,-0.247,-0.013,-0.152,-0.162,-0.380,-0.198,-0.198,-0.057,-0.057,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.112,-0.047,-0.351,-0.104,0.077,-0.224,-0.330,-0.110,-0.258,-0.300,-0.247,-0.013,-0.152,-0.162,-0.380,-0.198,-0.198,-0.057,-0.057,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-172,500","-172,500","-179,500","-179,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.031,-0.031,-0.033,-0.033,Financials in USD,Fiscal year is January - December
EBITDA,"-2,101,750","-3,024,500","-2,988,750","-2,028,750","-2,894,000","-2,715,500","-3,638,000","-378,000","-3,318,250","-3,569,500","-3,263,250","-1,644,250","-879,250","-950,250","-2,110,250","-1,118,250",-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,250","5,500","5,250","5,250","3,000","4,500","3,000","3,000",750,"20,500",750,750,750,750,750,750,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-2,107,000","-3,030,000","-2,994,000","-2,034,000","-2,897,000","-2,720,000","-3,641,000","-381,000","-3,319,000","-3,590,000","-3,264,000","-1,645,000","-880,000","-951,000","-2,111,000","-1,119,000","-1,119,000","-325,000","-325,000",Financials in USD,Fiscal year is January - December
