Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","12,779,000","14,216,000","27,308,000","74,944,000","11,436,000","2,767,590",Financials in USD,Fiscal year is January - December
Research & Development,"7,697,000","13,371,000","17,027,000","20,257,000","10,625,000","3,495,648",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"-771,000","-10,160,000",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,476,000","27,587,000","44,335,000","94,430,000","11,901,000","6,263,238",Financials in USD,Fiscal year is January - December
Operating Income,"-20,476,000","-27,587,000","-44,335,000","-94,430,000","-11,901,000","-6,263,238",Financials in USD,Fiscal year is January - December
Interest Expense,"-310,000","-120,000",-,"-18,000","-56,000","-303,057",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"114,000","494,000","249,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-809,000","20,000","255,000","1,692,000","-27,000","-162,866",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-21,481,000","-27,193,000","-43,831,000","-92,756,000","-11,984,000","-6,729,161",Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,101,000","-2,957,000","4,077,000","-307,000","-39,793,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,380,000","-30,150,000","-39,754,000","-93,063,000","-51,777,000","-6,729,161",Financials in USD,Fiscal year is January - December
Net Income,"-20,380,000","-30,150,000","-39,754,000","-93,063,000","-51,777,000","-6,729,161",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"9,000","9,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,389,000","-30,159,000","-39,754,000","-93,063,000","-51,777,000","-6,729,161",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"9,599,257","7,576,176","6,576,679","4,691,770","3,427,096","1,069,021",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"9,599,257","7,576,176","6,576,679","4,691,770","3,427,096","1,069,021",Financials in USD,Fiscal year is January - December
Shares Change (YoY),32.948%,15.198%,40.175%,36.902%,220.583%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.124,-3.981,-6.045,-19.835,-15.108,-6.295,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.124,-3.981,-6.045,-74.400,-15.108,-6.295,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,730,000","-21,660,000","-39,765,000","-37,710,000","-2,267,000","-5,545,877",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.222,-2.859,-6.046,-8.037,-0.661,-5.188,Financials in USD,Fiscal year is January - December
EBITDA,"-20,471,000","-27,582,000","-44,331,000","-94,428,000","-11,899,000","-6,262,379",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,000","5,000","4,000","2,000","2,000",859,Financials in USD,Fiscal year is January - December
EBIT,"-20,476,000","-27,587,000","-44,335,000","-94,430,000","-11,901,000","-6,263,238",Financials in USD,Fiscal year is January - December
