Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2016,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jan '24 Jan 31, 2024","Jan '23 Jan 31, 2023","Jan '22 Jan 31, 2022","Jan '21 Jan 31, 2021","Jan '20 Jan 31, 2020",2019 - 2016,,
Revenue,"2,021,771","2,085,314","2,079,609","1,422,154","943,702","370,647",Upgrade,Financials in USD,Fiscal year is February - January
Revenue Growth (YoY),-3.183%,0.274%,46.230%,50.699%,154.609%,51.109%,Upgrade,Financials in USD,Fiscal year is February - January
Cost of Revenue,"1,383,170","1,223,209","1,329,200","917,844","627,378","549,107",Upgrade,Financials in USD,Fiscal year is February - January
Gross Profit,"638,601","862,105","750,409","504,310","316,324","-178,460",Upgrade,Financials in USD,Fiscal year is February - January
"Selling, General & Admin","3,478,362","3,773,606","3,916,041","4,022,824","2,912,269","1,790,980",Upgrade,Financials in USD,Fiscal year is February - January
Research & Development,"3,192,648","1,960,425","982,227","411,383",-,-,Upgrade,Financials in USD,Fiscal year is February - January
Operating Expenses,"6,671,010","5,734,031","4,898,268","4,434,207","2,912,269","1,790,980",Upgrade,Financials in USD,Fiscal year is February - January
Operating Income,"-6,032,409","-4,871,926","-4,147,859","-3,929,897","-2,595,945","-1,969,440",Upgrade,Financials in USD,Fiscal year is February - January
Interest Expense,"-40,882","-75,815","-8,289","-118,421","-280,686","-73,413",Upgrade,Financials in USD,Fiscal year is February - January
Interest & Investment Income,"148,605","16,850",-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Other Non Operating Income (Expenses),-,-,-,-,"22,096","-678,774",Upgrade,Financials in USD,Fiscal year is February - January
EBT Excluding Unusual Items,"-5,924,686","-4,930,891","-4,156,148","-4,048,318","-2,854,535","-2,721,627",Upgrade,Financials in USD,Fiscal year is February - January
Impairment of Goodwill,-,-,"-327,326","-2,180,836",-,-,Upgrade,Financials in USD,Fiscal year is February - January
Other Unusual Items,"-922,459","-554,423",-,"53,028","-78,293",-,Upgrade,Financials in USD,Fiscal year is February - January
Pretax Income,"-6,847,145","-5,485,314","-4,483,474","-6,176,126","-2,932,828","-2,721,627",Upgrade,Financials in USD,Fiscal year is February - January
Net Income,"-6,847,145","-5,485,314","-4,483,474","-6,176,126","-2,932,828","-2,721,627",Upgrade,Financials in USD,Fiscal year is February - January
Preferred Dividends & Other Adjustments,-,-,-,"196,589",-,-,Upgrade,Financials in USD,Fiscal year is February - January
Net Income to Common,"-6,847,145","-5,485,314","-4,483,474","-6,372,715","-2,932,828","-2,721,627",Upgrade,Financials in USD,Fiscal year is February - January
Shares Outstanding (Basic),"9,910,368","7,954,105","8,459,547","7,932,895","6,732,768","6,327,949",Upgrade,Financials in USD,Fiscal year is February - January
Shares Outstanding (Diluted),"9,910,368","7,954,105","8,459,547","7,932,895","6,732,768","6,327,949",Upgrade,Financials in USD,Fiscal year is February - January
Shares Change (YoY),26.411%,-5.975%,6.639%,17.825%,6.397%,1.338%,Upgrade,Financials in USD,Fiscal year is February - January
EPS (Basic),-0.691,-0.690,-0.530,-0.803,-0.436,-0.430,Upgrade,Financials in USD,Fiscal year is February - January
EPS (Diluted),-0.691,-0.690,-0.530,-0.803,-0.436,-0.430,Upgrade,Financials in USD,Fiscal year is February - January
Free Cash Flow,"-4,246,740","-3,579,270","-3,066,502","-2,890,818","-297,055","-894,470",Upgrade,Financials in USD,Fiscal year is February - January
Free Cash Flow Per Share,-0.429,-0.450,-0.362,-0.364,-0.044,-0.141,Upgrade,Financials in USD,Fiscal year is February - January
Gross Margin,31.586%,41.342%,36.084%,35.461%,33.519%,-48.148%,Upgrade,Financials in USD,Fiscal year is February - January
Operating Margin,-298.373%,-233.630%,-199.454%,-276.334%,-275.081%,-531.352%,Upgrade,Financials in USD,Fiscal year is February - January
Profit Margin,-338.671%,-263.045%,-215.592%,-448.103%,-310.779%,-734.291%,Upgrade,Financials in USD,Fiscal year is February - January
Free Cash Flow Margin,-210.050%,-171.642%,-147.456%,-203.270%,-31.478%,-241.327%,Upgrade,Financials in USD,Fiscal year is February - January
EBITDA,"-5,750,870","-4,584,204","-3,817,716","-3,621,156","-2,435,837","-1,897,252",Upgrade,Financials in USD,Fiscal year is February - January
EBITDA Margin,-284.447%,-219.833%,-183.578%,-254.625%,-258.115%,-,Upgrade,Financials in USD,Fiscal year is February - January
D&A For EBITDA,"281,539","287,722","330,143","308,741","160,108","72,188",Upgrade,Financials in USD,Fiscal year is February - January
EBIT,"-6,032,409","-4,871,926","-4,147,859","-3,929,897","-2,595,945","-1,969,440",Upgrade,Financials in USD,Fiscal year is February - January
EBIT Margin,-298.373%,-233.630%,-199.454%,-276.334%,-275.081%,-,Upgrade,Financials in USD,Fiscal year is February - January
