Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","56,570,000","36,249,000","22,377,000","10,258,000","1,502,000","612,000",Financials in USD,Fiscal year is January - December
Research & Development,"183,936,000","113,243,000","63,731,000","35,559,000","15,403,000","9,746,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"240,506,000","149,492,000","86,108,000","45,817,000","16,905,000","10,358,000",Financials in USD,Fiscal year is January - December
Operating Income,"-240,506,000","-149,492,000","-86,108,000","-45,817,000","-16,905,000","-10,358,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"21,586,000","13,164,000","3,881,000","329,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-16,600,000",-,-,"-635,000","2,349,000","-1,451,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-235,520,000","-136,328,000","-82,227,000","-46,123,000","-14,556,000","-11,809,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"11,828,000","10,109,000","373,000","-215,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-223,692,000","-126,219,000","-81,854,000","-46,338,000","-14,556,000","-11,809,000",Financials in USD,Fiscal year is January - December
Net Income,"-224,285,000","-126,219,000","-81,854,000","-46,338,000","-14,556,000","-11,809,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-224,285,000","-126,219,000","-81,854,000","-46,338,000","-14,556,000","-11,809,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"64,167,731","58,223,339","49,668,864","21,783,754","2,867,221","1,823,559",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"64,167,731","58,223,339","49,668,864","21,783,754","2,867,221","1,823,559",Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.419%,17.223%,128.009%,659.751%,57.232%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.495,-2.168,-1.648,-2.127,-5.077,-6.476,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.495,-2.168,-1.648,-2.127,-5.077,-6.476,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-153,273,000","-99,739,000","-64,971,000","-40,000,000","-14,949,000","-9,639,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.389,-1.713,-1.308,-1.836,-5.214,-5.286,Financials in USD,Fiscal year is January - December
EBIT,"-240,506,000","-149,492,000","-86,108,000","-45,817,000","-16,905,000","-10,358,000",Financials in USD,Fiscal year is January - December
