Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","15,780,000","15,984,000","13,954,000","10,852,000","9,172,000","8,140,000","8,085,000","6,444,000","5,763,000","5,175,000","4,995,000","4,184,000","3,372,000","2,024,000","678,000","515,000","319,000","349,000","319,000",Financials in USD,Fiscal year is January - December
Research & Development,"60,551,000","49,166,000","38,634,000","35,585,000","29,611,000","25,922,000","22,125,000","22,855,000","14,625,000","13,558,000","12,693,000","13,194,000","9,055,000","7,826,000","5,484,000","4,699,000","3,721,000","3,657,000","3,326,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"76,331,000","65,150,000","52,588,000","46,437,000","38,783,000","34,062,000","30,210,000","29,299,000","20,388,000","18,733,000","17,688,000","17,378,000","12,427,000","9,850,000","6,162,000","5,214,000","4,040,000","4,006,000","3,645,000",Financials in USD,Fiscal year is January - December
Operating Income,"-76,331,000","-65,150,000","-52,588,000","-46,437,000","-38,783,000","-34,062,000","-30,210,000","-29,299,000","-20,388,000","-18,733,000","-17,688,000","-17,378,000","-12,427,000","-9,850,000","-6,162,000","-5,214,000","-4,040,000","-4,006,000","-3,645,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,626,000","8,154,000","5,107,000","6,053,000","5,138,000","4,972,000","2,480,000","2,343,000","672,000","267,000","415,000","329,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-16,600,000",-,-,-,-,-,-,-,-,-,-,"-25,000","1,000","12,000","-623,000","-1,366,000","-738,000","-4,551,000","9,004,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-84,305,000","-56,996,000","-47,481,000","-40,384,000","-33,645,000","-29,090,000","-27,730,000","-26,956,000","-19,716,000","-18,466,000","-17,273,000","-17,074,000","-12,426,000","-9,838,000","-6,785,000","-6,580,000","-4,778,000","-8,557,000","5,359,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"3,382,000","2,092,000",-,-,"2,538,000","833,000",-,-,"-276,000","-215,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-84,305,000","-56,996,000","-44,099,000","-38,292,000","-33,645,000","-29,090,000","-25,192,000","-26,123,000","-19,716,000","-18,466,000","-17,549,000","-17,289,000","-12,426,000","-9,838,000","-6,785,000","-6,580,000","-4,778,000","-8,557,000","5,359,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"40,000","170,000","383,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-84,345,000","-57,166,000","-44,482,000","-38,292,000","-33,645,000","-29,090,000","-25,192,000","-26,123,000","-19,716,000","-18,466,000","-17,549,000","-17,289,000","-12,426,000","-9,838,000","-6,785,000","-6,580,000","-4,778,000","-8,557,000","5,359,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-84,345,000","-57,166,000","-44,482,000","-38,292,000","-33,645,000","-29,090,000","-25,192,000","-26,123,000","-19,716,000","-18,466,000","-17,549,000","-17,289,000","-12,426,000","-9,838,000","-6,785,000","-6,580,000","-4,778,000","-8,557,000","5,359,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"65,678,693","64,605,308","64,150,588","62,183,325","57,091,394","56,866,991","56,703,873","53,616,336","48,410,514","48,319,067","48,284,778","48,268,256","32,066,089","3,106,152","3,085,009","3,072,154","3,042,398","3,037,974","2,313,680",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"65,678,693","64,605,308","64,150,588","62,183,325","57,091,394","56,866,991","56,703,873","53,616,336","48,410,514","48,319,067","48,284,778","48,268,256","32,066,089","3,106,152","3,085,009","3,072,154","3,042,398","3,037,974","2,313,680",Financials in USD,Fiscal year is January - December
Shares Change (YoY),15.041%,13.608%,13.133%,15.978%,17.932%,17.691%,17.436%,11.080%,50.971%,1455.592%,1465.142%,1471.154%,953.974%,2.244%,33.338%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.284,-0.885,-0.693,-0.616,-0.589,-0.512,-0.444,-0.487,-0.407,-0.382,-0.363,-0.358,-0.388,-3.167,-2.199,-2.142,-1.570,-2.817,2.316,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.284,-0.885,-0.693,-0.616,-0.589,-0.512,-0.444,-0.487,-0.407,-0.382,-0.363,-0.358,-0.388,-3.167,-2.199,-2.142,-1.570,-2.817,2.316,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-45,817,000","-41,160,000","-36,087,000","-30,209,000","-22,981,000","-22,135,000","-24,414,000","-17,779,000","-18,175,000","-15,475,000","-13,542,000","-12,955,000","-11,400,000","-9,712,000","-5,933,000","-4,937,000","-4,071,000","-2,946,000","-2,995,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.698,-0.637,-0.563,-0.486,-0.403,-0.389,-0.431,-0.332,-0.375,-0.320,-0.280,-0.268,-0.356,-3.127,-1.923,-1.607,-1.338,-0.970,-1.294,Financials in USD,Fiscal year is January - December
EBIT,"-76,331,000","-65,150,000","-52,588,000","-46,437,000","-38,783,000","-34,062,000","-30,210,000","-29,299,000","-20,388,000","-18,733,000","-17,688,000","-17,378,000","-12,427,000","-9,850,000","-6,162,000","-5,214,000","-4,040,000","-4,006,000","-3,645,000",Financials in USD,Fiscal year is January - December
