Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","7,577,000","7,517,000","6,007,000","3,349,000","24,000",Financials in USD,Fiscal year is January - December
Research & Development,"11,687,000","14,380,000","12,027,000","2,445,000",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,264,000","21,897,000","18,034,000","5,794,000","24,000",Financials in USD,Fiscal year is January - December
Operating Income,"-19,264,000","-21,897,000","-18,034,000","-5,794,000","-24,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"890,000","637,000","149,000","4,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,374,000","-21,260,000","-17,885,000","-5,790,000","-24,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,000,000","-1,000,000","-1,200,000","-7,100,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-19,374,000","-22,260,000","-19,085,000","-12,890,000","-24,000",Financials in USD,Fiscal year is January - December
Net Income,"-19,374,000","-22,260,000","-19,085,000","-12,890,000","-24,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,374,000","-22,260,000","-19,085,000","-12,890,000","-24,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"16,723,921","15,556,655","12,657,651","4,268,285","3,900,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"16,723,921","15,556,655","12,657,651","4,268,285","3,900,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.226%,22.903%,196.551%,9.443%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.158,-1.431,-1.508,-3.020,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.158,-1.431,-1.508,-3.020,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,632,000","-15,954,000","-13,559,000","-9,504,000",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.815,-1.026,-1.071,-2.227,-,Financials in USD,Fiscal year is January - December
EBIT,"-19,264,000","-21,897,000","-18,034,000","-5,794,000","-24,000",Financials in USD,Fiscal year is January - December
