Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,-,-,-,-,"22,378,000","6,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,252.576%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,"46,554,000","34,216,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"-24,176,000","-27,869,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,128,000","19,706,000","21,710,000","20,573,000","17,049,000","9,613,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"44,413,000","47,931,000","54,199,000","50,192,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"60,541,000","67,637,000","75,909,000","70,765,000","17,049,000","9,613,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-60,541,000","-67,637,000","-75,909,000","-70,765,000","-41,225,000","-37,482,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-77,000","-183,000","-209,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,565,000","4,914,000","1,167,000","1,396,000","4,735,000","3,954,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-55,976,000","-62,723,000","-74,742,000","-69,446,000","-36,673,000","-33,737,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"9,000","57,000","70,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-58,518,000","-62,723,000","-74,733,000","-69,389,000","-36,603,000","-33,737,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-58,518,000","-62,723,000","-74,733,000","-69,389,000","-36,603,000","-33,737,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-58,518,000","-62,723,000","-74,733,000","-69,389,000","-36,603,000","-33,737,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"27,938,568","27,836,584","27,744,209","27,615,977","27,532,177","15,695,461",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"27,938,568","27,836,584","27,744,209","27,615,977","27,532,177","15,695,461",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.482%,0.333%,0.464%,0.304%,75.415%,1045.783%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.095,-2.253,-2.694,-2.513,-1.329,-2.149,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.095,-2.253,-2.694,-2.513,-1.330,-2.149,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-45,027,000","-53,794,000","-56,002,000","-59,643,000","-52,086,000","-38,994,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.612,-1.932,-2.019,-2.160,-1.892,-2.484,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-108.035%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-184.221%,-590.547%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-163.567%,-531.542%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-232.755%,-614.369%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-57,526,000","-63,953,000","-71,785,000","-66,588,000","-37,812,000","-34,794,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-168.970%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,015,000","3,684,000","4,124,000","4,177,000","3,413,000","2,688,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-60,541,000","-67,637,000","-75,909,000","-70,765,000","-41,225,000","-37,482,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-184.221%,-,Upgrade,Financials in USD,Fiscal year is January - December
