Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"2,647,000","2,760,000","3,533,000","-782,000","5,703,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-26.493%,-21.879%,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"193,000","186,000","211,000","199,000","145,000",Financials in USD,Fiscal year is January - December
Gross Profit,"2,454,000","2,574,000","3,322,000","-981,000","5,558,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","22,215,000","20,258,000","14,034,000","7,928,000","10,833,000",Financials in USD,Fiscal year is January - December
Research & Development,"40,344,000","33,822,000","21,945,000","12,890,000","13,477,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"62,559,000","54,080,000","35,979,000","20,818,000","24,310,000",Financials in USD,Fiscal year is January - December
Operating Income,"-60,105,000","-51,506,000","-32,657,000","-21,799,000","-18,752,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-927,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,942,000","3,849,000","50,000",-,"331,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-11,000","-294,000","-1,350,000","699,000","-181,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-56,174,000","-47,951,000","-33,957,000","-22,027,000","-18,602,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-362,000","-18,000","1,031,000","-987,000","-2,753,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,151,000","-1,151,000","-682,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-57,687,000","-49,120,000","-33,608,000","-23,014,000","-21,355,000",Financials in USD,Fiscal year is January - December
Net Income,"-57,687,000","-49,120,000","-33,608,000","-23,014,000","-21,355,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-57,687,000","-49,120,000","-33,608,000","-23,014,000","-21,355,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"36,090,380","33,225,227","14,988,584","2,111,161","2,013,374",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"36,090,380","33,225,227","14,988,584","2,111,161","2,013,374",Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.336%,121.670%,609.969%,4.857%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.598,-1.478,-2.242,-10.901,-10.607,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.598,-1.478,-2.242,-10.901,-10.607,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-48,174,000","-46,205,000","-29,880,000","-19,703,000","-26,722,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.335,-1.391,-1.994,-9.333,-13.272,Financials in USD,Fiscal year is January - December
Gross Margin,92.709%,93.261%,94.028%,-,97.457%,Financials in USD,Fiscal year is January - December
Operating Margin,-2270.684%,-1866.159%,-924.342%,-,-328.809%,Financials in USD,Fiscal year is January - December
Profit Margin,-2179.335%,-1779.710%,-951.260%,-,-374.452%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1819.947%,-1674.094%,-845.740%,-,-468.560%,Financials in USD,Fiscal year is January - December
EBITDA,"-59,809,000","-51,219,000","-32,435,000","-21,618,000","-18,615,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"296,000","287,000","222,000","181,000","137,000",Financials in USD,Fiscal year is January - December
EBIT,"-60,105,000","-51,506,000","-32,657,000","-21,799,000","-18,752,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,647,000","2,760,000","3,533,000","-782,000","5,703,000",Financials in USD,Fiscal year is January - December
