Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q4 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","768,000","682,000","569,000","-643,000","2,350,000","2,804,000","4,994,000","777,000","1,315,000","3,708,000","1,912,000","4,984,000","18,526,000","835,000","12,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,"26,000","-17,000","305,000","28,000","393,000","161,000","1,858,000","3,192,000","3,198,000","3,194,000","25,413,000","49,000",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"768,000","682,000","595,000","-660,000","2,655,000","2,832,000","5,387,000","938,000","3,173,000","6,900,000","5,110,000","8,178,000","43,939,000","884,000","12,000",Financials in USD,Fiscal year is January - December
Operating Income,"-768,000","-682,000","-595,000","660,000","-2,655,000","-2,832,000","-5,387,000","-938,000","-3,173,000","-6,900,000","-5,110,000","-8,178,000","-43,939,000","-884,000","-12,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-461,000","-515,000","-637,000","-500,000","-293,000","-668,000","-301,000","-1,117,000","-61,000","-49,000","-16,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-484,000","-573,000","-2,245,000","-708,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,"1,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,815,000","-15,464,000","16,476,000","-16,308,000","-10,915,000","-7,028,000","-52,451,000","1,072,000","-434,000","-384,000","-249,000","-1,000",-,"-1,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,528,000","-17,234,000","12,999,000","-16,856,000","-13,863,000","-10,528,000","-58,139,000","-983,000","-3,668,000","-7,333,000","-5,375,000","-8,178,000","-43,939,000","-885,000","-12,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-224,000","-903,000","-13,953,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,528,000","-17,234,000","12,999,000","-16,856,000","-14,087,000","-11,431,000","-72,092,000","-983,000","-3,668,000","-7,333,000","-5,375,000","-8,178,000","-43,939,000","-885,000","-12,000",Financials in USD,Fiscal year is January - December
Net Income,"-5,528,000","-17,234,000","12,999,000","-16,856,000","-14,087,000","-11,431,000","-72,092,000","-983,000","-3,668,000","-7,333,000","-5,375,000","-8,178,000","-43,939,000","-885,000","-12,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,528,000","-17,234,000","12,999,000","-16,856,000","-14,087,000","-11,431,000","-72,092,000","-983,000","-3,668,000","-7,333,000","-5,375,000","-8,178,000","-43,939,000","-885,000","-12,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"27,487,283","27,487,283","27,344,486","27,228,876","26,605,147","26,469,619","24,822,033","23,355,432","23,355,432","23,355,432","23,355,432","17,496,353","17,460,099","17,454,542","17,454,545",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"27,487,283","27,487,283","27,344,486","27,228,876","26,605,147","26,469,619","24,822,033","23,355,432","23,355,432","23,355,432","23,355,432","17,496,353","17,460,099","17,454,542","17,454,545",Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.316%,3.845%,10.162%,16.585%,13.914%,13.334%,6.279%,33.487%,33.765%,33.807%,33.807%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.201,-0.627,0.475,-0.619,-0.529,-0.432,-2.904,-0.042,-0.157,-0.314,-0.230,-0.467,-2.517,-0.051,-0.001,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.201,-0.627,0.475,-0.619,-0.529,-0.432,-2.904,-0.042,-0.157,-0.314,-0.230,-0.467,-2.517,-0.051,-0.001,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-885,000","-290,000","-485,000","-866,000","-1,130,000","-4,782,000","-2,651,000","-33,000","-442,000","-151,000","-367,000","-142,000","-117,000","-20,000",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.032,-0.011,-0.018,-0.032,-0.042,-0.181,-0.107,-0.001,-0.019,-0.006,-0.016,-0.008,-0.007,-0.001,-,Financials in USD,Fiscal year is January - December
EBIT,"-768,000","-682,000","-595,000","660,000","-2,655,000","-2,832,000","-5,387,000","-938,000","-3,173,000","-6,900,000","-5,110,000","-8,178,000","-43,939,000","-884,000","-12,000",Financials in USD,Fiscal year is January - December
