Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"4,700,000","6,036,000","2,488,000",-,"43,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-33.942%,142.605%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"31,615,000","39,573,000","56,159,000","35,108,000","6,354,000","8,086,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-26,915,000","-33,537,000","-53,671,000","-35,108,000","-6,311,000","-8,086,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","25,527,000","31,994,000","35,400,000","22,920,000","7,974,000","6,077,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"25,527,000","31,994,000","35,400,000","22,920,000","7,974,000","6,077,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-52,442,000","-65,531,000","-89,071,000","-58,028,000","-14,285,000","-14,163,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-721,000","-1,768,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,300,000","2,500,000","1,400,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,000","-47,000","867,000","-54,000","184,000","-3,971,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-51,144,000","-63,078,000","-86,804,000","-58,082,000","-14,822,000","-19,902,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-335,000",-,"-341,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-51,144,000","-63,078,000","-86,804,000","-58,417,000","-21,822,000","-20,243,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-52,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-51,144,000","-63,078,000","-86,804,000","-58,365,000","-21,822,000","-20,243,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"12,546,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-51,144,000","-63,078,000","-86,804,000","-58,365,000","-34,368,000","-20,243,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"262,387,677","244,327,057","214,600,051","195,013,043","112,236,110","13,893,819",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"262,387,677","244,327,057","214,600,051","195,013,043","112,236,110","13,893,819",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.559%,13.852%,10.044%,73.752%,707.813%,180.086%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.195,-0.258,-0.404,-0.299,-0.306,-1.457,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.197,-0.260,-0.404,-0.299,-0.306,-1.457,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-49,174,000","-72,530,000","-64,536,000","-49,007,000","-15,016,000","-16,923,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.187,-0.297,-0.301,-0.251,-0.134,-1.218,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1115.787%,-1085.669%,-3580.024%,-,-33220.930%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1088.170%,-1045.030%,-3488.907%,-,-79925.581%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1046.255%,-1201.624%,-2593.891%,-,-34920.930%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-50,893,000","-64,827,000","-88,591,000","-57,799,000","-14,183,000","-14,102,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,549,000","704,000","480,000","229,000","102,000","61,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-52,442,000","-65,531,000","-89,071,000","-58,028,000","-14,285,000","-14,163,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"4,700,000","6,036,000","2,488,000",-,"43,000",-,Upgrade,Financials in USD,Fiscal year is January - December
