Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","May '23 May 31, 2023","Feb '23 Feb 28, 2023","Nov '22 Nov 30, 2022","Aug '22 Aug 31, 2022","May '22 May 31, 2022","Feb '22 Feb 28, 2022","Nov '21 Nov 30, 2021","Aug '21 Aug 31, 2021","May '21 May 31, 2021","Feb '21 Feb 28, 2021","Nov '20 Nov 30, 2020","Aug '20 Aug 31, 2020","May '20 May 31, 2020","Feb '20 Feb 29, 2020","Nov '19 Nov 30, 2019","Aug '19 Aug 31, 2019",+20 Quarters,,
Revenue,"44,698,000","41,060,000","37,628,000","36,455,000","32,785,000","39,493,000","43,321,000","45,480,000","38,115,000","31,836,000","30,378,000","24,865,000","20,324,000","14,643,000","19,331,000","20,401,000","18,021,000","23,221,000","25,153,000","16,290,000",Upgrade,Financials in CAD,Fiscal year is October - September
Revenue Growth (YoY),36.337%,3.968%,-13.141%,-19.844%,-13.984%,24.051%,42.606%,82.908%,87.537%,117.414%,57.147%,21.881%,12.780%,-36.941%,-23.146%,25.236%,-27.188%,-13.786%,102.211%,409.381%,Upgrade,Financials in CAD,Fiscal year is October - September
Cost of Revenue,"27,482,000","27,052,000","28,028,000","29,755,000","37,482,000","29,691,000","19,435,000","31,232,000","30,473,000","22,767,000","29,768,000","21,514,000","18,205,000","31,838,000","36,005,000","50,926,000","60,372,000","11,933,000","13,959,000","27,347,000",Upgrade,Financials in CAD,Fiscal year is October - September
Gross Profit,"17,216,000","14,008,000","9,600,000","6,700,000","-4,697,000","9,802,000","23,886,000","14,248,000","7,642,000","9,069,000","610,000","3,351,000","2,119,000","-17,195,000","-16,674,000","-30,525,000","-42,351,000","11,288,000","11,194,000","-11,057,000",Upgrade,Financials in CAD,Fiscal year is October - September
"Selling, General & Admin","14,300,000","14,797,000","21,971,000","18,162,000","19,033,000","17,297,000","17,445,000","18,153,000","18,207,000","14,835,000","13,318,000","13,295,000","13,444,000","11,275,000","10,893,000","11,542,000","11,353,000","15,314,000","11,040,000","13,885,000",Upgrade,Financials in CAD,Fiscal year is October - September
Research & Development,"1,667,000","2,460,000","2,606,000","4,467,000","3,463,000","3,348,000","2,383,000","2,390,000","1,373,000","1,184,000","1,015,000","1,342,000","890,000","802,000","646,000",-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Operating Expenses,"16,933,000","19,056,000","24,577,000","22,629,000","23,698,000","20,645,000","19,828,000","20,543,000","19,580,000","16,019,000","14,333,000","14,637,000","14,334,000","12,077,000","11,539,000","11,542,000","11,353,000","15,314,000","11,040,000","16,033,000",Upgrade,Financials in CAD,Fiscal year is October - September
Operating Income,"283,000","-5,048,000","-14,977,000","-15,929,000","-28,395,000","-10,843,000","4,058,000","-6,295,000","-11,938,000","-6,950,000","-13,723,000","-11,286,000","-12,215,000","-29,272,000","-28,213,000","-42,067,000","-53,704,000","-4,026,000","154,000","-27,090,000",Upgrade,Financials in CAD,Fiscal year is October - September
Interest Expense,-,"-52,000","-65,000","-48,000","-64,000","-63,000","-41,000","-168,000","-88,000","-90,000","-83,000","-454,000","-436,000","-800,000","-1,588,000","-956,000","-1,409,000","-1,135,000","-865,000","-785,000",Upgrade,Financials in CAD,Fiscal year is October - September
Interest & Investment Income,"960,000","1,231,000","715,000","570,000","967,000","1,114,000","856,000","532,000","322,000","307,000","326,000","422,000","185,000","131,000","116,000","172,000","47,000","162,000",-,"170,000",Upgrade,Financials in CAD,Fiscal year is October - September
Earnings From Equity Investments,"-4,895,000","-122,000","-112,000","-155,000","-287,000","-296,000","-406,000","-528,000","-193,000","-499,000","-144,000","-217,000","-315,000","-344,000","-242,000","-210,000","-428,000","-294,000","-256,000","-339,000",Upgrade,Financials in CAD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-7,803,000","-807,000","-87,000","-238,000",-,-,"1,030,000","3,415,000","5,904,000",-,-,"6,001,000","7,305,000","-37,659,000","-5,475,000",-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
EBT Excluding Unusual Items,"-11,455,000","-4,798,000","-14,526,000","-15,800,000","-27,779,000","-10,088,000","5,497,000","-3,044,000","-5,993,000","-7,232,000","-13,624,000","-5,534,000","-5,476,000","-67,944,000","-35,402,000","-43,061,000","-55,494,000","-5,293,000","-967,000","-28,044,000",Upgrade,Financials in CAD,Fiscal year is October - September
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,770,000","-7,865,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-72,000","-950,000",Upgrade,Financials in CAD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,"-24,000","707,000","-50,000",-,"54,000","69,000","-382,000","-837,000","-553,000","-4,879,000","-311,000","-2,426,000",-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Asset Writedown,-,-,-,-,"-191,242,000",-,-,"-2,245,000",-,"-2,000,000",-,"-10,834,000",-,-,-,"-2,031,000","-37,740,000",-,-,"-613,000",Upgrade,Financials in CAD,Fiscal year is October - September
Legal Settlements,-,-,-,-,-,"75,000",-,-,"310,000",-,-,"-1,050,000","-470,000","-500,000","-730,000",-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Other Unusual Items,"6,076,000","6,909,000","-12,529,000","50,000","4,214,000","2,457,000","-18,000","-317,000","3,576,000","9,967,000","12,630,000","-6,127,000","1,938,000","2,055,000","1,796,000","4,731,000","1,253,000","-2,238,000","378,000","864,000",Upgrade,Financials in CAD,Fiscal year is October - September
Pretax Income,"-5,403,000","2,818,000","-27,105,000","-15,750,000","-214,753,000","-7,487,000","5,097,000","-6,443,000","-2,479,000","-4,144,000","-1,305,000","-25,971,000","-4,008,000","-66,389,000","-34,336,000","-38,591,000","-99,846,000","-7,531,000","-661,000","-28,743,000",Upgrade,Financials in CAD,Fiscal year is October - September
Income Tax Expense,"30,000",-,"-30,000",-,"-1,302,000","1,000","-232,000","-299,000","308,000","-97,000",-,-,-,-,-,-,"-9,975,000","-698,000","202,000","-6,289,000",Upgrade,Financials in CAD,Fiscal year is October - September
Earnings From Continuing Operations,"-5,433,000","2,818,000","-27,075,000","-15,750,000","-213,451,000","-7,488,000","5,329,000","-6,144,000","-2,787,000","-4,047,000","-1,305,000","-25,971,000","-4,008,000","-66,389,000","-34,336,000","-38,591,000","-89,871,000","-6,833,000","-863,000","-22,454,000",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income,"-5,433,000","2,818,000","-27,075,000","-15,750,000","-213,451,000","-7,488,000","5,329,000","-6,144,000","-2,787,000","-4,047,000","-1,305,000","-25,971,000","-4,008,000","-66,389,000","-34,336,000","-38,591,000","-89,871,000","-6,833,000","-863,000","-22,454,000",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income to Common,"-5,433,000","2,818,000","-27,075,000","-15,750,000","-213,451,000","-7,488,000","5,329,000","-6,144,000","-2,787,000","-4,047,000","-1,305,000","-25,971,000","-4,008,000","-66,389,000","-34,336,000","-38,591,000","-89,871,000","-6,833,000","-863,000","-22,454,000",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Basic),"69,432,741","104,370,370","91,161,616","81,185,567","315,289,512","78,000,000","78,367,647","74,136,827","77,416,666","77,826,923","81,562,500","74,809,046","71,945,778","58,163,696","50,504,906","48,520,623","43,842,757","41,219,281","39,059,122","38,987,287",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Diluted),"69,432,741","108,384,615","91,161,616","81,185,567","315,289,512","78,000,000","78,367,647","74,136,827","77,416,666","77,826,923","81,562,500","74,809,046","71,945,778","58,163,696","50,504,906","48,520,623","43,842,757","41,886,733","39,059,122","38,987,287",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Change (YoY),-77.978%,38.955%,16.326%,9.508%,307.263%,0.222%,-3.917%,-0.899%,7.604%,33.807%,61.494%,54.180%,64.100%,38.859%,29.304%,24.452%,17.098%,28.929%,3.429%,18.681%,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Basic),-0.078,0.027,-0.297,-0.194,-0.677,-0.096,0.068,-0.083,-0.036,-0.052,-0.016,-0.347,-0.056,-1.141,-0.680,-0.795,-2.050,-0.166,-0.022,-0.576,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Diluted),-0.078,0.026,-0.297,-0.194,-0.677,-0.096,0.068,-0.083,-0.036,-0.052,-0.016,-0.347,-0.056,-1.141,-0.680,-0.798,-2.050,-0.166,-0.024,-0.576,Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow,"7,083,000","-4,680,000","-9,423,000","6,161,000","-13,578,000","-25,285,000","-4,910,000","-35,537,000","-23,570,000","-9,507,000","-16,345,000","-13,073,000","-13,507,000","-12,247,000","-1,519,000","-16,254,000","-16,110,000","-45,383,000","-44,601,000","-48,462,000",Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow Per Share,0.102,-0.043,-0.103,0.076,-0.043,-0.324,-0.063,-0.479,-0.304,-0.122,-0.200,-0.175,-0.188,-0.211,-0.030,-0.335,-0.367,-1.083,-1.142,-1.243,Upgrade,Financials in CAD,Fiscal year is October - September
