Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
"Selling, General & Admin","7,320,000","4,819,000","3,904,000",Financials in USD,Fiscal year is January - December
Research & Development,"38,259,000","32,115,000","25,862,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"45,579,000","36,934,000","29,766,000",Financials in USD,Fiscal year is January - December
Operating Income,"-45,579,000","-36,934,000","-29,766,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,130,000","1,623,000","254,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-44,686,000","-35,311,000","-29,512,000",Financials in USD,Fiscal year is January - December
Net Income,"-44,686,000","-35,311,000","-29,512,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-44,686,000","-35,311,000","-29,512,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,346,042","12,043,375",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,346,042","12,043,375",-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.348,-2.932,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.348,-2.932,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-34,853,000","-34,792,000","-28,087,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.611,-2.889,-,Financials in USD,Fiscal year is January - December
EBITDA,"-45,123,000","-36,517,000","-29,537,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"456,000","417,000","229,000",Financials in USD,Fiscal year is January - December
EBIT,"-45,579,000","-36,934,000","-29,766,000",Financials in USD,Fiscal year is January - December
