Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
"Selling, General & Admin","1,396,000","3,591,000","1,265,000","1,403,000","1,120,000","1,229,000",Financials in USD,Fiscal year is January - December
Research & Development,"10,116,000","10,752,000","8,566,000","8,253,000","7,514,000","7,523,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"11,512,000","14,343,000","9,831,000","9,656,000","8,634,000","8,752,000",Financials in USD,Fiscal year is January - December
Operating Income,"-11,512,000","-14,343,000","-9,831,000","-9,656,000","-8,634,000","-8,752,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-218,000","-26,000",-,"-6,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"174,000","230,000","295,000","668,000","451,000","73,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-11,556,000","-14,139,000","-9,536,000","-8,994,000","-8,183,000","-8,679,000",Financials in USD,Fiscal year is January - December
Net Income,"-11,556,000","-14,139,000","-9,536,000","-8,994,000","-8,183,000","-8,679,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,556,000","-14,139,000","-9,536,000","-8,994,000","-8,183,000","-8,679,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,398,233","13,370,466","13,308,014","13,257,550","13,265,671","8,300,078",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,398,233","13,370,466","13,308,014","13,257,550","13,265,671","8,300,078",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.999%,61.088%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.863,-1.057,-0.717,-0.678,-0.617,-1.046,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.863,-1.057,-0.717,-0.678,-0.617,-1.046,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,679,000","-6,483,000","-10,638,000","-12,022,000","-11,153,000","-4,564,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.797,-0.485,-0.799,-0.907,-0.841,-0.550,Financials in USD,Fiscal year is January - December
EBITDA,"-11,395,000","-14,231,000","-9,717,000","-9,549,000","-8,535,000","-8,654,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"117,000","112,000","114,000","107,000","99,000","98,000",Financials in USD,Fiscal year is January - December
EBIT,"-11,512,000","-14,343,000","-9,831,000","-9,656,000","-8,634,000","-8,752,000",Financials in USD,Fiscal year is January - December
