Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","4,395,000","4,421,000","4,456,000","4,544,000","3,889,000","3,612,000","5,776,000","5,635,000","5,595,000","6,239,000","7,245,000","5,782,000","5,239,000","4,612,000","4,758,000","3,842,000","3,195,000","539,000","248,000","107,000",Financials in USD,Fiscal year is January - December
Research & Development,"33,226,000","29,109,000","29,883,000","25,872,000","19,453,000","17,989,000","21,026,000","21,584,000","17,627,000","27,054,000","16,009,000","15,975,000","12,523,000","11,910,000","10,692,000","6,289,000","4,673,000","1,947,000","795,000","910,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"37,621,000","33,530,000","34,339,000","30,416,000","23,342,000","21,601,000","26,802,000","27,219,000","23,222,000","33,293,000","23,254,000","21,757,000","17,762,000","16,522,000","15,450,000","10,131,000","7,868,000","2,486,000","1,043,000","1,017,000",Financials in USD,Fiscal year is January - December
Operating Income,"-37,621,000","-33,530,000","-34,339,000","-30,416,000","-23,342,000","-21,601,000","-26,802,000","-27,219,000","-23,222,000","-33,293,000","-23,254,000","-21,757,000","-17,762,000","-16,522,000","-15,450,000","-10,131,000","-7,868,000","-2,486,000","-1,043,000","-1,017,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-653,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,928,000","3,108,000","3,352,000","3,551,000","1,919,000","1,550,000","1,305,000","973,000","622,000","415,000","218,000","109,000","105,000","117,000","111,000","1,000","23,000","33,000","3,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"138,000","40,000","17,000","93,000","-79,000","-44,000","11,000","67,000","-120,000","20,000","6,000","10,000","-56,000","-1,000",-,"-1,000","1,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-34,555,000","-30,382,000","-30,970,000","-26,772,000","-21,502,000","-20,095,000","-25,486,000","-26,179,000","-22,720,000","-32,858,000","-23,030,000","-21,638,000","-17,713,000","-16,406,000","-15,339,000","-10,131,000","-7,844,000","-2,453,000","-1,693,000","-1,017,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,"-2,800,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
