Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"455,038,000","433,140,000","450,893,000","467,359,000","338,298,000","260,981,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"455,038,000","433,140,000","450,893,000","467,359,000","338,298,000","260,981,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),1.344%,-3.937%,-3.523%,38.150%,29.626%,34.909%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"112,459,000","106,481,000","105,019,000","114,199,000","87,319,000","75,948,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"342,579,000","326,659,000","345,874,000","353,160,000","250,979,000","185,033,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","280,120,000","265,958,000","281,540,000","249,481,000","203,372,000","200,088,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"50,511,000","44,380,000","39,762,000","30,742,000","20,086,000","14,799,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"330,631,000","310,338,000","321,302,000","280,223,000","223,458,000","214,887,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"11,948,000","16,321,000","24,572,000","72,937,000","27,521,000","-29,854,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,107,000","-2,190,000","-2,009,000","-7,236,000","-11,279,000","-8,996,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"22,000","57,000","-13,000","-13,000","97,000","2,153,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"9,863,000","14,188,000","22,550,000","65,688,000","16,339,000","-36,697,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,918,000","-3,796,000","-2,268,000","-4,704,000","-618,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-22,801,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"2,102,000","2,043,000","-1,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,856,000","10,392,000","20,282,000","63,086,000","17,764,000","-38,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-7,476,000","5,447,000","4,750,000","-31,116,000","530,000","150,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-7,380,000","4,945,000","15,532,000","94,202,000","17,234,000","-38,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-7,380,000","4,945,000","15,532,000","94,202,000","17,234,000","-38,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-7,380,000","4,945,000","15,532,000","94,202,000","17,234,000","-38,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"568,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,380,000","4,945,000","15,532,000","94,202,000","17,234,000","-39,277,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-68.163%,-83.512%,446.606%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"132,064,808","131,231,317","130,070,231","128,331,022","107,737,936","92,840,401",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"132,064,808","132,746,727","132,383,152","133,662,659","111,360,831","92,840,401",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.373%,0.275%,-0.957%,20.027%,19.949%,33.933%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.056,0.038,0.119,0.734,0.160,-0.423,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.056,0.038,0.119,0.700,0.150,-0.423,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-68.445%,-82.941%,366.666%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"3,890,000","6,553,000","-9,039,000","30,758,000","-12,212,000","-39,512,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.029,0.049,-0.068,0.230,-0.110,-0.426,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,75.286%,75.416%,76.709%,75.565%,74.189%,70.899%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,2.626%,3.768%,5.450%,15.606%,8.135%,-11.439%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1.622%,1.142%,3.445%,20.156%,5.094%,-15.050%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,0.855%,1.513%,-2.005%,6.581%,-3.610%,-15.140%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"28,737,000","31,687,000","35,300,000","83,667,000","35,704,000","-20,028,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,6.315%,7.316%,7.829%,17.902%,10.554%,-7.674%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"16,789,000","15,366,000","10,728,000","10,730,000","8,183,000","9,826,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"11,948,000","16,321,000","24,572,000","72,937,000","27,521,000","-29,854,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,2.626%,3.768%,5.450%,15.606%,8.135%,-11.439%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,52.415%,23.420%,-,2.983%,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"5,225,000","4,812,000","5,522,000","2,722,000","1,059,000",Upgrade,Financials in USD,Fiscal year is January - December
