Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","7,116,000","7,077,000","7,030,000","6,947,000","6,294,000","6,205,000","6,162,000","5,824,000","5,971,000","6,862,000","6,430,000","6,060,000","5,557,000","5,540,000","4,856,000","4,297,000","3,800,000","3,400,000","1,925,000","1,811,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"31,202,000","28,940,000","21,960,000","24,481,000","22,388,000","18,787,000","19,516,000","16,295,000","14,723,000","13,834,000","16,828,000","16,745,000","12,899,000","15,517,000","11,697,000","12,113,000","8,831,000","7,723,000","7,254,000","6,960,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"38,318,000","36,017,000","28,990,000","31,428,000","28,682,000","24,992,000","25,678,000","22,119,000","20,694,000","20,696,000","23,258,000","22,805,000","18,456,000","21,057,000","16,553,000","16,410,000","12,631,000","11,123,000","9,179,000","8,771,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-38,318,000","-36,017,000","-28,990,000","-31,428,000","-28,682,000","-24,992,000","-25,678,000","-22,119,000","-20,694,000","-20,696,000","-23,258,000","-22,805,000","-18,456,000","-21,057,000","-16,553,000","-16,410,000","-12,631,000","-11,123,000","-9,179,000","-8,771,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,752,000","4,054,000","3,979,000","3,098,000","3,204,000","2,048,000","1,733,000","1,272,000","865,000","409,000","99,000","34,000","30,000","33,000","44,000","30,000","10,000","25,000","241,000","343,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,"15,000",-,"-7,000","44,000","74,000","66,000","74,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-34,566,000","-31,963,000","-25,011,000","-28,330,000","-25,478,000","-22,944,000","-23,945,000","-20,847,000","-19,829,000","-20,287,000","-23,159,000","-22,771,000","-18,426,000","-21,009,000","-16,509,000","-16,387,000","-12,577,000","-11,024,000","-8,872,000","-8,354,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-34,566,000","-31,963,000","-25,011,000","-28,330,000","-25,478,000","-22,944,000","-23,945,000","-20,847,000","-24,829,000","-20,287,000","-23,159,000","-22,771,000","-18,426,000","-21,009,000","-16,509,000","-28,259,000","-25,548,000","-11,024,000","-8,872,000","-8,354,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-34,566,000","-31,963,000","-25,011,000","-28,330,000","-25,478,000","-22,944,000","-23,945,000","-20,847,000","-24,829,000","-20,287,000","-23,159,000","-22,771,000","-18,426,000","-21,009,000","-16,509,000","-28,259,000","-25,548,000","-11,024,000","-8,872,000","-8,354,000",Upgrade,Financials in USD,Fiscal year is January - December
