Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Nov '20 Nov 30, 2020","Aug '20 Aug 31, 2020","May '20 May 31, 2020","Feb '20 Feb 29, 2020","Nov '19 Nov 30, 2019",+20 Quarters,,
Revenue,-,-,-,-,-,"674,000","666,000","681,000","682,000","674,000","666,000","690,000","682,000","674,000","666,000","674,000","681,000","681,000","674,000","674,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,0%,0%,-1.304%,0%,0%,0%,2.374%,0.147%,-1.028%,-1.187%,0%,0%,-0.147%,1.201%,0%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,"674,000","666,000","681,000","682,000","674,000","666,000","690,000","682,000","674,000","666,000","674,000","681,000","681,000","674,000","674,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","847,000","1,693,000","1,783,000","2,111,000","1,936,000","2,644,000","1,447,000","3,144,000","3,524,000","2,912,000","6,082,000","7,470,000","2,081,000","1,926,000","1,102,000","727,000","730,000","1,030,000","1,391,000","1,081,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,242,000","1,442,000","1,179,000","1,766,000","957,000","1,821,000","4,427,000","7,277,000","5,347,000","9,179,000","5,836,000","11,659,000","6,086,000","3,198,000","6,168,000","5,774,000","2,968,000","1,925,000","3,320,000","2,022,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,089,000","3,135,000","2,962,000","3,877,000","2,893,000","4,465,000","5,874,000","10,421,000","8,871,000","12,091,000","11,918,000","19,129,000","8,167,000","5,124,000","7,270,000","6,501,000","3,698,000","2,955,000","4,711,000","3,103,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,089,000","-3,135,000","-2,962,000","-3,877,000","-2,893,000","-3,791,000","-5,208,000","-9,740,000","-8,189,000","-11,417,000","-11,252,000","-18,439,000","-7,485,000","-4,450,000","-6,604,000","-5,827,000","-3,017,000","-2,274,000","-4,037,000","-2,429,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-261,000","-592,000","-1,211,000","-826,000",-,-,-,-,-,-,-,"-51,000",-,-,-,-,"-10,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"14,234,000","1,536,000","3,707,000","435,000","2,478,000","1,597,000","1,149,000","1,036,000","350,000","544,000","172,000",-,"541,000","541,000","269,000","142,000",-,"349,000","189,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-124,000",-,-,-,"176,000",-,-,-,"-33,000",-,-,-,-,"-6,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-15,420,000",-,-,"-1,400,000",-,-,-,"-9,000",-,-,-,"-9,000",-,-,-,"150,000","-6,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
