Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Cost of Revenue,"12,523,001","11,201,754",-,"4,529,358","4,944,066","11,101,504",-,"9,862,424","40,052,789","205,410","1,820,261","9,872,476","9,934,757","8,545,279","8,529,393","11,948,581","7,623,339","8,488,143","4,383,214","5,847,302",Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"-12,523,001","-11,201,754",-,"-4,529,358","-4,944,066","-11,101,504",-,"-9,862,424","-40,052,789","-205,410","-1,820,261","-9,872,476","-9,934,757","-8,545,279","-8,529,393","-11,948,581","-7,623,339","-8,488,143","-4,383,214","-5,847,302",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","10,354,450","8,360,933","5,431,041","5,793,764","7,514,953","7,039,901","6,292,982","5,825,604","4,998,009","5,774,769","6,689,914","3,277,205","3,500,763","2,929,717","4,095,891","2,242,354","2,390,377","3,286,739","1,957,175","2,336,724",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,-,-,"13,508,934",-,-,-,"544,948",-,"-31,063,266","11,043,781","10,399,405",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"10,354,450","8,360,933","18,939,975","5,793,764","7,514,953","7,039,901","6,837,930","5,825,604","-26,065,257","16,818,550","17,089,319","3,277,205","3,500,763","2,929,717","4,095,891","2,242,354","2,390,377","3,286,739","1,957,175","2,336,724",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-22,877,451","-19,562,687","-18,939,975","-10,323,122","-12,459,019","-18,141,405","-6,837,930","-15,688,028","-13,987,532","-17,023,960","-18,909,580","-13,149,681","-13,435,520","-11,474,996","-12,625,284","-14,190,935","-10,013,716","-11,774,882","-6,340,389","-8,184,026",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,-,-,"-3,084,035",-,-206,-303,-,"-2,448,591","-360,648","-356,947","-418,327","-351,534","-269,182","-256,873","-250,409","-159,663","-19,031","-443,624","-696,151","-597,665",Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,"239,951","404,593",-,"188,677","306,021","395,537","187,794",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Equity Investments,"-15,198","-57,497","-30,595","2,548","-8,350","-7,188","-16,965","21,505","-7,226","-11,805","-6,044","-23,655","389,006","-435,346",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"28,851,979","56,061,778","-83,712,385","-53,342","13,793","-11,749","18,615","30,260","11,181","229,714","-25,013","87,543","-88,670","-29,332","-228,828","-105,316","110,326","-127,506","1,759,801","239,323",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"6,199,281","36,846,187","-105,766,990","-10,185,239","-12,147,761","-17,765,108","-6,648,486","-18,084,854","-14,344,225","-17,162,998","-19,358,964","-13,437,327","-13,404,366","-12,196,547","-13,104,521","-14,455,914","-9,922,421","-12,346,012","-5,276,739","-8,542,368",Upgrade,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-104,296","-423,328",-,Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,"-508,000","7,563,000","-8,519,153","-993,000","-843,000","-2,910,000","-3,000","-577,659",-,"-376,963","-343,585","-1,025,402",-,-,-,-,-,"6,164,284",-,"-8,060,580",Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"5,691,281","44,409,187","-114,286,143","-11,178,239","-12,990,761","-20,675,108","-6,651,486","-18,662,513","-14,344,225","-17,539,961","-19,702,549","-14,462,729","-13,404,366","-12,196,547","-13,104,521","-14,455,914","-9,922,421","-6,286,024","-5,700,067","-16,602,948",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,-,-,"2,800",-,-,-,"2,800",-,800,-,"2,000",-,-,-,"2,000",-,-805,"-3,271,157",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"5,691,281","44,409,187","-114,288,943","-11,178,239","-12,990,761","-20,675,108","-6,654,286","-18,662,513","-14,345,025","-17,539,961","-19,704,549","-14,462,729","-13,404,366","-12,196,547","-13,106,521","-14,455,914","-9,921,616","-3,014,867","-5,700,067","-16,602,948",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"5,691,281","44,409,187","-114,288,943","-11,178,239","-12,990,761","-20,675,108","-6,654,286","-18,662,513","-14,345,025","-17,539,961","-19,704,549","-14,462,729","-13,404,366","-12,196,547","-13,106,521","-14,455,914","-9,921,616","-3,014,867","-5,700,067","-16,602,948",Upgrade,Financials in USD,Fiscal year is October - September
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,759,524","1,874,736",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"5,691,281","44,409,187","-114,288,943","-11,178,239","-12,990,761","-20,675,108","-6,654,286","-18,662,513","-14,345,025","-17,539,961","-19,704,549","-14,462,729","-13,404,366","-12,196,547","-13,106,521","-14,455,914","-9,921,616","-3,014,867","-17,459,591","-18,477,684",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"23,726,930","23,227,069","14,270,289","13,012,876","13,003,415","12,844,079","12,833,330","11,370,527","11,049,681","11,024,891","10,953,395","9,407,896","8,506,129","8,421,034","7,536,510","6,087,478","6,097,772","4,537,891","2,394,789","1,495,064",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"23,726,930","25,476,438","14,270,289","13,012,876","13,003,415","12,844,079","12,833,330","11,370,527","11,049,681","11,024,891","10,953,395","9,407,896","8,506,129","8,421,034","7,536,510","6,087,478","6,097,772","4,537,891","2,394,789","1,495,064",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),82.467%,98.352%,11.197%,14.444%,17.681%,16.501%,17.163%,20.862%,29.903%,30.921%,45.338%,54.545%,39.496%,85.572%,214.705%,307.172%,329.327%,294.478%,315.436%,203.766%,Upgrade,Financials in USD,Fiscal year is October - September
