Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,-,-,"250,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,"250,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,456,000","1,583,000","1,459,000","1,558,000","1,674,000","1,432,000","1,538,000","1,505,000","2,075,000","2,255,000","2,929,000","3,227,000","2,392,000","2,426,000","1,262,000","2,460,000","1,404,000","1,191,000","1,143,000","1,995,000",Financials in USD,Fiscal year is January - December
Research & Development,"2,137,000","2,628,000","2,214,000","1,733,000","2,104,000","2,177,000","1,241,000","2,343,000","1,928,000","1,317,000","959,000","800,000","624,000","314,000","692,000","785,000","412,000","650,000","1,251,000","1,011,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,593,000","4,211,000","3,673,000","3,291,000","3,778,000","3,609,000","2,779,000","3,848,000","4,003,000","3,572,000","3,888,000","4,027,000","3,016,000","2,740,000","1,954,000","3,245,000","1,816,000","1,841,000","2,394,000","3,006,000",Financials in USD,Fiscal year is January - December
Operating Income,"-3,593,000","-4,211,000","-3,673,000","-3,291,000","-3,778,000","-3,609,000","-2,529,000","-3,848,000","-4,003,000","-3,572,000","-3,888,000","-4,027,000","-3,016,000","-2,740,000","-1,954,000","-3,245,000","-1,816,000","-1,841,000","-2,394,000","-3,006,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-6,000","-2,000","-1,000","-4,000","-8,000","-3,000",-,"-3,000","-4,000","-5,000","-1,000","-5,000","-26,000","-656,000","-2,397,000","-1,037,000","-28,000","-11,000","-1,000","-1,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"100,000","100,000",-,"700,000","200,000","200,000",-,"200,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"12,000","33,000","147,000","-513,000","-10,000","19,000","189,000","-69,000","426,000","1,233,000","-316,000","5,105,000","11,129,000","1,767,000","42,000","38,000","1,000","1,000","11,000","147,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,487,000","-4,080,000","-3,527,000","-3,108,000","-3,596,000","-3,393,000","-2,340,000","-3,720,000","-3,581,000","-2,344,000","-4,205,000","1,073,000","8,087,000","-1,629,000","-4,309,000","-4,244,000","-1,843,000","-1,851,000","-2,384,000","-2,860,000",Financials in USD,Fiscal year is January - December
