Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
"Selling, General & Admin","1,137,328","1,351,580","1,270,528","1,148,725","1,015,872","1,026,301","2,478,055","2,625,384","2,920,280","2,034,456","1,184,730","1,297,834","1,338,113","1,329,213","717,147","1,982,235","422,958","374,878","484,353","395,580",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,287,525","1,730,444","1,539,070","1,320,725","1,151,740","1,688,164","1,627,480","3,174,323","3,136,838","3,137,292","2,043,984","2,071,176","1,722,364","1,614,954","1,476,160","1,710,969","532,587","427,109","501,771","516,404",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,424,853","3,082,024","2,809,598","2,469,450","2,167,612","2,714,465","4,105,535","5,799,707","6,057,118","5,171,748","3,228,714","3,369,010","3,060,477","2,944,167","2,193,307","3,693,204","955,545","801,987","986,124","911,984",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,424,853","-3,082,024","-2,809,598","-2,469,450","-2,167,612","-2,714,465","-4,105,535","-5,799,707","-6,057,118","-5,171,748","-3,228,714","-3,369,010","-3,060,477","-2,944,167","-2,193,307","-3,693,204","-955,545","-801,987","-986,124","-911,984",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-362,"-58,462","-186,209","-19,280","-17,170","-23,685",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"40,150","71,698","83,217","64,519","85,661","101,900","83,462","55,530","36,708","7,380","1,583","3,464","1,771","1,814","4,940","2,315",12,18,829,662,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,384,703","-3,010,326","-2,726,381","-2,404,931","-2,081,951","-2,612,565","-4,022,073","-5,744,177","-6,020,410","-5,164,368","-3,227,131","-3,365,546","-3,058,706","-2,942,353","-2,188,729","-3,749,351","-1,141,742","-821,249","-1,002,465","-935,007",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-7,268,143",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"163,771",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,384,703","-3,010,326","-2,726,381","-2,404,931","-2,081,951","-2,612,565","-4,022,073","-13,012,320","-6,020,410","-5,164,368","-3,227,131","-3,365,546","-3,109,659","-3,294,212","-2,188,729","-10,449,351","-3,141,742","-821,249","-1,002,465","-935,007",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,"-181,752","-122,442","-137,169","-89,248","-714,598","-70,457","-87,835","-128,129","-160,564",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,384,703","-3,010,326","-2,726,381","-2,404,931","-2,081,951","-2,612,565","-4,022,073","-13,012,320","-6,020,410","-5,164,368","-3,227,131","-3,183,794","-2,987,217","-3,157,043","-2,099,481","-9,734,753","-3,071,285","-733,414","-874,336","-774,443",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,625,948",-,-,-,"506,993",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,384,703","-3,010,326","-2,726,381","-2,404,931","-2,081,951","-2,612,565","-4,022,073","-13,012,320","-6,020,410","-5,164,368","-3,227,131","-3,183,794","-2,987,217","-3,157,043","-2,099,481","-14,360,701","-3,071,285","-733,414","-874,336","-1,281,436",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,275,998","2,983,283","2,466,523","1,408,505","1,350,188","1,346,808","1,138,573","823,159","810,011","797,026","791,556","787,297","776,572","770,318","729,185","668,633","279,719","275,778","275,778","275,487",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,275,998","2,983,283","2,466,523","1,408,505","1,350,188","1,346,808","1,138,573","823,159","810,011","797,026","791,556","787,297","776,572","770,318","729,185","668,633","279,719","275,778","275,778","275,487",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),142.633%,121.508%,116.633%,71.110%,66.688%,68.979%,43.840%,4.555%,4.306%,3.467%,8.554%,17.747%,177.626%,179.325%,164.410%,142.709%,1.256%,-0.171%,-0.171%,-0.320%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.033,-1.009,-1.105,-1.707,-1.542,-1.940,-3.533,-15.808,-7.433,-6.480,-4.077,-4.044,-3.847,-4.098,-2.879,-21.478,-10.980,-2.659,-3.170,-4.652,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.033,-1.009,-1.105,-1.707,-1.542,-1.940,-3.533,-15.808,-7.433,-6.480,-4.077,-4.044,-3.847,-4.098,-2.879,-21.478,-10.980,-2.659,-3.170,-4.652,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,605,852","-3,345,829","-2,048,884","-2,123,868","-1,763,715","-2,064,469","-2,114,070","-2,497,385","-2,974,319","-2,330,513","-1,802,926","-2,726,970","-1,552,827","-2,193,965","-2,243,529","-2,275,357","29,190","-350,576","-546,453","-613,486",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.101,-1.122,-0.831,-1.508,-1.306,-1.533,-1.857,-3.034,-3.672,-2.924,-2.278,-3.464,-2.000,-2.848,-3.077,-3.403,0.104,-1.271,-1.981,-2.227,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-3,424,650","-3,081,885","-2,809,459","-2,469,310","-2,167,585","-2,517,341","-3,908,411","-5,602,584","-5,859,994","-4,974,624","-3,031,590","-3,171,887","-2,864,776","-2,745,335","-1,993,991","-3,492,260","-754,602","-601,044","-785,180","-711,041",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,203,139,139,140,27,"197,124","197,124","197,123","197,124","197,124","197,124","197,123","195,701","198,832","199,316","200,944","200,943","200,943","200,944","200,943",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,424,853","-3,082,024","-2,809,598","-2,469,450","-2,167,612","-2,714,465","-4,105,535","-5,799,707","-6,057,118","-5,171,748","-3,228,714","-3,369,010","-3,060,477","-2,944,167","-2,193,307","-3,693,204","-955,545","-801,987","-986,124","-911,984",Upgrade,Financials in USD,Fiscal year is January - December
