Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Cost of Revenue,"75,000,000","75,000,000","22,995,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-75,000,000","-75,000,000","-22,995,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","81,873,000","60,700,000","39,810,000","25,259,000","16,017,000","8,546,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"447,180,000","332,341,000","169,451,000","78,411,000","73,564,000","45,607,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"529,053,000","393,041,000","209,261,000","103,670,000","89,581,000","54,153,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-604,053,000","-468,041,000","-232,256,000","-103,670,000","-89,581,000","-54,153,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-2,000","-7,000","-7,000","-40,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"91,104,000","62,907,000","8,356,000","344,000","244,000","632,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"4,433,000","-1,897,000","-1,470,000","1,669,000","-2,351,000","-135,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"818,000","4,765,000","1,931,000","1,585,000","2,478,000","237,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-507,698,000","-402,266,000","-223,441,000","-100,079,000","-89,217,000","-53,459,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"50,000",-,-,"2,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"-44,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"3,185,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-507,648,000","-402,266,000","-223,485,000","-100,077,000","-89,217,000","-50,274,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-507,648,000","-402,266,000","-223,485,000","-100,077,000","-89,217,000","-50,274,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-507,648,000","-402,266,000","-223,485,000","-100,077,000","-89,217,000","-50,274,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"113,829,195","97,157,690","64,877,988","51,922,108","29,545,810","3,795,090",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"113,829,195","97,157,690","64,877,988","51,922,108","29,545,810","3,795,090",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),24.705%,49.754%,24.953%,75.734%,678.527%,4.551%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.460,-4.140,-3.445,-1.927,-3.020,-13.247,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.460,-4.140,-3.445,-1.927,-3.020,-13.247,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-616,237,000","-364,667,000","-176,445,000","-127,948,000","-47,783,000","-48,340,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-5.414,-3.753,-2.720,-2.464,-1.617,-12.738,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-599,026,000","-464,885,000","-229,679,000","-101,870,000","-88,176,000","-52,921,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,027,000","3,156,000","2,577,000","1,800,000","1,405,000","1,232,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-604,053,000","-468,041,000","-232,256,000","-103,670,000","-89,581,000","-54,153,000",Upgrade,Financials in USD,Fiscal year is January - December
