Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Cost of Revenue,-,-,-,"75,000,000",-,-,-,"22,995,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"-75,000,000",-,-,-,"-22,995,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","22,988,000","21,474,000","19,885,000","17,526,000","15,605,000","14,456,000","13,112,000","11,952,000","10,898,000","9,417,000","7,543,000","6,772,000","6,523,000","6,079,000","5,885,000","4,792,000","4,898,000","3,046,000","3,281,000","2,457,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"116,936,000","131,507,000","94,587,000","104,150,000","97,421,000","72,691,000","58,080,000","51,626,000","47,679,000","38,469,000","31,678,000","23,074,000","20,428,000","17,651,000","17,258,000","14,661,000","16,410,000","18,178,000","24,315,000","13,382,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"139,924,000","152,981,000","114,472,000","121,676,000","113,026,000","87,147,000","71,192,000","63,578,000","58,577,000","47,886,000","39,221,000","29,846,000","26,951,000","23,730,000","23,143,000","19,453,000","21,308,000","21,224,000","27,596,000","15,839,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-139,924,000","-152,981,000","-114,472,000","-196,676,000","-113,026,000","-87,147,000","-71,192,000","-86,573,000","-58,577,000","-47,886,000","-39,221,000","-29,846,000","-26,951,000","-23,730,000","-23,143,000","-19,453,000","-21,308,000","-21,224,000","-27,596,000","-15,839,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,"-2,000",-,-,-,"-7,000",-,-,-,-,"-7,000","-7,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"28,057,000","23,813,000","21,666,000","17,568,000","18,495,000","16,451,000","10,393,000","6,633,000","1,190,000","399,000","134,000","99,000","90,000","93,000","61,000","32,000","33,000","44,000","135,000","95,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"8,450,000","44,000","-2,362,000","-1,699,000","227,000","-107,000","-317,000","1,009,000","-687,000","-1,733,000","6,000","276,000","-54,000","-414,000","1,862,000","-1,642,000","-530,000","-176,000","-3,000","282,000",Upgrade,Financials in USD,Fiscal year is January - December
