Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
"Selling, General & Admin","13,866,106","15,282,450","12,241,394","10,184,773","6,977,936","10,981,765",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"25,501,480","27,762,784","29,431,027","11,254,538","7,924,450","6,099,580",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"39,367,586","43,045,234","41,672,421","21,439,311","14,902,386","17,081,345",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-39,367,586","-43,045,234","-41,672,421","-21,439,311","-14,902,386","-17,081,345",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,752,243","-4,205,922","-1,316,519",-,-,"-33,559",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,694,414","2,902,939","935,180","4,346","55,006","353,490",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-41,425,415","-44,348,217","-42,053,760","-21,434,965","-14,847,380","-16,761,414",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"12,355,295",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-41,425,415","-44,348,217","-42,053,760","-21,434,965","-14,847,380","-7,380,119",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-869,167","-1,406,019","-1,198,905","-4,516,488",-,"-381,513",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-40,556,248","-42,942,198","-40,854,855","-16,918,477","-14,847,380","-6,998,606",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-40,556,248","-42,942,198","-40,854,855","-16,918,477","-14,847,380","-6,998,606",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"34,996,392","30,952,060","28,599,221","25,597,125","16,745,044","4,868,079",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"34,996,392","30,952,060","28,599,221","25,597,125","16,745,044","4,868,079",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),15.515%,8.227%,11.728%,52.864%,243.976%,45.867%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.159,-1.387,-1.429,-0.661,-0.887,-1.438,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.159,-1.387,-1.429,-0.661,-0.890,-1.438,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-35,281,960","-33,636,136","-25,709,706","-12,486,066","-13,149,135","-18,073,469",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.008,-1.087,-0.899,-0.488,-0.785,-3.713,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-39,308,517","-42,987,908","-41,623,343","-21,433,954","-14,886,778","-16,982,931",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"59,069","57,326","49,078","5,357","15,608","98,414",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-39,367,586","-43,045,234","-41,672,421","-21,439,311","-14,902,386","-17,081,345",Upgrade,Financials in USD,Fiscal year is January - December
