Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"26,270,000","682,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,325,000","167,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"21,945,000","515,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","270,977,000","117,928,000","100,999,000","62,742,000","27,517,000","6,944,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"38,893,000","49,899,000","71,441,000","72,338,000","98,148,000","20,374,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"309,870,000","167,827,000","172,440,000","135,080,000","125,665,000","27,318,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-287,925,000","-167,312,000","-172,440,000","-135,080,000","-125,665,000","-27,318,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-66,445,000","-41,968,000","-27,305,000","-6,788,000","-4,581,000","-4,177,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,996,000","7,876,000","2,132,000","41,000","1,091,000","1,089,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-71,000","-188,000","-110,000","-56,000","87,000","-96,282,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-339,445,000","-201,592,000","-197,723,000","-141,883,000","-129,068,000","-126,688,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-2,000,000",-,"-49,546,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-339,445,000","-201,592,000","-197,723,000","-143,883,000","-129,068,000","-255,131,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-339,445,000","-201,592,000","-197,723,000","-143,883,000","-129,068,000","-255,131,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-339,445,000","-201,592,000","-197,723,000","-143,883,000","-129,068,000","-255,131,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"59,747,760","51,289,092","39,118,215","37,002,959","33,228,158","11,366,916",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"59,747,760","51,289,092","39,118,215","37,002,959","33,228,158","11,366,916",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),26.363%,31.113%,5.716%,11.360%,192.323%,87.831%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.681,-3.931,-5.054,-3.888,-3.884,-22.445,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.681,-3.931,-5.054,-3.888,-3.884,-22.445,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-247,716,000","-139,214,000","-147,571,000","-148,785,000","-70,728,000","-36,642,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.146,-2.714,-3.772,-4.021,-2.129,-3.224,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,83.536%,75.513%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1096.022%,-24532.551%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1292.139%,-29558.944%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-942.962%,-20412.610%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-287,138,000","-166,737,000","-171,820,000","-134,559,000","-125,342,000","-27,310,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"787,000","575,000","620,000","521,000","323,000","8,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-287,925,000","-167,312,000","-172,440,000","-135,080,000","-125,665,000","-27,318,000",Upgrade,Financials in USD,Fiscal year is January - December
