Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","12,119,623","11,314,067","9,798,843","8,568,080","7,665,484","7,773,430","7,331,596","7,516,074","8,297,822","7,660,133","5,865,006","5,538,960","4,374,081","4,664,726","3,771,693","2,051,283","1,393,890","842,561","915,747",Financials in EUR,Fiscal year is January - December
Research & Development,"25,782,650","23,067,934","18,513,016","18,612,882","18,535,782","14,681,935","13,744,431","16,050,603","14,088,845","13,721,637","13,514,488","10,700,943","8,956,174","8,060,599","8,071,451","7,710,115","4,331,843","2,403,401","2,529,685",Financials in EUR,Fiscal year is January - December
Operating Expenses,"37,902,273","34,382,001","28,311,859","27,180,962","26,201,266","22,455,365","21,076,027","23,566,677","22,386,667","21,381,770","19,379,494","16,239,903","13,330,255","12,725,325","11,843,144","9,761,398","5,725,733","3,245,962","3,445,432",Financials in EUR,Fiscal year is January - December
Operating Income,"-37,902,273","-34,382,001","-28,311,859","-27,180,962","-26,201,266","-22,455,365","-21,076,027","-23,566,677","-22,386,667","-21,381,770","-19,379,494","-16,239,903","-13,330,255","-12,725,325","-11,843,144","-9,761,398","-5,725,733","-3,245,962","-3,445,432",Financials in EUR,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,"-25,863","-33,457","-45,060","-45,934","-69,812","-69,552","-82,212","-92,470",-,-,"-4,377",Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"1,976,199","2,114,635","63,921","62,552","66,576",-,"106,527","88,275",-,-,-,-,-,-,-,-,-,-,-,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-5,545,458","2,616,719","522,251","-4,876,094","2,687,200","667,710","-1,595,478","-15,392,583","11,520,977","11,535,811","3,436,187","3,923,219","4,333,264","-2,401,910","5,905,896","-787,083","-19,691","-30,573","-6,780",Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-9,135","-9,803","-7,952","-5,449","-4,833","-16,040","-5,314","-22,471",-180,-550,52,"1,780","-8,926","-3,021","-4,828","-6,208",-,-,"-1,797",Financials in EUR,Fiscal year is January - December
Pretax Income,"-41,480,667","-29,660,450","-27,733,639","-31,999,953","-23,452,323","-21,803,695","-22,570,292","-38,893,456","-10,891,733","-9,879,966","-15,988,315","-12,360,838","-9,075,729","-15,199,808","-6,024,288","-10,647,159","-5,745,424","-3,276,535","-3,458,386",Financials in EUR,Fiscal year is January - December
Income Tax Expense,"230,091","70,623","285,117","747,697","146,273","94,178","60,657","303,199","-2,403,929","2,741,102","38,715","-19,627","68,190","2,965","18,589","-83,251",-,-,-,Financials in EUR,Fiscal year is January - December
Net Income,"-41,710,758","-29,731,073","-28,018,756","-32,747,650","-23,598,596","-21,897,873","-22,630,949","-39,196,655","-8,487,804","-12,621,068","-16,027,030","-12,341,211","-9,143,919","-15,202,773","-6,042,877","-10,563,908","-5,745,424","-3,276,535","-3,458,386",Financials in EUR,Fiscal year is January - December
Net Income to Common,"-41,710,758","-29,731,073","-28,018,756","-32,747,650","-23,598,596","-21,897,873","-22,630,949","-39,196,655","-8,487,804","-12,621,068","-16,027,030","-12,341,211","-9,143,919","-15,202,773","-6,042,877","-10,563,908","-5,745,424","-3,276,535","-3,458,386",Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"54,069,979","53,939,597","53,747,981","44,198,850","40,909,957","34,556,017","33,823,924","33,817,858","33,785,026","33,582,171","33,151,892","33,166,637","33,128,593","33,126,351","9,104,630","4,850,000","4,850,000","4,850,000","4,850,000",Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"54,069,979","53,939,597","53,747,981","44,198,850","40,909,957","34,556,017","33,823,924","33,817,858","33,785,026","33,582,171","33,151,892","33,166,637","33,128,593","33,126,351","9,104,630","4,850,000","4,850,000","4,850,000","4,850,000",Financials in EUR,Fiscal year is January - December
Shares Change (YoY),32.168%,56.093%,58.905%,30.697%,21.089%,2.900%,2.027%,1.963%,1.981%,1.376%,264.121%,583.848%,583.064%,583.018%,87.724%,-,-,-,-,Financials in EUR,Fiscal year is January - December
EPS (Basic),-0.771,-0.551,-0.521,-0.741,-0.577,-0.634,-0.669,-1.159,-0.251,-0.376,-0.483,-0.372,-0.276,-0.459,-0.664,-2.178,-1.185,-0.676,-0.713,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-0.771,-0.551,-0.521,-0.741,-0.577,-0.634,-0.669,-1.159,-0.251,-0.376,-0.483,-0.372,-0.276,-0.459,-0.664,-2.178,-1.185,-0.676,-0.713,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-33,567,857","-27,723,302","-24,262,519","-23,837,277","-23,560,221","-20,517,756","-25,223,823","-20,436,612","-15,232,006","-13,710,748","-17,907,564","-12,571,655","-10,065,594","-11,882,796","-10,209,671","-8,918,393","-3,644,256","-2,339,332","-3,156,247",Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.621,-0.514,-0.451,-0.539,-0.576,-0.594,-0.746,-0.604,-0.451,-0.408,-0.540,-0.379,-0.304,-0.359,-1.121,-1.839,-0.751,-0.482,-0.651,Financials in EUR,Fiscal year is January - December
EBITDA,"-37,880,696","-34,362,885","-28,295,004","-27,164,183","-26,133,333","-22,393,641","-21,014,158","-23,554,486","-22,348,095","-21,346,425","-19,346,644","-16,235,239","-13,301,300","-12,713,338","-11,840,083","-9,758,815","-5,724,175","-3,244,857","-3,444,990",Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"21,577","19,116","16,855","16,779","67,933","61,724","61,869","12,191","38,572","35,345","32,850","4,664","28,955","11,987","3,061","2,583","1,558","1,105",442,Financials in EUR,Fiscal year is January - December
EBIT,"-37,902,273","-34,382,001","-28,311,859","-27,180,962","-26,201,266","-22,455,365","-21,076,027","-23,566,677","-22,386,667","-21,381,770","-19,379,494","-16,239,903","-13,330,255","-12,725,325","-11,843,144","-9,761,398","-5,725,733","-3,245,962","-3,445,432",Financials in EUR,Fiscal year is January - December
