Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"1,605,000","2,447,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"114,513,000","86,766,000","154,440,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-112,908,000","-84,319,000","-154,440,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","51,107,000","42,054,000","59,546,000","47,075,000","16,992,000","6,232,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"120,257,000","44,976,000","29,557,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"51,107,000","42,054,000","59,546,000","167,332,000","61,968,000","35,789,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-164,015,000","-126,373,000","-213,986,000","-167,332,000","-61,968,000","-35,789,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"9,377,000","3,143,000","1,960,000","2,358,000","140,000","193,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-154,638,000","-123,230,000","-212,026,000","-164,974,000","-61,828,000","-35,596,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-1,000,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"3,620,000","-47,000","-1,003,000","-2,087,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-151,018,000","-123,277,000","-214,029,000","-167,061,000","-61,828,000","-35,596,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-8,000","-84,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-151,018,000","-123,277,000","-214,029,000","-167,061,000","-61,820,000","-35,512,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"8,503,000","5,170,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-151,018,000","-123,277,000","-214,029,000","-167,061,000","-70,323,000","-40,682,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"15,179,928","6,594,316","3,073,100","2,830,272","596,677","101,975",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"15,179,928","6,594,316","3,073,100","2,830,272","596,677","101,975",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),196.724%,114.582%,8.580%,374.339%,485.121%,17.878%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-9.949,-18.694,-69.646,-59.026,-117.858,-398.941,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-9.949,-18.694,-69.646,-59.026,-117.858,-398.941,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-99,546,000","-111,186,000","-185,487,000","-125,604,000","-52,623,000","-33,523,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-6.558,-16.861,-60.358,-44.379,-88.193,-328.737,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-10219.003%,-5164.405%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-9409.221%,-5037.883%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-6202.243%,-4543.768%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-163,593,000","-125,941,000","-213,567,000","-167,150,000","-61,918,000","-35,752,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"422,000","432,000","419,000","182,000","50,000","37,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-164,015,000","-126,373,000","-213,986,000","-167,332,000","-61,968,000","-35,789,000",Upgrade,Financials in USD,Fiscal year is January - December
