Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 28, 2024","Jun '24 Jun 29, 2024","Mar '24 Mar 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jul '23 Jul 1, 2023","Apr '23 Apr 1, 2023","Dec '22 Dec 31, 2022","Oct '22 Oct 1, 2022","Jul '22 Jul 2, 2022","Apr '22 Apr 2, 2022","Dec '21 Dec 31, 2021","Oct '21 Oct 2, 2021","Jul '21 Jul 3, 2021","Apr '21 Apr 3, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 26, 2020","Jun '20 Jun 27, 2020","Mar '20 Mar 28, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"1,087,500,000","1,065,500,000","1,082,100,000","1,156,900,000","1,123,800,000","1,193,100,000","1,181,700,000","1,155,300,000","1,100,200,000","1,121,700,000","1,074,500,000","1,104,900,000","1,042,700,000","981,100,000","1,010,000,000","1,053,200,000","1,003,000,000","948,800,000","1,083,300,000","1,322,800,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-3.230%,-10.695%,-8.429%,0.138%,2.145%,6.365%,9.977%,4.561%,5.515%,14.331%,6.386%,4.909%,3.958%,3.404%,-6.766%,-20.381%,-15.792%,-17.424%,-7.765%,10.676%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"683,100,000","670,800,000","724,400,000","729,600,000","712,600,000","765,100,000","767,900,000","772,700,000","737,300,000","749,600,000","736,700,000","742,500,000","706,300,000","632,100,000","641,600,000","668,800,000","633,300,000","601,600,000","689,600,000","842,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"404,400,000","394,700,000","357,700,000","427,300,000","411,200,000","428,000,000","413,800,000","382,600,000","362,900,000","372,100,000","337,800,000","362,400,000","336,400,000","349,000,000","368,400,000","384,400,000","369,700,000","347,200,000","393,700,000","480,800,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","271,500,000","300,800,000","305,600,000","304,200,000","304,000,000","332,300,000","331,500,000","259,200,000","281,000,000","338,100,000","282,300,000","266,300,000","283,600,000","274,300,000","284,200,000","303,800,000","263,900,000","253,400,000","279,400,000","299,100,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"26,000,000","29,400,000","29,000,000","29,600,000","29,600,000","32,200,000","31,100,000","32,600,000","29,800,000","31,500,000","29,300,000","30,300,000","27,600,000","33,000,000","31,100,000","33,000,000","30,400,000","30,400,000","27,900,000","59,400,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-6,600,000","19,500,000","-700,000","1,600,000","-300,000","-500,000","-1,500,000","2,100,000","-500,000","-700,000","3,100,000",-,-,-,-,"-400,000","-3,900,000",-,-,"-1,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"290,900,000","349,700,000","333,900,000","335,400,000","333,300,000","364,000,000","361,100,000","293,900,000","310,300,000","368,900,000","314,700,000","296,600,000","311,200,000","307,300,000","315,300,000","336,400,000","290,400,000","283,800,000","307,300,000","357,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"113,500,000","45,000,000","23,800,000","91,900,000","77,900,000","64,000,000","52,700,000","88,700,000","52,600,000","3,200,000","23,100,000","65,800,000","25,200,000","41,700,000","53,100,000","48,000,000","79,300,000","63,400,000","86,400,000","123,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-64,500,000","-50,900,000","-50,300,000","-48,700,000","-51,500,000","-50,400,000","-37,800,000","-36,300,000","-34,200,000","-41,100,000","-35,700,000","-29,300,000","-29,800,000","-30,100,000","-31,800,000","-33,500,000","-33,300,000","-32,900,000","-30,800,000","-33,900,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-100,000","-500,000","-600,000","-400,000","-300,000","-500,000","-700,000","100,000","-300,000","-600,000","-700,000","-300,000",-,-,"-700,000","400,000","1,100,000","800,000","700,000","600,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"7,500,000","9,400,000","9,400,000","5,600,000","8,300,000","8,900,000","-4,600,000","-13,300,000","-4,900,000","-12,300,000","-4,100,000","-10,300,000","-13,600,000","2,000,000","4,600,000","500,000","300,000","7,700,000","-4,300,000","55,900,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,300,000","-6,000,000","-2,500,000","900,000","300,000","7,200,000","-1,800,000","3,700,000","2,100,000","-38,700,000","6,000,000","-46,300,000","-6,000,000","-2,200,000","-6,500,000","-300,000","500,000","-7,900,000","6,700,000","-59,400,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"54,100,000","-3,000,000","-20,200,000","49,300,000","34,700,000","29,200,000","7,800,000","42,900,000","15,300,000","-89,500,000","-11,400,000","-20,400,000","-24,200,000","11,400,000","18,700,000","15,100,000","47,900,000","31,100,000","58,700,000","86,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-16,800,000","-36,900,000","-44,300,000","-16,500,000","-15,500,000","-6,700,000","-3,400,000","-57,200,000","-19,100,000","-9,500,000","-3,600,000","-5,100,000","-1,000,000","-9,000,000","-1,700,000","-6,100,000","-800,000","-700,000",-,"12,900,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-5,400,000",-,-,"-90,000,000",-,-,-,-,-,-,-,"-16,100,000",-,-,-,-,-,-,-,"-109,200,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"-100,000","-300,000",-,-,"-100,000",-,"-100,000",-,"-200,000","-1,100,000",-,"-900,000",-,"-26,700,000","22,600,000","2,500,000","-1,300,000","7,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"5,800,000",-,-,-,-,-,-,-,-,-,"2,200,000","47,500,000",-,-,-,"-2,400,000","-1,300,000","-17,400,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-10,800,000","-34,100,000",-,-,-,-,-,-,-,-,-,"5,100,000","-3,500,000","-158,600,000",-,-,-,-,-,"-36,700,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,"-34,000,000",-,-,-,-,-,-,-,-,-,"417,600,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-5,100,000",-,-,"3,200,000",-,-,-,-,"400,000","-9,300,000",-,-,-,-,-,"-95,300,000","-20,000,000",-,-,"500,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"21,800,000","-74,000,000","-98,600,000","-54,300,000","19,200,000","22,500,000","4,300,000","-14,300,000","-3,500,000","-108,300,000","-13,000,000","9,900,000","388,900,000","-157,100,000","17,000,000","-115,400,000","48,400,000","15,500,000","57,400,000","-34,200,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"39,400,000","31,700,000","-102,700,000","-26,600,000","3,800,000","13,600,000","5,400,000","-1,600,000","48,600,000","-43,400,000","-11,700,000","-22,200,000","442,800,000","-45,200,000","14,200,000","-63,200,000","22,000,000","3,100,000","-200,000","-15,200,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-17,600,000","-105,700,000","4,100,000","-27,700,000","15,400,000","8,900,000","-1,100,000","-12,700,000","-52,100,000","-64,900,000","-1,300,000","32,100,000","-53,900,000","-111,900,000","2,800,000","-52,200,000","26,400,000","12,400,000","57,600,000","-19,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-3,400,000","-2,700,000","-2,100,000","-4,600,000","-1,200,000","-500,000","-1,900,000","-11,000,000","2,700,000","-200,000","-1,100,000","-22,500,000","-5,000,000","54,200,000","35,300,000","-122,800,000","-181,000,000","48,200,000","48,800,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-21,000,000","-108,400,000","2,000,000","-32,300,000","14,200,000","8,400,000","-3,000,000","-23,700,000","-49,400,000","-65,100,000","-2,400,000","9,600,000","-58,900,000","-57,700,000","38,100,000","-175,000,000","-154,600,000","60,600,000","106,400,000","-19,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,000,000","-108,400,000","2,000,000","-32,300,000","14,200,000","8,400,000","-3,000,000","-23,700,000","-49,400,000","-65,100,000","-2,400,000","9,600,000","-58,900,000","-57,700,000","38,100,000","-175,000,000","-154,600,000","60,600,000","106,400,000","-19,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-64.192%,-,-,573.333%,66.510%,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"137,500,000","137,100,000","136,600,000","135,500,000","135,500,000","135,300,000","134,900,000","134,800,000","134,600,000","134,600,000","134,000,000","133,900,000","133,800,000","133,600,000","133,200,000","135,500,000","136,500,000","136,400,000","136,200,000","136,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"137,500,000","137,100,000","137,600,000","135,500,000","136,900,000","136,600,000","134,900,000","134,800,000","134,600,000","134,600,000","134,000,000","133,900,000","133,800,000","133,600,000","134,600,000","135,500,000","137,600,000","137,500,000","137,300,000","136,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.438%,0.366%,2.001%,0.519%,1.709%,1.486%,0.672%,0.672%,0.598%,0.749%,-0.446%,-1.181%,-2.762%,-2.836%,-1.966%,-0.368%,0.585%,0.733%,0.808%,-0.147%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.153,-0.791,0.015,-0.238,0.105,0.062,-0.022,-0.176,-0.367,-0.484,-0.018,0.072,-0.440,-0.432,0.286,-1.292,-1.133,0.444,0.781,-0.140,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.155,-0.791,0.015,-0.238,0.101,0.056,-0.024,-0.176,-0.370,-0.484,-0.018,0.071,-0.440,-0.434,0.282,-1.292,-1.125,0.441,0.775,-0.140,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-63.600%,-,-,565.717%,64.984%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"15,100,000","-18,900,000","-26,500,000","182,000,000","92,700,000","32,900,000","-3,800,000","169,800,000","37,600,000",-,"58,800,000","-147,100,000",-,"-105,600,000","-115,500,000","43,200,000",-,"264,500,000","105,300,000","-20,800,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.110,-0.138,-0.193,1.343,0.677,0.241,-0.028,1.260,0.279,-,0.439,-1.099,-,-0.790,-0.858,0.319,-,1.924,0.767,-0.153,Upgrade,Financials in USD,Fiscal year is January - December
Dividend Per Share,0.276,0.276,0.276,0.273,0.273,0.273,0.273,0.260,0.260,0.260,0.260,0.240,0.240,0.240,0.240,0.210,0.230,0.230,0.230,0.210,Upgrade,Financials in USD,Fiscal year is January - December
Dividend Growth,1.099%,1.099%,1.099%,5.000%,5.000%,5.000%,5.000%,8.333%,8.333%,8.333%,8.333%,14.286%,4.348%,4.348%,4.348%,0%,9.524%,9.524%,21.053%,10.526%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,37.186%,37.044%,33.056%,36.935%,36.590%,35.873%,35.017%,33.117%,32.985%,33.173%,31.438%,32.799%,32.262%,35.572%,36.475%,36.498%,36.859%,36.593%,36.343%,36.347%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,10.437%,4.223%,2.199%,7.944%,6.932%,5.364%,4.460%,7.678%,4.781%,0.285%,2.150%,5.955%,2.417%,4.250%,5.257%,4.558%,7.906%,6.682%,7.976%,9.321%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1.931%,-10.174%,0.185%,-2.792%,1.264%,0.704%,-0.254%,-2.051%,-4.490%,-5.804%,-0.223%,0.869%,-5.649%,-5.881%,3.772%,-16.616%,-15.414%,6.387%,9.822%,-1.436%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,1.389%,-1.774%,-2.449%,15.732%,8.249%,2.758%,-0.322%,14.697%,3.418%,-,5.472%,-13.313%,-,-10.763%,-11.436%,4.102%,-,27.877%,9.720%,-1.572%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"195,800,000","126,900,000","105,200,000","177,800,000","168,900,000","157,900,000","141,400,000","185,800,000","141,100,000","86,700,000","92,600,000","154,500,000","83,400,000","116,600,000","143,500,000","148,100,000","176,200,000","158,100,000","179,500,000","226,300,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,18.005%,11.910%,9.722%,15.369%,15.029%,13.234%,11.966%,16.082%,12.825%,7.729%,8.618%,13.983%,7.998%,11.885%,14.208%,14.062%,17.567%,16.663%,16.570%,17.108%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"82,300,000","81,900,000","81,400,000","85,900,000","91,000,000","93,900,000","88,700,000","97,100,000","88,500,000","83,500,000","69,500,000","88,700,000","58,200,000","74,900,000","90,400,000","100,100,000","96,900,000","94,700,000","93,100,000","103,000,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"113,500,000","45,000,000","23,800,000","91,900,000","77,900,000","64,000,000","52,700,000","88,700,000","52,600,000","3,200,000","23,100,000","65,800,000","25,200,000","41,700,000","53,100,000","48,000,000","79,300,000","63,400,000","86,400,000","123,300,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,10.437%,4.223%,2.199%,7.944%,6.932%,5.364%,4.460%,7.678%,4.781%,0.285%,2.150%,5.955%,2.417%,4.250%,5.257%,4.558%,7.906%,6.682%,7.976%,9.321%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,180.734%,-,-,-,19.792%,60.444%,125.581%,-,-,-,-,-,113.860%,-,83.529%,-,45.455%,20.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
