Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","12,399,000","13,652,000","12,843,000","1,682,000","14,419,000","13,455,000","15,259,000","9,345,000","14,440,000","9,180,000","37,972,000","3,024,000","2,339,000","1,748,000","1,744,000","1,419,000",Financials in USD,Fiscal year is January - December
Research & Development,"31,250,000","29,404,000","27,233,000","22,528,000","32,198,000","26,364,000","25,617,000","20,890,000","21,132,000","11,558,000","28,490,000","10,685,000","14,742,000","10,969,000","9,859,000","6,387,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"43,649,000","43,056,000","40,076,000","24,210,000","46,617,000","39,819,000","40,876,000","30,235,000","35,572,000","20,738,000","66,462,000","13,709,000","17,081,000","12,717,000","11,603,000","7,806,000",Financials in USD,Fiscal year is January - December
Operating Income,"-43,649,000","-43,056,000","-40,076,000","-24,210,000","-46,617,000","-39,819,000","-40,876,000","-30,235,000","-35,572,000","-20,738,000","-66,462,000","-13,709,000","-17,081,000","-12,717,000","-11,603,000","-7,806,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,000","-3,000","-2,000","-3,000","-2,000","-4,000","-3,000","-2,000","-29,000","-170,000","-14,000",-,"-1,000",-,-,"-1,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,580,000","4,537,000","4,843,000","5,280,000","5,541,000","5,965,000","5,297,000","4,402,000","1,581,000",-,-,"1,000",-,"2,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-38,071,000","-38,522,000","-35,235,000","-18,933,000","-41,078,000","-33,858,000","-35,582,000","-25,835,000","-34,020,000","-20,908,000","-66,476,000","-13,708,000","-17,082,000","-12,715,000","-11,603,000","-7,807,000",Financials in USD,Fiscal year is January - December
Asset Writedown,"-5,324,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-43,395,000","-38,522,000","-35,235,000","-18,933,000","-41,078,000","-33,858,000","-35,582,000","-25,835,000","-34,020,000","-20,908,000","-66,476,000","-13,708,000","-17,082,000","-12,715,000","-11,603,000","-7,807,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,342,000","-56,000","98,000","2,791,000","913,000","965,000","1,327,000","-1,262,000","-75,000","1,223,000","1,010,000","-38,000","60,000","10,000","6,000","-194,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-41,053,000","-38,466,000","-35,333,000","-21,724,000","-41,991,000","-34,823,000","-36,909,000","-24,573,000","-33,945,000","-22,131,000","-67,486,000","-13,670,000","-17,142,000","-12,725,000","-11,609,000","-7,613,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"23,143,000","25,960,000","25,841,000","16,023,000","31,007,000","25,705,000","27,244,000","18,086,000","22,017,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-17,910,000","-12,506,000","-9,492,000","-5,701,000","-10,984,000","-9,118,000","-9,665,000","-6,487,000","-11,928,000","-22,131,000","-67,486,000","-13,670,000","-17,142,000","-12,725,000","-11,609,000","-7,613,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,"-4,015,000","-89,617,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,910,000","-12,506,000","-9,492,000","-5,701,000","-10,984,000","-9,118,000","-9,665,000","-6,487,000","-7,913,000","67,486,000","-67,486,000","-13,670,000","-17,142,000","-12,725,000","-11,609,000","-7,613,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"126,173,463","75,908,017","60,951,721","62,161,006","61,592,876","64,562,209","61,540,231","61,540,231","61,540,231","186,500,000","186,500,000","183,728,494","156,778,460","140,109,890","122,111,111","115,110,038",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"126,173,463","75,908,017","60,951,721","62,161,006","61,592,876","64,562,209","61,540,231","61,540,231","61,540,231","186,500,000","186,500,000","183,728,494","156,778,460","140,109,890","122,111,111","115,110,038",Financials in USD,Fiscal year is January - December
Shares Change (YoY),104.851%,17.573%,-0.956%,1.009%,0.086%,-65.382%,-67.003%,-66.505%,-60.747%,33.110%,52.730%,59.611%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.142,-0.165,-0.156,-0.092,-0.178,-0.141,-0.157,-0.105,-0.129,0.362,-0.362,-0.074,-0.109,-0.091,-0.095,-0.066,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.142,-0.165,-0.156,-0.092,-0.178,-0.141,-0.157,-0.105,-0.129,0.362,-0.362,-0.074,-0.109,-0.091,-0.095,-0.066,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-31,645,000","-38,929,000","-35,606,000","-26,956,000","-51,716,000","-18,616,000","-26,978,000","-16,067,000","-23,158,000","-23,412,000","-16,298,000","-13,530,000","-19,473,000","-13,843,000","-8,645,000","-10,120,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.251,-0.513,-0.584,-0.434,-0.840,-0.288,-0.438,-0.261,-0.376,-0.126,-0.087,-0.074,-0.124,-0.099,-0.071,-0.088,Financials in USD,Fiscal year is January - December
