Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"17,882,000","6,514,000","3,594,000","1,335,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Other Revenue,"504,000","80,000","765,000","1,043,000","1,029,000","1,933,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"18,386,000","6,594,000","4,359,000","2,378,000","1,029,000","1,933,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),306.680%,51.273%,83.305%,131.098%,-46.767%,-65.402%,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"18,386,000","6,594,000","4,359,000","2,378,000","1,029,000","1,933,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","14,498,000","16,236,000","18,651,000","17,368,000","13,685,000","12,887,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"33,478,000","25,148,000","50,867,000","42,220,000","38,135,000","46,491,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"47,976,000","41,384,000","69,518,000","59,588,000","51,820,000","59,378,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-29,590,000","-34,790,000","-65,159,000","-57,210,000","-50,791,000","-57,445,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-1,203,000","-1,203,000","-5,127,000","-3,405,000","-2,040,000","-1,083,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"3,774,000","2,593,000","106,000","5,000","313,000","763,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Equity Investments,-,-,"-8,000","-217,000","-322,000","429,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-255,000","-255,000","4,757,000","1,511,000","-1,989,000","722,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"210,000","953,000","2,713,000","-1,880,000","-84,000",-,Upgrade,Financials in EUR,Fiscal year is January - December
