Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"468,000","3,330,000","15,618,000","17,388,000","11,768,000","9,807,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-96.013%,-78.678%,-10.179%,47.757%,19.996%,-52.733%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"82,017,000","96,235,000","152,433,000","110,471,000",-,"85,848,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-81,549,000","-92,905,000","-136,815,000","-93,083,000","11,768,000","-76,041,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","54,887,000","53,295,000","60,991,000","57,199,000","49,440,000","59,358,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,"81,859,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"54,887,000","53,295,000","60,991,000","57,199,000","131,299,000","59,358,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-136,436,000","-146,200,000","-197,806,000","-150,282,000","-119,531,000","-135,399,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-20,054,000","-13,488,000","-3,953,000","-4,714,000","-2,946,000","-4,102,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"20,013,000","16,012,000","5,799,000","214,000","1,183,000","4,362,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-14,061,000","-33,685,000","-27,749,000","-73,703,000","-34,117,000","30,791,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-51,000","-94,000","14,000","-56,000",-,"68,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-840,000","1,742,000","144,655,000","11,197,000","-3,318,000","-46,436,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-151,429,000","-175,713,000","-79,040,000","-217,344,000","-158,729,000","-150,716,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"74,038,000","77,823,000","-41,533,000","158,391,000","177,698,000","364,781,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"61,787,000","27,251,000",-,-,"264,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"539,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-77,391,000","-36,103,000","-92,783,000","-58,953,000","18,969,000","478,474,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"12,571,000","30,525,000","-55,719,000","3,756,000","14,401,000","112,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-89,962,000","-66,628,000","-37,064,000","-62,709,000","4,568,000","366,065,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-89,962,000","-66,628,000","-37,064,000","-62,709,000","4,568,000","366,065,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"7,496,000","931,000","-13,290,000","2,151,000","1,417,000","55,079,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-82,466,000","-65,697,000","-50,354,000","-60,558,000","5,985,000","421,144,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-82,466,000","-65,697,000","-50,354,000","-60,558,000","5,985,000","421,144,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-98.579%,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"272,003,604","276,302,533","284,759,435","286,590,983","285,603,667","283,426,467",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"272,003,604","276,302,533","284,759,435","286,590,983","292,855,913","291,782,333",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-2.859%,-2.970%,-0.639%,-2.139%,0.368%,6.549%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.303,-0.238,-0.177,-0.211,0.021,1.486,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.303,-0.240,-0.180,-0.211,0.020,1.440,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-98.611%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-120,798,000","-105,987,000","-180,968,000","-163,845,000","-136,997,000","-110,294,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.444,-0.384,-0.636,-0.572,-0.468,-0.378,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,100.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
