Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",2019 - 2015,,
"Selling, General & Admin","5,017,000","5,664,000","7,101,000","8,819,000","4,928,000","1,870,000",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"6,698,000","12,535,000","8,674,000","6,769,000","7,312,000","4,108,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"11,758,000","18,253,000","15,776,000","15,588,000","12,240,000","5,978,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-11,758,000","-18,253,000","-15,776,000","-15,588,000","-12,240,000","-5,978,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-32,000","-32,000","-9,000","-43,000","-177,000","-557,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,"220,000","274,000","217,000",-,-,"11,000",Upgrade,Financials in USD,Fiscal year is April - March
Earnings From Equity Investments,"-143,000","-233,000","-260,000","-62,000","-490,000","18,000",Upgrade,Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"-1,000","7,000","-53,000","24,000",-,"6,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"4,307,000","2,935,000","33,000","852,000","-790,000","24,000",Upgrade,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-7,407,000","-15,302,000","-15,848,000","-14,817,000","-13,697,000","-6,476,000",Upgrade,Financials in USD,Fiscal year is April - March
Merger & Restructuring Charges,-,-,"-800,000",-,"-200,000",-,Upgrade,Financials in USD,Fiscal year is April - March
Impairment of Goodwill,-,-,"-43,862,000",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,"-428,000","-428,000","-818,000",-,"72,000",-,Upgrade,Financials in USD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,-,-,-,"412,000",-,Upgrade,Financials in USD,Fiscal year is April - March
Other Unusual Items,"12,529,000","11,305,000","2,711,000",-,"-1,479,000","-33,000",Upgrade,Financials in USD,Fiscal year is April - March
Pretax Income,"-76,811,000","-85,930,000","-122,522,000","-14,817,000","-14,892,000","-6,509,000",Upgrade,Financials in USD,Fiscal year is April - March
Income Tax Expense,"-9,494,000","-10,548,000","-17,856,000","4,352,000","2,297,000","740,000",Upgrade,Financials in USD,Fiscal year is April - March
Earnings From Continuing Operations,"-67,317,000","-75,382,000","-104,666,000","-19,169,000","-17,189,000","-7,249,000",Upgrade,Financials in USD,Fiscal year is April - March
Minority Interest in Earnings,"39,000","43,000","55,000","2,299,000","1,356,000","1,916,000",Upgrade,Financials in USD,Fiscal year is April - March
Net Income,"-67,278,000","-75,339,000","-104,611,000","-16,870,000","-15,833,000","-5,333,000",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Common,"-67,278,000","-75,339,000","-104,611,000","-16,870,000","-15,833,000","-5,333,000",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"1,054,650","967,150","805,950","653,000","586,650","547,600",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"1,054,650","967,150","805,950","653,000","586,650","547,600",Upgrade,Financials in USD,Fiscal year is April - March
Shares Change (YoY),20.731%,20.001%,23.423%,11.310%,7.131%,127.220%,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Basic),-63.792,-77.898,-129.798,-25.835,-26.989,-9.739,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Diluted),-63.792,-77.898,-129.800,-25.835,-27.000,-9.800,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-9,798,000","-14,297,000","-12,076,000","-6,764,000","-4,284,000","-3,714,000",Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-9.290,-14.783,-14.984,-10.358,-7.302,-6.782,Upgrade,Financials in USD,Fiscal year is April - March
EBITDA,"-11,715,000","-18,199,000","-15,775,000",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
D&A For EBITDA,"43,000","54,000","1,000",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
EBIT,"-11,758,000","-18,253,000","-15,776,000","-15,588,000","-12,240,000","-5,978,000",Upgrade,Financials in USD,Fiscal year is April - March
