Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters,,
Revenue,"4,675,000","4,167,000","254,953,000","60,000,000",-,-,-,-,-,"859,000","25,722,000","8,617,000","10,286,000","2,265,000","6,189,000","5,650,000","13,114,000","6,217,000","3,647,000","2,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-62.075%,315.608%,52.513%,-21.565%,-63.568%,69.701%,107.797%,216.687%,-,133.782%,15.555%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,675,000","4,167,000","254,953,000","60,000,000",-,-,-,-,-,"859,000","25,722,000","8,617,000","10,286,000","2,265,000","6,189,000","5,650,000","13,114,000","6,217,000","3,647,000","2,719,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,158,000","9,440,000","14,910,000","8,052,000","7,662,000","9,172,000","8,605,000","6,632,000","6,901,000","7,691,000","10,515,000","7,260,000","7,256,000","6,715,000","5,965,000","4,994,000","4,891,000","4,177,000","4,576,000","4,107,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"35,970,000","33,520,000","33,734,000","28,899,000","30,664,000","33,182,000","27,416,000","29,884,000","25,402,000","34,611,000","36,318,000","38,373,000","36,956,000","26,432,000","24,245,000","19,486,000","15,995,000","20,257,000","18,768,000","15,911,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"46,128,000","42,960,000","48,644,000","36,951,000","38,326,000","42,354,000","36,021,000","36,516,000","32,303,000","42,302,000","46,833,000","45,633,000","44,212,000","33,147,000","30,210,000","24,480,000","20,886,000","24,434,000","23,344,000","20,018,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-41,453,000","-38,793,000","206,309,000","23,049,000","-38,326,000","-42,354,000","-36,021,000","-36,516,000","-32,303,000","-41,443,000","-21,111,000","-37,016,000","-33,926,000","-30,882,000","-24,021,000","-18,830,000","-7,772,000","-18,217,000","-19,697,000","-17,299,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-127,000","-19,000","-209,000","-243,000","-169,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,682,000","7,404,000","4,376,000","4,242,000","4,252,000","3,913,000","2,491,000","2,251,000","1,157,000","484,000","168,000","122,000","122,000","97,000","102,000","80,000","87,000","207,000","526,000","679,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"141,000","97,000","-19,000","44,000","-31,000","-19,000","-195,000","71,000","-86,000","-78,000","13,000","-13,000",-,"-57,000","-79,000","-9,000","-59,000","512,000","-490,000","144,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-33,630,000","-31,292,000","210,666,000","27,335,000","-34,105,000","-38,460,000","-33,725,000","-34,194,000","-31,232,000","-41,037,000","-20,930,000","-36,907,000","-33,804,000","-30,842,000","-23,998,000","-18,886,000","-7,763,000","-17,707,000","-19,904,000","-16,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-585,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-33,630,000","-31,292,000","210,666,000","27,335,000","-34,105,000","-38,460,000","-33,725,000","-34,194,000","-31,232,000","-41,037,000","-20,930,000","-36,907,000","-33,804,000","-30,842,000","-23,998,000","-18,886,000","-7,763,000","-18,292,000","-19,904,000","-16,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-420,000","-676,000","3,326,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,129,000","176,000","856,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-33,210,000","-30,616,000","207,340,000","27,335,000","-34,105,000","-38,460,000","-33,725,000","-34,194,000","-31,232,000","-41,037,000","-20,930,000","-36,907,000","-33,804,000","-30,842,000","-23,998,000","-18,886,000","-7,763,000","-19,421,000","-20,080,000","-17,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-33,210,000","-30,616,000","207,340,000","27,335,000","-34,105,000","-38,460,000","-33,725,000","-34,194,000","-31,232,000","-41,037,000","-20,930,000","-36,907,000","-33,804,000","-30,842,000","-23,998,000","-18,886,000","-7,763,000","-19,421,000","-20,080,000","-17,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"61,767,934","61,305,289","60,855,689","60,387,606","59,182,899","56,775,742","50,573,650","49,262,643","49,107,639","49,049,902","48,752,548","48,154,171","47,987,184","44,864,637","44,224,169","39,605,193","37,386,881","32,799,691","27,703,918","27,610,696",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"61,767,934","61,305,289","63,595,328","61,796,205","59,182,899","56,775,742","50,573,650","49,262,643","49,107,639","49,049,902","48,752,548","48,154,171","47,987,184","44,864,637","44,224,169","39,605,193","37,386,881","32,799,691","27,703,918","27,610,696",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.368%,7.978%,25.748%,25.442%,20.517%,15.751%,3.735%,2.302%,2.335%,9.329%,10.240%,21.585%,28.353%,36.784%,59.631%,43.441%,38.691%,32.993%,14.019%,14.158%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.538,-0.499,3.407,0.453,-0.576,-0.677,-0.667,-0.694,-0.636,-0.837,-0.429,-0.766,-0.704,-0.687,-0.543,-0.477,-0.208,-0.592,-0.725,-0.634,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.540,-0.500,3.260,0.439,-0.580,-0.680,-0.670,-0.697,-0.640,-0.840,-0.430,-0.766,-0.704,-0.687,-0.543,-0.477,-0.208,-0.592,-0.725,-0.634,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-28,638,000","268,594,000","-27,671,000","16,941,000","-27,015,000","-26,414,000","-34,357,000","-31,705,000","-25,363,000","-13,925,000","-37,939,000","-27,135,000","-28,735,000","-24,200,000","-28,896,000","-18,992,000","-16,362,000","-21,615,000","-15,986,000","-14,507,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.464,4.381,-0.435,0.274,-0.456,-0.465,-0.679,-0.644,-0.516,-0.284,-0.778,-0.564,-0.599,-0.539,-0.653,-0.480,-0.438,-0.659,-0.577,-0.525,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,-,-,-,-,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-886.695%,-930.958%,80.920%,38.415%,-,-,-,-,-,-4824.563%,-82.074%,-429.569%,-329.827%,-1363.444%,-388.124%,-333.274%,-59.265%,-293.019%,-540.088%,-636.227%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-710.374%,-734.725%,81.325%,45.558%,-,-,-,-,-,-4777.299%,-81.370%,-428.305%,-328.641%,-1361.678%,-387.752%,-334.265%,-59.196%,-312.385%,-550.590%,-643.656%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-612.578%,6445.740%,-10.853%,28.235%,-,-,-,-,-,-1621.071%,-147.496%,-314.901%,-279.360%,-1068.433%,-466.893%,-336.142%,-124.767%,-347.676%,-438.333%,-533.542%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-41,222,000","-38,552,000","206,545,000","23,297,000","-38,082,000","-42,117,000","-35,773,000","-36,260,000","-32,033,000","-41,184,000","-20,862,000","-36,781,000","-33,713,000","-30,697,000","-23,841,000","-18,483,000","-7,590,000","-18,015,000","-19,480,000","-17,097,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,81.013%,38.828%,-,-,-,-,-,-,-81.106%,-,-,-,-,-,-57.877%,-289.770%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"231,000","241,000","236,000","248,000","244,000","237,000","248,000","256,000","270,000","259,000","249,000","235,000","213,000","185,000","180,000","347,000","182,000","202,000","217,000","202,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-41,453,000","-38,793,000","206,309,000","23,049,000","-38,326,000","-42,354,000","-36,021,000","-36,516,000","-32,303,000","-41,443,000","-21,111,000","-37,016,000","-33,926,000","-30,882,000","-24,021,000","-18,830,000","-7,772,000","-18,217,000","-19,697,000","-17,299,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,80.920%,38.415%,-,-,-,-,-,-,-82.074%,-,-,-,-,-,-59.265%,-293.019%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,1.579%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
