Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","5,435,000","6,719,000","10,898,000","12,592,000","9,318,000","4,477,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"20,372,000","16,148,000","27,990,000","30,553,000","16,954,000","14,083,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"25,807,000","22,867,000","38,888,000","43,145,000","26,272,000","18,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-25,807,000","-22,867,000","-38,888,000","-43,145,000","-26,272,000","-18,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,702,000","-1,618,000","-1,023,000",-,-,"-15,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"548,000","548,000","267,000","468,000","474,000","60,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"33,000","33,000","532,000","44,000","243,000","245,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"108,000","108,000","-316,000","32,000","-11,314,000","11,365,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-26,820,000","-23,796,000","-39,428,000","-42,601,000","-36,869,000","-6,905,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"38,000","69,000","129,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-26,858,000","-23,865,000","-39,557,000","-42,601,000","-36,869,000","-6,905,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"6,047,000","6,422,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-26,858,000","-23,865,000","-39,557,000","-42,601,000","-42,916,000","-13,327,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,460,003","1,404,368","647,556","624,051","319,413","18,748",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,460,003","1,404,368","647,556","624,051","319,413","18,748",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),294.570%,116.872%,3.767%,95.374%,1603.718%,-8.300%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-6.022,-16.993,-61.087,-68.265,-134.359,-710.849,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-6.022,-16.993,-61.090,-68.270,-134.359,-710.849,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-17,432,000","-36,084,000","-35,379,000","-22,772,000","-18,237,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-12.413,-55.723,-56.692,-71.293,-972.744,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-23,909,250","-21,045,000","-37,167,000","-42,027,000","-25,260,000","-17,613,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,897,750","1,822,000","1,721,000","1,118,000","1,012,000","947,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-25,807,000","-22,867,000","-38,888,000","-43,145,000","-26,272,000","-18,560,000",Upgrade,Financials in USD,Fiscal year is January - December
