Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,"16,146,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"475,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"15,671,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,308,000","5,371,000","7,448,000","5,584,000","10,069,000","6,166,000","9,015,000","8,119,000","9,359,000","8,556,000","11,318,000","9,200,000","3,772,000","2,736,000","2,955,000","1,440,000","767,000","819,500","819,500",Financials in USD,Fiscal year is January - December
Research & Development,"17,741,000","13,953,000","13,029,000","11,607,000","14,687,000","11,391,000","11,901,000","29,854,000","19,034,000","17,170,000","20,071,000","7,226,000","7,849,000","3,205,000","32,774,000","3,139,000","2,425,000","1,742,000","1,742,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"23,049,000","19,324,000","20,477,000","17,191,000","24,756,000","17,557,000","20,916,000","37,973,000","28,393,000","25,726,000","31,389,000","16,426,000","11,621,000","5,941,000","35,729,000","4,579,000","3,192,000","2,561,500","2,561,500",Financials in USD,Fiscal year is January - December
Operating Income,"-23,049,000","-19,324,000","-4,806,000","-17,191,000","-24,756,000","-17,557,000","-20,916,000","-37,973,000","-28,393,000","-25,726,000","-31,389,000","-16,426,000","-11,621,000","-5,941,000","-35,729,000","-4,579,000","-3,192,000","-2,561,500","-2,561,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,846,000","2,023,000","1,550,000","1,594,000","1,707,000","1,656,000","1,673,000","1,872,000","719,000","164,000","9,000","7,000","6,000","6,000","4,000",-,"1,000","32,500","32,500",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,"-231,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,"-410,000","-2,560,000","-1,980,000","-1,100,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,203,000","-17,301,000","-3,256,000","-15,597,000","-23,049,000","-15,901,000","-19,243,000","-36,101,000","-27,674,000","-25,562,000","-31,380,000","-16,829,000","-14,175,000","-8,146,000","-36,825,000","-4,579,000","-3,191,000","-2,529,000","-2,529,000",Financials in USD,Fiscal year is January - December
Net Income,"-21,203,000","-17,301,000","-3,256,000","-15,597,000","-23,049,000","-15,901,000","-19,243,000","-36,101,000","-27,674,000","-25,562,000","-31,380,000","-16,829,000","-14,175,000","-8,146,000","-36,825,000","-4,579,000","-3,191,000","-2,529,000","-2,529,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,203,000","-17,301,000","-3,256,000","-15,597,000","-23,049,000","-15,901,000","-19,243,000","-36,101,000","-27,674,000","-25,562,000","-31,380,000","-16,829,000","-14,175,000","-8,146,000","-36,825,000","-4,579,000","-3,191,000","-2,529,000","-2,529,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"60,715,041","60,495,675","51,289,284","44,480,209","41,331,806","38,389,123","35,351,671","34,800,108","32,561,228","32,451,610","32,316,689","29,566,761","1,581,610","1,471,447","1,350,743","1,184,981","1,088,222","923,915","923,915",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"60,715,041","60,495,675","51,289,284","44,480,209","41,331,806","38,389,123","35,351,671","34,800,108","32,561,228","32,451,610","32,316,689","29,566,761","1,581,610","1,471,447","1,350,743","1,184,981","1,088,222","923,915","923,915",Financials in USD,Fiscal year is January - December
Shares Change (YoY),46.897%,57.585%,45.083%,27.816%,26.936%,18.297%,9.391%,17.700%,1958.739%,2105.422%,2292.512%,2395.125%,45.339%,59.262%,46.198%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.349,-0.286,-0.063,-0.351,-0.558,-0.414,-0.544,-1.037,-0.850,-0.788,-0.971,-0.569,-8.962,-5.536,-27.263,-3.864,-2.932,-2.737,-2.737,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.349,-0.286,-0.063,-0.351,-0.558,-0.414,-0.544,-1.037,-0.850,-0.788,-0.971,-0.569,-8.962,-5.536,-27.263,-3.864,-2.932,-2.737,-2.737,Financials in USD,Fiscal year is January - December
