Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",+2 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,"1,430,534","722,029","1,481,229","1,155,065","1,117,935","1,899,496","1,107,780","837,714","904,067","1,456,755","1,201,127",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,27.962%,-61.988%,33.711%,37.883%,23.656%,30.392%,-7.772%,-44.553%,-31.063%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"123,429","754,287","364,385","1,311,189","1,441,598","1,174,646","1,281,817","867,692","930,536","2,605,904","2,693,593","2,845,824","3,076,435","5,425,090","4,701,852","2,758,628","1,792,351","1,405,267","1,229,710","1,213,503",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-123,429","-754,287","-364,385","-1,311,189","-1,441,598","-1,174,646","-1,281,817","-867,692","-930,536","-1,175,370","-1,971,564","-1,364,595","-1,921,370","-4,307,155","-2,802,356","-1,650,848","-954,637","-501,200","227,045","-12,376",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,145,152","986,484","1,057,364","962,773","1,336,765","2,427,066","1,368,999","2,568,777","2,539,389","2,965,960","3,037,074","3,282,850","2,886,540","3,087,643","3,010,526","2,582,080","2,762,703","2,068,458","1,010,641","277,197",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,145,152","986,484","1,057,364","962,773","1,336,765","2,427,066","1,368,999","2,568,777","2,539,389","2,965,960","3,037,074","3,282,850","2,886,540","3,087,643","3,010,526","2,582,080","2,762,703","2,068,458","1,010,641","277,197",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,268,581","-1,740,771","-1,421,749","-2,273,962","-2,778,363","-3,601,712","-2,650,816","-3,436,469","-3,469,925","-4,141,330","-5,008,638","-4,647,445","-4,807,910","-7,394,798","-5,812,882","-4,232,928","-3,717,340","-2,569,658","-783,596","-289,573",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-408,359","-263,560","-136,556","-235,814","-367,257","-377,416","-544,238","-50,160",-,-,-,-,-,-,-,-,-715,"-57,364","-90,757","-65,480",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"48,082",-,-,-,-,-,-,-,"4,631","4,824","6,309","5,830","6,801","12,718","17,343","10,040",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-487,915","504,416","32,816","663,074","-67,658","445,803","1,038,673","-112,139","321,300","14,424","683,278","426,037","1,764,638","1,984,608","553,350","12,290,393","-4,392,853","-15,951,286","1,158",248,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,116,773","-1,499,915","-1,525,489","-1,846,702","-3,213,278","-3,533,325","-2,156,381","-3,598,768","-3,143,994","-4,122,082","-4,319,051","-4,215,578","-3,036,471","-5,397,472","-5,242,189","8,067,505","-8,110,908","-18,578,308","-873,195","-354,805",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-21,747",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,376,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"320,515","22,145","-505,476","-625,653",-,-,"-1,077,287",-,-,-,-,-,-,-,-,"451,345",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,796,258","-1,477,770","-2,030,965","-2,472,355","-3,235,025","-3,533,325","-3,233,668","-3,598,768","-3,143,994","-4,122,082","-4,319,051","-4,215,578","-3,036,471","-5,397,472","-5,242,189","7,142,850","-8,110,908","-18,578,308","-873,195","-354,805",Upgrade,Financials in USD,Fiscal year is January - December
