Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021",,
Operating Revenue,"299,228",-,-,"292,359",-,-,Financials in AUD,Fiscal year is July - June
Other Revenue,"-2,405,962","4,065,259","1,947,985","3,969,499",-24,24,Financials in AUD,Fiscal year is July - June
Revenue,"-2,106,734","4,065,259","1,947,985","4,261,858",-24,24,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-,-4.613%,-,17757641.667%,-,-,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"6,507,355","15,100,020","11,074,844","8,456,665","4,749,220","2,737,396",Financials in AUD,Fiscal year is July - June
Gross Profit,"-8,614,089","-11,034,761","-9,126,859","-4,194,807","-4,749,244","-2,737,372",Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","6,495,034","6,544,212","6,832,442","5,398,606","4,343,901","3,293,983",Financials in AUD,Fiscal year is July - June
Operating Expenses,"7,647,449","8,031,975","8,415,241","6,853,694","6,903,896","5,534,671",Financials in AUD,Fiscal year is July - June
Operating Income,"-16,261,538","-19,066,736","-17,542,100","-11,048,501","-11,653,140","-8,272,043",Financials in AUD,Fiscal year is July - June
Interest Expense,"-605,913","-36,975",-,"-499,262","-831,419","-8,518,320",Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"50,484",-,"558,206",-,"8,831",-,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"94,964",-,"-257,251",-,"-1,109,520",-,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"5,623,367","-5,623,367","963,476","-963,476","600,441","-600,441",Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-11,098,636","-24,727,078","-16,277,669","-12,511,239","-12,984,807","-17,390,804",Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,"-1,687,791",-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Asset Writedown,"-1,478,892",-,"-3,100,000",-,-,-,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"-8,860,358",-,"-2,684,281",-,-,-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-23,125,677","-24,727,078","-22,061,950","-12,511,239","-12,984,807","-17,390,804",Financials in AUD,Fiscal year is July - June
Income Tax Expense,"65,146","31,218","-3,039","41,044","44,397",-,Financials in AUD,Fiscal year is July - June
Net Income,"-23,190,823","-24,758,296","-22,058,911","-12,552,283","-13,029,204","-17,390,804",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-23,190,823","-24,758,296","-22,058,911","-12,552,283","-13,029,204","-17,390,804",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"429,635,898","343,284,376","335,024,128","276,641,824","253,802,408","108,689,880",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"429,635,898","343,284,376","335,024,128","276,641,824","253,802,408","108,689,880",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),28.240%,24.090%,32.002%,154.524%,-,-,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.054,-0.072,-0.066,-0.045,-0.051,-0.160,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.054,-0.072,-0.066,-0.045,-0.051,-0.160,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-11,203,030","-11,772,905","-11,137,133","-12,109,971","-5,088,510","-4,821,062",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.026,-0.034,-0.033,-0.044,-0.020,-0.044,Financials in AUD,Fiscal year is July - June
Operating Margin,-,-469.017%,-900.525%,-259.241%,-,-34466845.833%,Financials in AUD,Fiscal year is July - June
Profit Margin,-,-609.021%,-1132.396%,-294.526%,-,-72461683.333%,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-,-289.598%,-571.726%,-284.148%,-,-20087758.333%,Financials in AUD,Fiscal year is July - June
EBITDA,"-14,704,916","-17,497,072","-15,890,370","-9,403,699","-10,035,094","-6,908,605",Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"1,556,622","1,569,664","1,651,730","1,644,802","1,618,046","1,363,438",Financials in AUD,Fiscal year is July - June
EBIT,"-16,261,538","-19,066,736","-17,542,100","-11,048,501","-11,653,140","-8,272,043",Financials in AUD,Fiscal year is July - June
