Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
"Selling, General & Admin","18,793,000","8,180,000","1,365,818",Financials in USD,Fiscal year is January - December
Research & Development,"55,535,000","27,999,000","4,489,091",Financials in USD,Fiscal year is January - December
Operating Expenses,"74,328,000","36,179,000","5,854,909",Financials in USD,Fiscal year is January - December
Operating Income,"-74,328,000","-36,179,000","-5,854,909",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-310,909",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"9,972,000","2,527,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-64,356,000","-33,652,000","-6,165,818",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-7,484,000","-1,124,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-71,840,000","-34,776,000","-11,620,363",Financials in USD,Fiscal year is January - December
Income Tax Expense,"6,000","10,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-71,846,000","-34,786,000","-11,620,363",Financials in USD,Fiscal year is January - December
Net Income to Common,"-71,846,000","-34,786,000","-11,620,363",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,366,614","1,505,781","777,212",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"12,366,614","1,505,781","777,212",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1491.151%,93.741%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.810,-23.102,-14.951,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.810,-23.102,-14.951,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-64,355,000","-28,817,000","-3,846,545",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-5.204,-19.138,-4.949,Financials in USD,Fiscal year is January - December
EBITDA,"-73,696,000","-36,067,000","-5,838,545",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"632,000","112,000","16,364",Financials in USD,Fiscal year is January - December
EBIT,"-74,328,000","-36,179,000","-5,854,909",Financials in USD,Fiscal year is January - December
