Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,-,-,"1,527,000","3,813,000","5,042,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-59.953%,-24.375%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"1,527,000","3,813,000","5,042,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","27,328,000","26,060,000","20,240,000","16,037,000","12,771,000","8,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"87,525,000","101,002,000","67,082,000","56,985,000","45,485,000","34,910,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"114,853,000","127,062,000","87,322,000","73,022,000","58,256,000","43,629,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-114,853,000","-127,062,000","-85,795,000","-69,209,000","-53,214,000","-43,629,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,854,000","4,528,000","1,661,000","1,275,000","1,809,000","1,292,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-110,999,000","-122,534,000","-84,134,000","-67,934,000","-51,405,000","-42,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"3,507,000","5,736,000","296,000","-1,270,000","-497,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-107,492,000","-116,798,000","-83,838,000","-69,204,000","-51,902,000","-42,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"990,000","660,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-107,492,000","-116,798,000","-83,838,000","-69,204,000","-52,892,000","-42,997,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-107,492,000","-116,798,000","-83,838,000","-69,204,000","-52,892,000","-42,997,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,696,477","38,338,161","32,540,406","27,390,326","24,134,305","4,346,400",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,696,477","38,338,161","32,540,406","27,390,326","24,134,305","4,346,400",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.722%,17.817%,18.803%,13.491%,455.271%,598.454%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.778,-3.047,-2.576,-2.527,-2.192,-9.893,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.778,-3.047,-2.576,-2.527,-2.192,-9.893,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-100,802,000","-98,173,000","-71,616,000","-61,781,000","-40,889,000","-36,362,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.605,-2.561,-2.201,-2.256,-1.694,-8.366,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,100.000%,100.000%,100.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-5618.533%,-1815.080%,-1055.415%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-5490.373%,-1814.949%,-1049.028%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-4689.980%,-1620.273%,-810.968%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-113,614,000","-125,846,000","-84,748,000","-68,213,000","-52,091,000","-42,299,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,239,000","1,216,000","1,047,000","996,000","1,123,000","1,330,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-114,853,000","-127,062,000","-85,795,000","-69,209,000","-53,214,000","-43,629,000",Upgrade,Financials in USD,Fiscal year is January - December
