Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
"Selling, General & Admin","27,109,000","27,367,000","22,148,000","21,535,000","18,585,000","17,374,000","15,823,000","15,845,000","15,105,000","12,854,000","11,770,000","11,316,000","10,025,000","9,518,000","10,913,000","9,145,000","5,730,000","6,828,000","7,163,000","4,981,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"42,315,000","46,345,000","45,227,000","41,744,000","46,844,000","51,383,000","46,371,000","49,537,000","43,383,000","41,356,000","30,794,000","32,517,000","39,621,000","24,530,000","27,809,000","50,093,000","21,657,000","16,731,000","16,957,000","14,668,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"69,424,000","73,712,000","67,375,000","63,279,000","65,429,000","68,757,000","62,194,000","65,382,000","58,488,000","54,210,000","42,564,000","43,833,000","49,646,000","34,048,000","38,722,000","59,238,000","27,387,000","23,559,000","24,120,000","19,649,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-69,424,000","-73,712,000","-67,375,000","-63,279,000","-65,429,000","-68,757,000","-62,194,000","-65,382,000","-58,488,000","-54,210,000","-42,564,000","-43,833,000","-49,646,000","-34,048,000","-38,722,000","-59,238,000","-27,387,000","-23,559,000","-24,120,000","-19,649,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-471,000","-471,000","-471,000","-470,000","-469,000","-468,000","-468,000","-467,000","-465,000","-465,000","-464,000","-463,000","-534,000","-251,000","-1,729,000","-1,641,000","-1,967,000","-1,786,000","-1,573,000","-1,343,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,327,000","2,294,000","3,029,000","814,000","1,720,000","846,000","1,908,000","1,245,000","1,353,000","669,000","623,000","850,000","806,000","501,000","911,000","237,000","518,000","429,000","967,000","892,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-68,568,000","-71,889,000","-64,817,000","-62,935,000","-64,178,000","-68,379,000","-60,754,000","-64,604,000","-57,600,000","-54,006,000","-42,405,000","-43,446,000","-49,374,000","-33,798,000","-39,540,000","-60,642,000","-28,836,000","-24,916,000","-24,726,000","-20,100,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"-3,200,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,849,000","2,243,000","2,763,000","3,275,000","2,279,000","2,678,000","2,419,000","1,081,000","-156,000","-396,000","-577,000","-801,000","-744,000","-727,000","-639,000","-274,000","-244,000","-124,000","62,000","245,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-66,719,000","-69,646,000","-62,054,000","-59,660,000","-61,899,000","-65,701,000","-58,335,000","-66,723,000","-57,756,000","-54,402,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-66,719,000","-69,646,000","-62,054,000","-59,660,000","-61,899,000","-65,701,000","-58,335,000","-66,723,000","-57,756,000","-54,402,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-66,719,000","-69,646,000","-62,054,000","-59,660,000","-61,899,000","-65,701,000","-58,335,000","-66,723,000","-57,756,000","-54,402,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"94,158,491","93,746,243","93,549,884","93,336,541","82,636,120","80,472,362","79,453,519","72,889,548","66,215,535","65,476,531","64,509,721","64,470,930","63,825,429","63,061,232","61,574,405","56,403,703","55,188,956","55,158,459","54,883,120","51,229,119",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"94,158,491","93,746,243","93,549,884","93,336,541","82,636,120","80,472,362","79,453,519","72,889,548","66,215,535","65,476,531","64,509,721","64,470,930","63,825,429","63,061,232","61,574,405","56,403,703","55,188,956","55,158,459","54,883,120","51,229,119",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),13.944%,16.495%,17.742%,28.052%,24.799%,22.903%,23.165%,13.058%,3.745%,3.830%,4.767%,14.303%,15.649%,14.327%,12.192%,10.101%,9.579%,11.958%,21.631%,22.880%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.709,-0.743,-0.663,-0.639,-0.749,-0.816,-0.734,-0.915,-0.872,-0.831,-0.666,-0.686,-0.785,-0.547,-0.653,-1.080,-0.527,-0.454,-0.449,-0.388,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.709,-0.743,-0.663,-0.639,-0.749,-0.816,-0.734,-0.915,-0.872,-0.831,-0.666,-0.686,-0.785,-0.547,-0.653,-1.080,-0.527,-0.454,-0.449,-0.388,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-53,691,000","-55,753,000","-58,891,000","-33,986,000","-61,803,000","-54,988,000","-60,575,000","-59,024,000","-44,362,000","-41,936,000","-41,178,000","-32,906,000","-31,294,000","-39,972,000","-24,611,000","-26,762,000","-17,092,000","-23,941,000","-27,452,000","-28,987,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.570,-0.595,-0.630,-0.364,-0.748,-0.683,-0.762,-0.810,-0.670,-0.640,-0.638,-0.510,-0.490,-0.634,-0.400,-0.474,-0.310,-0.434,-0.500,-0.566,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-67,035,000","-71,341,000","-65,121,000","-61,344,000","-63,670,000","-67,026,000","-60,521,000","-63,604,000","-56,868,000","-52,644,000","-41,262,000","-42,781,000","-48,838,000","-33,342,000","-38,048,000","-58,608,000","-27,114,000","-23,435,000","-24,002,000","-19,548,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,389,000","2,371,000","2,254,000","1,935,000","1,759,000","1,731,000","1,673,000","1,778,000","1,620,000","1,566,000","1,302,000","1,052,000","808,000","706,000","674,000","630,000","273,000","124,000","118,000","101,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-69,424,000","-73,712,000","-67,375,000","-63,279,000","-65,429,000","-68,757,000","-62,194,000","-65,382,000","-58,488,000","-54,210,000","-42,564,000","-43,833,000","-49,646,000","-34,048,000","-38,722,000","-59,238,000","-27,387,000","-23,559,000","-24,120,000","-19,649,000",Upgrade,Financials in USD,Fiscal year is January - December
