Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
"Selling, General & Admin","15,697,000","14,624,000","16,407,000","13,917,000","14,958,000","15,440,000","15,146,000","11,472,000","12,848,000","11,508,000","10,365,000","10,450,000","9,440,000","8,921,000","5,874,000","6,102,000","5,613,000","5,676,000","5,197,000","4,716,000",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"42,811,000","42,305,000","41,680,000","42,208,000","48,430,000","39,815,000","36,967,000","29,551,000","28,157,000","28,517,000","20,699,000","18,515,000","19,082,000","17,672,000","15,494,000","13,623,000","13,295,000","11,471,000","10,296,000","10,997,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"58,508,000","56,929,000","58,087,000","56,125,000","63,388,000","55,255,000","52,113,000","41,023,000","41,005,000","40,025,000","31,064,000","28,965,000","28,522,000","26,593,000","21,368,000","19,725,000","18,908,000","17,147,000","15,493,000","15,713,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-58,508,000","-56,929,000","-58,087,000","-56,125,000","-63,388,000","-55,255,000","-52,113,000","-41,023,000","-41,005,000","-40,025,000","-31,064,000","-28,965,000","-28,522,000","-26,593,000","-21,368,000","-19,725,000","-18,908,000","-17,147,000","-15,493,000","-15,713,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-1,969,000","-1,960,000","-1,951,000","-1,552,000","-1,497,000","-1,659,000","-1,569,000","-1,489,000","-550,000","-552,000","-553,000","-555,000","-557,000","-558,000","-560,000","-807,000","-848,000","-845,000","-890,000","-834,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,"5,394,000","4,711,000","5,434,000","5,686,000","6,049,000","6,186,000","5,876,000","2,675,000","1,112,000","343,000","131,000","87,000","80,000","92,000","95,000","116,000","178,000","527,000","620,000","550,000",Upgrade,Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"2,028,000","406,000","-536,000","1,344,000","-1,409,000","1,374,000","-1,145,000","147,000","-2,659,000","-2,019,000","-251,000","-241,000","-356,000","-252,000","299,000","-454,000","-517,000","-28,000","-26,000","-192,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,"41,000",-,-,-,"35,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-53,055,000","-53,772,000","-55,140,000","-50,647,000","-60,245,000","-49,354,000","-48,951,000","-39,690,000","-43,102,000","-42,253,000","-31,696,000","-29,674,000","-29,355,000","-27,311,000","-21,499,000","-20,870,000","-20,095,000","-17,493,000","-15,789,000","-16,189,000",Upgrade,Financials in USD,Fiscal year is April - March
