Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"55,307,000","36,841,000","29,534,000","35,692,000","28,134,000","25,886,000","26,070,000","49,278,000","19,910,000","29,819,000","16,735,000","19,409,000","20,543,000","20,766,000","78,018,000","18,450,000","18,389,000","16,021,000","55,761,000","15,400,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),96.584%,42.320%,13.287%,-27.570%,41.306%,-13.190%,55.781%,153.893%,-3.081%,43.595%,-78.550%,5.198%,11.714%,29.617%,39.915%,19.805%,-11.833%,53.944%,341.706%,-59.321%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,208,000","8,347,000","8,051,000","6,976,000","7,743,000","5,847,000","11,066,000","15,707,000","14,916,000","15,803,000","15,595,000","13,791,000","18,451,000","16,936,000","17,142,000","15,459,000","14,740,000","14,493,000","16,304,000","14,425,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"41,099,000","28,494,000","21,483,000","28,716,000","20,391,000","20,039,000","15,004,000","33,571,000","4,994,000","14,016,000","1,140,000","5,618,000","2,092,000","3,830,000","60,876,000","2,991,000","3,649,000","1,528,000","39,457,000","975,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","27,043,000","28,047,000","28,449,000","26,850,000","24,856,000","26,306,000","27,729,000","32,172,000","25,897,000","26,981,000","27,401,000","24,515,000","22,877,000","22,378,000","22,121,000","21,818,000","17,430,000","18,920,000","18,430,000","18,312,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"27,043,000","28,047,000","28,449,000","26,850,000","24,856,000","26,306,000","27,729,000","32,172,000","25,897,000","26,981,000","27,401,000","24,515,000","22,877,000","22,378,000","22,121,000","21,818,000","17,430,000","18,920,000","18,430,000","18,312,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"14,056,000","447,000","-6,966,000","1,866,000","-4,465,000","-6,267,000","-12,725,000","1,399,000","-20,903,000","-12,965,000","-26,261,000","-18,897,000","-20,785,000","-18,548,000","38,755,000","-18,827,000","-13,781,000","-17,392,000","21,027,000","-17,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,060,000","-2,029,000","-1,874,000","-1,907,000","-1,899,000","-1,862,000","-1,204,000","-1,107,000","-826,000","-569,000","-1,205,000","-1,299,000","-1,317,000","-1,759,000","-485,000","-429,000","-429,000","-353,000","-142,000","-327,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"425,000","552,000","593,000","678,000","672,000","529,000","393,000","429,000","192,000","42,000","21,000","16,000","14,000","16,000","1,000","19,000","36,000","169,000","358,000","464,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"12,421,000","-1,030,000","-8,247,000","637,000","-5,692,000","-7,600,000","-13,536,000","721,000","-21,537,000","-13,492,000","-27,445,000","-20,180,000","-22,088,000","-20,291,000","38,271,000","-19,237,000","-14,174,000","-17,576,000","21,243,000","-17,200,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"-1,320,000",-,-,-,"-3,521,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"100,000",-,"1,000,000",-,"2,000,000","2,500,000",-,-,"1,000,000","1,000,000","5,500,000","3,000,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"12,421,000","-1,030,000","-8,247,000","737,000","-5,692,000","-6,600,000","-13,536,000","1,401,000","-19,037,000","-13,492,000","-27,445,000","-22,701,000","-21,088,000","-14,791,000","41,271,000","-19,237,000","-14,174,000","-17,576,000","21,243,000","-17,200,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,"-60,000","-136,000","-970,000","1,771,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
