Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","11,859,702","8,097,695","9,682,554","12,077,259","12,238,566","12,286,521","12,292,599","11,834,053","8,208,053","14,599,401","13,284,570","8,908,912","8,659,661","9,130,373","8,382,976","6,019,643","5,946,396","7,433,249","5,466,654","2,937,956",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"11,149,136","10,721,089","13,305,306","14,752,061","10,454,072","13,740,205","15,861,010","26,868,367","30,529,108","30,912,671","25,012,853","25,273,862","33,993,974","17,331,507","14,022,227","13,403,808","11,237,186","5,323,953","4,507,784","1,626,239",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"23,008,838","18,818,784","22,987,860","26,829,320","22,692,638","26,026,726","28,153,609","38,702,420","38,737,161","45,512,072","38,297,423","34,182,774","42,653,635","26,461,880","22,405,203","19,423,451","17,183,582","12,757,202","9,974,438","4,564,195",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-23,008,838","-18,818,784","-22,987,860","-26,829,320","-22,692,638","-26,026,726","-28,153,609","-38,702,420","-38,737,161","-45,512,072","-38,297,423","-34,182,774","-42,653,635","-26,461,880","-22,405,203","-19,423,451","-17,183,582","-12,757,202","-9,974,438","-4,564,195",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"856,478","963,013","1,055,888","1,259,226","1,321,441","1,363,406","1,207,631","1,114,526","827,614","387,333","329,949","158,648","297,648","322,807","419,974","224,268","363,300","404,004","407,652","37,147",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-22,152,360","-17,855,771","-21,931,972","-25,570,094","-21,371,197","-24,663,320","-26,945,978","-37,587,894","-37,909,547","-45,124,739","-37,967,474","-34,024,126","-42,355,987","-26,139,073","-21,985,229","-19,199,183","-16,820,282","-12,353,198","-9,566,786","-4,527,048",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"426,390","87,649","103,846","404,936","-630,861","-639,634","624,402","-356,471","-1,509,160","-1,161,835","-1,778,309","-354,367","-250,204","-412,871","-229,952","-62,947","-82,225","1,234,757","-1,106,530",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,"6,351,606",-,-,-,-,-,"-1,500,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,725,970","-17,768,122","-21,828,126","-25,165,158","-22,002,058","-25,302,954","-26,321,576","-37,944,365","-39,418,707","-39,934,968","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-21,725,970","-17,768,122","-21,828,126","-25,165,158","-22,002,058","-25,302,954","-26,321,576","-37,944,365","-39,418,707","-39,934,968","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,725,970","-17,768,122","-21,828,126","-25,165,158","-22,002,058","-25,302,954","-26,321,576","-37,944,365","-39,418,707","-39,934,968","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"30,174,202","30,174,202","30,132,170","30,099,203","30,099,203","30,099,203","30,099,203","30,104,062","30,063,735","29,935,895","28,392,601","19,095,203","17,478,477","17,054,646","16,572,672","16,263,558","16,044,670","15,323,051","14,738,230","11,369,800",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"30,174,202","30,174,202","30,132,170","30,099,203","30,099,203","30,099,203","30,099,203","30,104,062","30,063,735","29,935,895","28,392,601","19,095,203","17,478,477","17,054,646","16,572,672","16,263,558","16,044,670","15,323,051","14,738,230","11,369,800",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.249%,0.249%,0.110%,-0.016%,0.118%,0.546%,6.011%,57.652%,72.004%,75.529%,71.322%,17.411%,8.936%,11.301%,12.447%,43.042%,64.372%,85.706%,96.261%,77.765%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.720,-0.589,-0.724,-0.836,-0.731,-0.841,-0.874,-1.260,-1.311,-1.334,-1.400,-1.800,-2.438,-1.557,-1.340,-1.277,-1.053,-0.726,-0.724,-0.398,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.720,-0.590,-0.724,-0.836,-0.731,-0.841,-0.874,-1.262,-1.311,-1.334,-1.400,-1.803,-2.440,-1.557,-1.340,-1.277,-1.053,-0.726,-0.724,-0.398,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,656,391","-13,263,025","-13,036,748","-10,249,714","-11,631,129","-13,273,269","-16,505,094","-35,882,900","-26,862,833","-21,626,141","-19,429,743","-37,660,164","-20,916,341","-17,211,415","-16,085,475","-6,928,762","-12,501,620","-4,953,656","-3,424,763","-3,879,624",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.552,-0.440,-0.433,-0.341,-0.386,-0.441,-0.548,-1.192,-0.894,-0.722,-0.684,-1.972,-1.197,-1.009,-0.971,-0.426,-0.779,-0.323,-0.232,-0.341,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,"-38,702,105","-38,736,846","-45,511,757","-38,297,108","-34,182,774","-42,653,635","-26,461,428","-22,404,397","-19,422,628","-17,182,728","-12,756,173","-9,973,392","-4,563,095",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,315,315,315,315,-,-,452,806,823,854,"1,029","1,046","1,100",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-23,008,838","-18,818,784","-22,987,860","-26,829,320","-22,692,638","-26,026,726","-28,153,609","-38,702,420","-38,737,161","-45,512,072","-38,297,423","-34,182,774","-42,653,635","-26,461,880","-22,405,203","-19,423,451","-17,183,582","-12,757,202","-9,974,438","-4,564,195",Upgrade,Financials in USD,Fiscal year is January - December
