Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","19,252,000","25,388,000","27,195,000","18,739,000","7,673,000","6,276,000",Financials in USD,Fiscal year is January - December
Research & Development,"53,544,000","53,544,000","40,689,000","26,909,000","17,630,000","11,366,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"72,796,000","78,932,000","67,884,000","45,648,000","25,303,000","17,642,000",Financials in USD,Fiscal year is January - December
Operating Income,"-66,700,000","-78,932,000","-67,884,000","-45,648,000","-25,303,000","-17,642,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-10,000","-49,000","-39,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,853,000","6,147,000","1,963,000","54,000","171,000","197,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-2,422,000","-2,041,000","-1,075,000","-1,505,000","-1,522,000","-103,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"596,000","262,000","342,000","96,000","241,000","24,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-66,973,000","-74,564,000","-66,654,000","-47,013,000","-26,462,000","-17,563,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-15,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-66,973,000","-74,564,000","-66,654,000","-47,013,000","-26,447,000","-17,563,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-66,973,000","-74,564,000","-66,654,000","-47,013,000","-26,447,000","-17,563,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"42,538,052","40,447,388","31,821,311","25,519,114","17,388,239","1,715,164",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"42,538,052","40,447,388","31,821,311","25,519,114","17,388,239","1,715,164",Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.554%,27.108%,24.696%,46.761%,913.795%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.574,-1.843,-2.095,-1.842,-1.521,-10.240,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.574,-1.843,-2.095,-1.842,-1.521,-10.240,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-51,077,000","-60,277,000","-57,338,000","-45,866,000","-22,176,000","-15,214,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.201,-1.490,-1.802,-1.797,-1.275,-8.870,Financials in USD,Fiscal year is January - December
EBITDA,"-66,563,000","-78,782,000","-67,717,000","-45,539,000","-25,241,000","-17,616,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"137,000","150,000","167,000","109,000","62,000","26,000",Financials in USD,Fiscal year is January - December
EBIT,"-66,700,000","-78,932,000","-67,884,000","-45,648,000","-25,303,000","-17,642,000",Financials in USD,Fiscal year is January - December
