Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","938,026","2,032,339","1,529,962","695,408","1,967,608","2,157,083","2,296,334","2,808,735","1,909,536","2,087,265","1,595,926","1,700,725","1,366,963","143,776","185,706","227,178","185,555","16,605","12,809","37,909",Financials in USD,Fiscal year is January - December
Research & Development,"1,227,386","3,081,577","1,759,020","3,363,626","3,342,644","2,965,910","2,591,350","2,686,738","3,044,024","2,620,028","1,881,576","1,285,509","992,946","211,752","263,759","151,823","53,936","75,000","3,700","117,100",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,165,412","5,113,916","3,288,982","4,059,034","5,310,252","5,122,993","4,887,684","5,495,473","4,953,560","4,707,293","3,477,502","2,986,234","2,359,909","355,528","449,465","379,001","239,491","91,605","16,509","155,009",Financials in USD,Fiscal year is January - December
Operating Income,"-2,165,412","-5,113,916","-3,288,982","-4,059,034","-5,310,252","-5,122,993","-4,887,684","-5,495,473","-4,953,560","-4,707,293","-3,477,502","-2,986,234","-2,359,909","-355,528","-449,465","-379,001","-239,491","-91,605","-16,509","-155,009",Financials in USD,Fiscal year is January - December
Interest Expense,"-10,792","-4,482","-9,706","-55,899","-17,282","-7,843","-13,429","-31,986",-,-,-,-,-333,"-41,966","-52,770","-53,864","-280,277","-35,650","-24,780","-47,168",Financials in USD,Fiscal year is January - December
Interest & Investment Income,179,178,168,137,131,246,"4,770","9,636","9,001","1,331",442,510,141,1,12,22,28,57,29,7,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-157,315","-72,594","-55,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"11,953",-,"27,057","27,249","27,441","788,937","79,409","383,767","654,949","34,730","6,990","189,547","30,395","3,168,397","-3,983,115","-368,688","-854,164",-,-,"6,584",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,321,387","-5,190,814","-3,326,812","-4,087,547","-5,299,962","-4,341,653","-4,816,934","-5,134,056","-4,289,610","-4,671,232","-3,470,070","-2,796,177","-2,329,706","2,770,904","-4,485,338","-801,531","-1,373,904","-127,198","-41,260","-195,586",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,"-3,082",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,321,387","-5,190,814","-3,326,812","-4,087,547","-5,299,962","-4,341,653","-4,816,934","-5,134,056","-4,289,610","-4,671,232","-3,470,070","-2,799,259","-2,329,706","2,770,904","-4,485,338","-801,531","-1,373,904","-127,198","-41,260","-195,586",Financials in USD,Fiscal year is January - December
Net Income,"-2,321,387","-5,190,814","-3,326,812","-4,087,547","-5,299,962","-4,341,653","-4,816,934","-5,134,056","-4,289,610","-4,671,232","-3,470,070","-2,799,259","-2,329,706","2,770,904","-4,485,338","-801,531","-1,373,904","-127,198","-41,260","-195,586",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,321,387","-5,190,814","-3,326,812","-4,087,547","-5,299,962","-4,341,653","-4,816,934","-5,134,056","-4,289,610","-4,671,232","-3,470,070","-2,799,259","-2,329,706","2,770,904","-4,485,338","-801,531","-1,373,904","-127,198","-41,260","-195,586",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"445,000","213,670","155,830","17,811",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"445,000","213,670","155,830","17,811",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.217,-24.294,-21.349,-229.496,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.217,-24.294,-21.349,-229.496,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,925,485","-2,344,323","-3,941,063","-5,663,489","-3,510,400","-4,409,808","-4,526,447","-4,047,939","-4,422,028","-3,414,241","-3,979,223","-1,686,481","-3,139,531","-98,239","-597,454","-255,491","-130,836","-88,511","-18,133","-127,736",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-8.821,-10.972,-25.291,-317.977,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-2,149,381","-5,081,563","-3,256,818","-4,027,379","-5,279,034","-5,092,023","-4,858,044","-5,465,968","-4,928,758","-4,684,595","-3,455,901","-2,957,246","-2,352,374","-350,835","-448,211",-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"16,031","32,353","32,164","31,655","31,218","30,970","29,640","29,505","24,802","22,698","21,601","28,988","7,535","4,693","1,254",-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-2,165,412","-5,113,916","-3,288,982","-4,059,034","-5,310,252","-5,122,993","-4,887,684","-5,495,473","-4,953,560","-4,707,293","-3,477,502","-2,986,234","-2,359,909","-355,528","-449,465","-379,001","-239,491","-91,605","-16,509","-155,009",Financials in USD,Fiscal year is January - December
