Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"26,082,000","14,417,000","13,794,000","10,891,000","10,533,000","11,017,000","12,134,000","13,676,000","13,160,000","7,674,000","5,333,000","2,533,000","2,534,000","2,549,000","2,562,000","2,691,000","1,025,000","186,000","60,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),147.622%,30.861%,13.681%,-20.364%,-19.962%,43.563%,127.527%,439.913%,419.337%,201.059%,108.158%,-5.871%,147.220%,1270.430%,4170.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"86,679,000","83,127,000","78,726,000","79,363,000","80,884,000","64,442,000","59,125,000","54,820,000","56,245,000","52,666,000","40,240,000","48,292,000","33,246,000","29,624,000","24,109,000","20,698,000","16,535,000","13,244,000","12,842,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-60,597,000","-68,710,000","-64,932,000","-68,472,000","-70,351,000","-53,425,000","-46,991,000","-41,144,000","-43,085,000","-44,992,000","-34,907,000","-45,759,000","-30,712,000","-27,075,000","-21,547,000","-18,007,000","-15,510,000","-13,058,000","-12,782,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","37,757,000","31,833,000","31,300,000","31,646,000","29,199,000","28,290,000","21,705,000","22,644,000","19,488,000","21,199,000","21,074,000","19,201,000","15,690,000","13,854,000","8,937,000","7,574,000","6,964,000","5,159,000","5,561,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"37,757,000","31,833,000","31,300,000","31,646,000","29,199,000","28,290,000","21,705,000","22,644,000","19,488,000","21,199,000","21,074,000","19,201,000","15,690,000","13,854,000","8,937,000","7,574,000","6,964,000","5,159,000","5,561,000",Financials in USD,Fiscal year is January - December
Operating Income,"-98,354,000","-100,543,000","-96,232,000","-100,118,000","-99,550,000","-81,715,000","-68,696,000","-63,788,000","-62,573,000","-66,191,000","-55,981,000","-64,960,000","-46,402,000","-40,929,000","-30,484,000","-25,581,000","-22,474,000","-18,217,000","-18,343,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-553,000","-394,000","-20,000","-26,000","-25,000","-26,000","-19,000","-13,000","-13,000","-14,000","-14,000","-21,000","-220,000","-2,501,000","-249,000","-231,000","-401,000","-426,000","-301,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,826,000","3,266,000","4,048,000","4,522,000","4,977,000","4,957,000","4,660,000","3,682,000","1,833,000","652,000","87,000","19,000","50,000","29,000","16,000","46,000","46,000","24,000","220,000",Financials in USD,Fiscal year is January - December
