Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"106,399,000","86,455,000","7,686,000","6,308,000","1,114,200,000","6,868,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),837.601%,1024.837%,21.845%,-99.434%,16123.063%,-92.392%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"265,555,000","358,394,000","326,976,000","283,719,000","293,279,000","369,215,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-159,156,000","-271,939,000","-319,290,000","-277,411,000","820,921,000","-362,347,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","216,884,000","274,524,000","227,699,000","183,498,000","196,952,000","345,777,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-3,577,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"213,307,000","274,524,000","227,699,000","183,498,000","196,952,000","345,777,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-372,463,000","-546,463,000","-546,989,000","-460,909,000","623,969,000","-708,124,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"34,744,000","38,743,000","14,190,000","2,883,000","9,597,000","27,804,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-88,000","-383,000","15,000","134,000","250,000","82,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-337,807,000","-508,103,000","-532,784,000","-457,892,000","633,816,000","-680,238,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"213,000","-33,386,000",-,-,"-27,743,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-337,594,000","-541,489,000","-532,784,000","-457,892,000","606,073,000","-680,238,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-337,594,000","-541,489,000","-532,784,000","-457,892,000","606,073,000","-680,238,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-337,594,000","-541,489,000","-532,784,000","-457,892,000","606,073,000","-680,238,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"60,445,932","59,836,441","59,306,094","58,670,230","51,983,188","50,833,837",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"60,445,932","59,836,441","59,306,094","58,670,230","53,003,115","50,833,837",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.226%,0.894%,1.084%,10.692%,4.267%,10.218%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.585,-9.049,-8.984,-7.805,11.659,-13.382,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.585,-9.049,-8.984,-7.805,11.430,-13.382,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-320,041,000","-541,138,000","-460,973,000","-378,554,000","663,935,000","-534,457,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-5.295,-9.044,-7.773,-6.452,12.526,-10.514,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-149.584%,-,-,-,73.678%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-350.063%,-632.078%,-7116.693%,-7306.737%,56.002%,-10310.483%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-317.291%,-626.325%,-6931.876%,-7258.909%,54.395%,-9904.455%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-300.793%,-625.919%,-5997.567%,-6001.173%,59.588%,-7781.843%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-371,152,000","-545,070,000","-545,867,000","-456,727,000","626,599,000","-705,841,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,56.237%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,311,000","1,393,000","1,122,000","4,182,000","2,630,000","2,283,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-372,463,000","-546,463,000","-546,989,000","-460,909,000","623,969,000","-708,124,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,56.002%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"106,399,000","86,455,000","7,686,000","6,308,000","1,114,200,000","6,868,000",Upgrade,Financials in USD,Fiscal year is January - December
