Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Cost of Revenue,"67,838,000","89,423,000","68,032,000","24,813,000","3,053,000","1,568,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-67,838,000","-89,423,000","-68,032,000","-24,813,000","-3,053,000","-1,568,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","76,710,000","16,534,000","11,988,000","8,055,000","3,739,000","3,391,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"76,710,000","16,534,000","11,988,000","8,055,000","3,739,000","3,391,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-144,548,000","-105,957,000","-80,020,000","-32,868,000","-6,792,000","-4,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,289,000","7,833,000","2,777,000","49,000","112,000","328,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"108,795,000","907,000","997,000","434,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-27,464,000","-97,217,000","-76,246,000","-32,385,000","-6,680,000","-4,631,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"346,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,664,000","-97,217,000","-76,246,000","-32,385,000","-6,334,000","-4,631,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,664,000","-97,217,000","-76,246,000","-32,385,000","-6,334,000","-4,631,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,664,000","-97,217,000","-76,246,000","-32,385,000","-6,334,000","-4,631,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"44,848,750","41,932,000","40,202,000","39,405,000","26,105,000","17,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"44,848,750","41,932,000","40,202,000","39,405,000","26,105,000","17,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.864%,4.303%,2.023%,50.948%,49.925%,63.003%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.394,-2.318,-1.897,-0.822,-0.243,-0.266,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.373,-2.318,-1.897,-0.822,-0.243,-0.266,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-78,067,000","-82,439,000","-80,226,000","-52,410,000","-5,382,000","-2,532,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.741,-1.966,-1.996,-1.330,-0.206,-0.145,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-143,320,000","-104,427,000","-78,719,000","-32,334,000","-6,770,000","-4,901,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,228,000","1,530,000","1,301,000","534,000","22,000","58,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-144,548,000","-105,957,000","-80,020,000","-32,868,000","-6,792,000","-4,959,000",Upgrade,Financials in USD,Fiscal year is January - December
