Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"32,959,492","24,092,787","4,345,603","228,426","71,410","21,121",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),61.944%,454.418%,1802.412%,219.880%,238.100%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"22,814,701","15,753,616","2,649,028","117,830","25,847","11,050",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"10,144,791","8,339,171","1,696,575","110,596","45,563","10,071",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,950,027","10,829,756","9,478,352","1,865,780","606,643","622,729",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,600,958","1,855,830","811,858","672,209","1,728","15,204",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"354,961","289,737","55,233",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"15,106,411","13,124,470","10,370,606","2,550,730","622,437","651,707",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,961,620","-4,785,299","-8,674,031","-2,440,134","-576,874","-641,636",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-30,355","-137,308","-39,412","-328,818","-168,105","-115,901",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"584,311","811,974","518,650",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"295,882",-245,-476,50,"4,891","-15,099",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"3,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,111,782","-4,110,878","-8,195,269","-2,768,902","-737,088","-772,636",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-18,326,719",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"10,852","-9,667,545","-2,047,003","-305,418",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,111,782","-4,110,878","-26,511,136","-12,436,447","-2,784,091","-1,078,054",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"114,146","395,166","233,304",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-4,225,928","-4,506,044","-26,744,440","-12,436,447","-2,784,091","-1,078,054",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,"-582,237",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,225,928","-4,506,044","-26,744,440","-12,436,447","-2,784,091","-1,660,291",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,225,928","-4,506,044","-26,744,440","-12,436,447","-2,784,091","-1,660,291",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"166,951","12,166",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"166,951","12,166",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-25.312,-370.380,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-26.013,-380.000,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,985,666","-8,857,362","-5,442,340","-1,829,128","-658,490","-496,658",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-77.781,-728.042,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,30.779%,34.613%,39.041%,48.416%,63.805%,47.682%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-15.054%,-19.862%,-199.605%,-1068.238%,-807.834%,-3037.905%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-12.822%,-18.703%,-615.437%,-5444.410%,-3898.741%,-7860.854%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-39.399%,-36.764%,-125.238%,-800.753%,-922.126%,-2351.489%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-4,761,139","-4,636,152","-8,648,868","-2,427,393","-562,808","-627,862",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-14.445%,-19.243%,-199.026%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"200,481","149,147","25,163","12,741","14,066","13,774",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,961,620","-4,785,299","-8,674,031","-2,440,134","-576,874","-641,636",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-15.054%,-19.862%,-199.605%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
