Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","2,972,000","4,505,000","5,296,000","7,625,000","16,687,000","9,706,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,822,000","5,210,000","5,765,000","3,249,000","51,463,000","68,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-9,000","-9,000",-,"-12,000","-75,484,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,785,000","9,706,000","11,061,000","10,862,000","-7,334,000","78,351,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,198,000","-9,706,000","-11,061,000","-10,862,000","7,334,000","-78,351,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,975,000",-,-,-,"-1,122,000","-14,749,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"123,000","3,051,000","3,152,000","2,000","4,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-933,000","-933,000","1,524,000","-487,000","1,714,000","-4,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"18,802,000","4,016,000","690,000","-9,000","-12,383,000","-11,725,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"4,696,000","-6,500,000","-5,796,000","-8,206,000","-4,455,000","-109,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"4,696,000","-6,500,000","-5,796,000","-8,206,000","-4,455,000","-109,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"4,696,000","-6,500,000","-5,796,000","-8,206,000","-4,455,000","-109,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"4,696,000","-6,500,000","-5,796,000","-8,206,000","-4,455,000","-109,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"572,518","390,657","188,519","141,144","110,815","81,663",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"572,518","390,657","188,519","141,144","110,815","81,663",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),57.220%,107.224%,33.565%,27.369%,35.698%,24.953%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),8.202,-16.639,-30.745,-58.139,-40.202,-1337.129,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),8.202,-16.639,-40.000,-80.000,-40.202,-1337.129,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,730,000","-10,019,000","-8,101,000","-7,565,000","-78,671,000","-84,487,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-11.755,-25.647,-42.972,-53.598,-709.931,-1034.581,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,964,000","-9,192,000","-10,499,000","-10,391,000","8,840,000","-76,706,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,234,000","514,000","562,000","471,000","1,506,000","1,645,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-8,198,000","-9,706,000","-11,061,000","-10,862,000","7,334,000","-78,351,000",Upgrade,Financials in USD,Fiscal year is January - December
