Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"8,566,000","140,141,000","5,091,000","13,163,000",-,"121,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-93.695%,2652.720%,-61.323%,-,-,-52.918%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,684,000","15,624,000","628,000","312,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-6,118,000","124,517,000","4,463,000","12,851,000",-,"121,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","14,134,000","20,920,000","62,961,000","49,916,000","14,627,000","10,648,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"32,677,000","30,928,000","27,259,000","23,773,000","36,522,000","38,394,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"46,811,000","51,848,000","90,220,000","73,689,000","51,149,000","49,042,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-52,929,000","72,669,000","-85,757,000","-60,838,000","-51,149,000","-48,921,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,479,000","-6,124,000","-6,787,000","-3,963,000","-2,382,000","-2,157,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,786,000","3,954,000","1,415,000","24,000","189,000","805,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"13,647,000","-3,320,000","23,620,000","31,548,000","-2,625,000","-2,392,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-36,975,000","67,179,000","-67,509,000","-33,229,000","-55,967,000","-52,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,"-600,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"800,000",-,-,"-2,725,000","-1,766,000","-1,045,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-36,175,000","67,179,000","-67,509,000","-35,954,000","-58,333,000","-53,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"266,000","138,000","-4,700,000","-3,088,000","-3,148,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-36,441,000","67,041,000","-62,809,000","-32,866,000","-55,185,000","-53,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-36,441,000","67,041,000","-62,809,000","-32,866,000","-55,185,000","-53,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-36,441,000","67,041,000","-62,809,000","-32,866,000","-55,185,000","-53,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,325,455","47,852,833","42,613,510","26,384,713","10,720,211","5,608,138",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,325,455","48,390,582","42,613,510","26,384,713","10,720,211","5,608,138",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-1.250%,13.557%,61.508%,146.121%,91.155%,27.795%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.754,1.401,-1.474,-1.246,-5.148,-9.577,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.781,1.390,-1.474,-1.250,-5.148,-9.577,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,837,000","60,159,000","-79,883,000","-54,560,000","-49,358,000","-38,119,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.452,1.243,-1.875,-2.068,-4.604,-6.797,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-71.422%,88.851%,87.665%,97.630%,-,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-617.896%,51.854%,-1684.482%,-462.189%,-,-40430.579%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-425.414%,47.838%,-1233.726%,-249.685%,-,-44388.430%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-254.926%,42.927%,-1569.102%,-414.495%,-,-31503.306%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-52,365,000","73,249,000","-85,151,000","-60,459,000","-51,038,000","-48,810,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,52.268%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"564,000","580,000","606,000","379,000","111,000","111,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-52,929,000","72,669,000","-85,757,000","-60,838,000","-51,149,000","-48,921,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,51.854%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,0.205%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"8,566,000","140,141,000","5,091,000","13,163,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
