Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
Revenue,"176,000","343,500","343,500","33,000",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"176,000","343,500","343,500","33,000",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,894,000","3,027,000","3,027,000","2,792,000","1,915,000","1,915,000",Financials in USD,Fiscal year is January - December
Research & Development,"17,832,000","14,094,000","14,094,000","9,281,000","8,186,000","8,186,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"22,726,000","17,121,000","17,121,000","12,073,000","10,101,000","10,101,000",Financials in USD,Fiscal year is January - December
Operating Income,"-22,550,000","-16,777,500","-16,777,500","-12,040,000","-10,101,000","-10,101,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,900,000","1,404,500","1,404,500","1,096,000","217,500","217,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-9,000","-31,500","-31,500","-1,000","-1,000","-1,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-20,659,000","-15,404,500","-15,404,500","-10,945,000","-9,884,500","-9,884,500",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-136,000","-101,000","-101,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-20,523,000","-15,303,500","-15,303,500","-10,945,000","-9,884,500","-9,884,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,523,000","-15,303,500","-15,303,500","-10,945,000","-9,884,500","-9,884,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,443,678","2,284,456","2,284,456","2,007,620","1,788,072","1,788,072",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,443,678","2,284,456","2,284,456","2,007,620","1,788,072","1,788,072",Financials in USD,Fiscal year is January - December
Shares Change (YoY),36.666%,27.761%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-8.398,-6.699,-6.699,-5.452,-5.528,-5.528,Financials in USD,Fiscal year is January - December
EPS (Diluted),-8.398,-6.716,-6.716,-5.452,-5.528,-5.528,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,392,000","-15,305,500","-15,305,500","-10,329,000","-10,618,000","-10,618,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-7.117,-6.700,-6.700,-5.145,-5.938,-5.938,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-12812.500%,-4884.279%,-4884.279%,-36484.848%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-11660.795%,-4455.167%,-4455.167%,-33166.667%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-9881.818%,-4455.750%,-4455.750%,-31300.000%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-22,186,000","-16,453,000","-16,453,000","-11,807,000","-9,915,000","-9,915,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"364,000","324,500","324,500","233,000","186,000","186,000",Financials in USD,Fiscal year is January - December
EBIT,"-22,550,000","-16,777,500","-16,777,500","-12,040,000","-10,101,000","-10,101,000",Financials in USD,Fiscal year is January - December
