Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,"3,157,500","3,153,500","591,500","3,464,753",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2454.550%,433.136%,-82.928%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"6,021,270","2,387,270","1,573,085","3,798,593",Financials in USD,Fiscal year is January - December
Gross Profit,"-2,863,770","766,230","-981,585","-333,840",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,392,881","3,893,881","1,288,783","1,297,668",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,392,881","3,893,881","1,288,783","1,297,668",Financials in USD,Fiscal year is January - December
Operating Income,"-11,256,651","-3,127,651","-2,270,368","-1,631,508",Financials in USD,Fiscal year is January - December
Interest Expense,"-685,082","-558,082","-15,878","-3,094",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"283,160","283,160","1,757","10,859",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"10,393,766","1,076,766","-123,034","205,287",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,264,807","-2,325,807","-2,407,523","-1,418,456",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"-7,585","-6,452",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-26,928",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-6,138,339","7,595,661","-267,000","187,133",Financials in USD,Fiscal year is January - December
Pretax Income,"-7,403,146","5,269,854","-2,682,108","-1,264,703",Financials in USD,Fiscal year is January - December
Net Income,"-7,349,146","5,269,854","-2,682,108","-1,264,703",Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,349,146","5,269,854","-2,682,108","-1,264,703",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,736,877","2,288,377","2,145,002","2,144,800",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,736,877","4,005,072","2,145,002","2,144,800",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-7.431%,86.716%,0.009%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.281,2.303,-1.250,-0.590,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.281,1.455,-1.250,-0.590,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,515,052","-2,981,052","-2,085,306","-2,335,704",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.182,-0.744,-0.972,-1.089,Financials in USD,Fiscal year is January - December
Gross Margin,-90.697%,24.298%,-165.948%,-9.635%,Financials in USD,Fiscal year is January - December
Operating Margin,-356.505%,-99.180%,-383.832%,-47.089%,Financials in USD,Fiscal year is January - December
Profit Margin,-232.752%,167.111%,-453.442%,-36.502%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-396.360%,-94.532%,-352.545%,-67.413%,Financials in USD,Fiscal year is January - December
EBITDA,"-11,113,904","-3,038,904","-2,209,096","-1,598,140",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-96.366%,-,-46.126%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"142,747","88,747","61,272","33,368",Financials in USD,Fiscal year is January - December
EBIT,"-11,256,651","-3,127,651","-2,270,368","-1,631,508",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-99.180%,-,-47.089%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"3,157,500","3,153,500","591,500","3,464,753",Financials in USD,Fiscal year is January - December
