Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2018,2017 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '18 Dec 31, 2018",2017 - 2014,,
"Selling, General & Admin","3,859,030","2,375,289","1,405,566","721,184","347,750","531,060",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,342,836","3,517,093","1,148,712","1,021,808","161,772","55,572",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,201,866","5,892,382","2,554,278","1,742,992","509,522","586,632",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,201,866","-5,892,382","-2,554,278","-1,742,992","-509,522","-586,632",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,628,676","-2,491,018","-969,889","-50,788","-39,630","-30,916",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"60,532","79,117",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"334,473","2,112,243","94,025","579,146","-256,580",-951,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,435,537","-6,192,040","-3,430,142","-1,214,634","-805,732","-618,499",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"82,210","76,538",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-833,501","-477,221","401,694","62,500",-,"-7,640",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,186,828","-6,592,723","-3,028,448","-1,152,134","-805,732","-626,139",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-9,186,828","-6,592,723","-3,028,448","-1,152,134","-805,732","-626,139",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"71,009","103,062","103,062",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,186,828","-6,592,723","-3,099,457","-1,255,196","-908,794","-626,139",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,141,956","1,864,936","1,293,881","1,162,719","1,161,441","1,022,249",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,141,956","1,864,936","1,293,881","1,162,719","1,161,441","1,022,249",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.586%,44.135%,11.281%,0.110%,13.616%,14.557%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.289,-3.535,-2.395,-1.080,-0.782,-0.613,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.289,-3.535,-2.395,-1.080,-0.782,-0.613,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,699,242","-5,600,193","-2,710,454","-300,336","-37,649","-566,692",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.661,-3.003,-2.095,-0.258,-0.032,-0.554,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-7,196,216","-5,885,571","-2,548,306","-1,736,774","-503,740","-568,632",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,650","6,811","5,972","6,218","5,782","18,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-7,201,866","-5,892,382","-2,554,278","-1,742,992","-509,522","-586,632",Upgrade,Financials in USD,Fiscal year is January - December
