Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","49,197,000","10,889,000","8,472,000","4,140,000","3,318,000","3,169,000","2,854,000","2,402,000","2,332,000","2,467,000","2,643,000","2,596,000","2,767,000","2,464,000","2,979,000","2,251,000","2,256,000","2,248,000","2,003,000","1,608,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"30,138,000","12,342,000","14,602,000","8,689,000","6,043,000","5,141,000","5,316,000","3,810,000","3,771,000","3,696,000","3,988,000","3,734,000","4,968,000","5,587,000","7,164,000","5,566,000","4,827,000","6,103,000","6,695,000","5,272,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"79,335,000","23,231,000","23,074,000","12,829,000","9,361,000","8,310,000","8,170,000","6,212,000","6,103,000","6,163,000","6,631,000","6,330,000","7,735,000","8,051,000","10,143,000","7,817,000","7,083,000","8,351,000","8,698,000","6,880,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-79,335,000","-23,231,000","-23,074,000","-12,829,000","-9,361,000","-8,310,000","-8,170,000","-6,212,000","-6,103,000","-6,163,000","-6,631,000","-6,330,000","-7,735,000","-8,051,000","-10,143,000","-7,817,000","-7,083,000","-8,351,000","-8,698,000","-6,880,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,596,000","3,014,000","2,077,000","2,144,000","174,000","147,000","113,000","125,000","101,000","52,000","22,000","34,000","34,000","41,000","1,000",-,"1,000","1,000","11,000","21,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"470,000","-653,000","1,000",-,"-1,000","2,000","2,000","27,000","139,000","112,000","56,000","201,000","5,105,000","-689,000","3,808,000","3,413,000","-7,894,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-75,739,000","-20,217,000","-20,997,000","-10,215,000","-9,840,000","-8,162,000","-8,057,000","-6,088,000","-6,000,000","-6,109,000","-6,582,000","-6,157,000","-7,589,000","-7,954,000","-9,941,000","-2,712,000","-7,771,000","-4,542,000","-5,274,000","-14,753,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-877,000","-1,637,000","-401,000","-1,081,000","-1,021,000","-313,000","-299,000","602,000","-132,000","-616,000","858,000","3,329,000","-551,000","-3,034,000","987,000","-140,000","-774,000","-2,842,000","-584,000","128,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-76,616,000","-21,854,000","-21,398,000","-11,296,000","-10,861,000","-8,475,000","-8,356,000","-5,486,000","-6,132,000","-6,725,000","-5,724,000","-2,828,000","-8,140,000","-10,988,000","-8,954,000","-2,852,000","-8,545,000","-7,384,000","-5,858,000","-14,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-76,616,000","-21,854,000","-21,398,000","-11,296,000","-10,861,000","-8,475,000","-8,356,000","-5,486,000","-6,132,000","-6,725,000","-5,724,000","-2,828,000","-8,140,000","-10,988,000","-8,954,000","-2,852,000","-8,545,000","-7,384,000","-5,858,000","-14,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-76,616,000","-21,854,000","-21,398,000","-11,296,000","-10,861,000","-8,475,000","-8,356,000","-5,486,000","-6,132,000","-6,725,000","-5,724,000","-2,828,000","-8,140,000","-10,988,000","-8,954,000","-2,852,000","-8,545,000","-7,384,000","-5,858,000","-14,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-76,616,000","-21,854,000","-21,398,000","-11,296,000","-10,861,000","-8,475,000","-8,356,000","-5,486,000","-6,132,000","-6,725,000","-5,724,000","-2,828,000","-8,140,000","-10,988,000","-8,954,000","-2,852,000","-8,545,000","-7,384,000","-5,858,000","-14,625,000",Upgrade,Financials in USD,Fiscal year is January - December
