Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"16,000,000",-,-,"139,709,000","1,517,000","1,517,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,9109.558%,0%,0%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-48,194,000",-,-,"139,709,000","1,517,000","1,517,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","105,968,000","66,922,000","33,258,000","25,241,000","22,505,000","16,062,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"167,050,000","163,032,000","118,499,000","88,248,000","50,435,000","42,994,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"273,018,000","229,954,000","151,757,000","113,489,000","72,940,000","59,056,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-321,212,000","-229,954,000","-151,757,000","26,220,000","-71,423,000","-57,539,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-186,000","-208,000","-3,137,000","-1,899,000","-2,357,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"24,532,000","21,163,000","5,872,000","403,000","841,000","1,571,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-196,000","-361,000","-316,000","202,000","-219,000","-79,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-297,062,000","-209,360,000","-149,338,000","24,926,000","-73,158,000","-56,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-297,062,000","-209,360,000","-149,338,000","24,926,000","-73,158,000","-56,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-297,062,000","-209,360,000","-149,338,000","24,926,000","-73,158,000","-56,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"3,906,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-297,062,000","-209,360,000","-149,338,000","24,926,000","-77,064,000","-56,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"82,116,848","70,370,519","60,760,906","52,064,809","41,308,242","30,490,783",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"82,116,848","70,370,519","60,760,906","53,622,904","41,308,242","30,490,783",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),20.690%,15.815%,13.311%,29.812%,35.478%,20.177%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.618,-2.975,-2.458,0.479,-1.866,-1.838,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.622,-2.980,-2.460,0.460,-1.870,-1.840,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-258,864,000","-160,601,000","-133,675,000","29,002,000","-71,260,000","-50,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.152,-2.282,-2.200,0.541,-1.725,-1.660,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2007.575%,-,-,18.768%,-4708.174%,-3792.947%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1856.638%,-,-,17.841%,-5080.026%,-3694.595%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1617.900%,-,-,20.759%,-4697.429%,-3336.322%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-321,201,000","-229,942,000","-151,724,000","26,263,000","-71,334,000","-57,447,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,18.798%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"11,000","12,000","33,000","43,000","89,000","92,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-321,212,000","-229,954,000","-151,757,000","26,220,000","-71,423,000","-57,539,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,18.767%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"16,000,000",-,-,"139,709,000","1,517,000","1,517,000",Upgrade,Financials in USD,Fiscal year is January - December
