Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"12,500,000","3,500,000",-,-,-,-,-,-,-,-,-,"126,576,000","12,375,000","379,000","379,000","379,000","379,000","379,000","379,000","379,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,33297.361%,3165.172%,0%,0%,0%,0%,0%,0%,0%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"65,085,000","44,337,000",-,-,"35,234,000","31,066,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-52,585,000","-40,837,000",-,-,"-35,234,000","-31,066,000",-,-,-,-,-,"126,576,000","12,375,000","379,000","379,000","379,000","379,000","379,000","379,000","379,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","31,106,000","29,061,000","23,022,000","22,779,000","17,268,000","14,914,000","11,961,000","10,192,000","8,240,000","7,990,000","6,836,000","6,927,000","6,801,000","5,842,000","5,672,000","4,718,000","5,824,000","6,046,000","5,917,000","5,082,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,886,000","4,318,000","56,492,000","55,126,000","3,853,000","3,698,000","34,054,000","31,841,000","26,901,000","29,734,000","30,022,000","23,900,000","25,606,000","16,871,000","21,870,000","15,522,000","14,408,000","10,943,000","9,562,000","9,502,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"36,992,000","33,379,000","79,514,000","77,905,000","21,121,000","18,612,000","46,015,000","42,033,000","35,141,000","37,724,000","36,858,000","30,827,000","32,407,000","22,713,000","27,542,000","20,240,000","20,232,000","16,989,000","15,479,000","14,584,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-89,577,000","-74,216,000","-79,514,000","-77,905,000","-56,355,000","-49,678,000","-46,015,000","-42,033,000","-35,141,000","-37,724,000","-36,858,000","95,749,000","-20,032,000","-22,334,000","-27,163,000","-19,861,000","-19,853,000","-16,610,000","-15,100,000","-14,205,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-23,000","-45,000","-55,000","-63,000","-70,000","-35,000","-40,000","-43,000","-1,748,000","-695,000","-651,000",-,"-649,000","-634,000","-623,000","-635,000","-635,000","-638,000","-449,000",-,Upgrade,Financials in USD,Fiscal year is January - December
