Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,-,"2,342","117,029","244,812","130,440","206,929","257,178","366,068","166,140","228,640","188,063","275,653","186,198","214,824","147,593","320,794","608,811","505,288","924,552","685,261",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-98.868%,-54.495%,-33.124%,-21.488%,-9.496%,36.751%,32.800%,-10.772%,6.431%,27.420%,-14.072%,-69.416%,-57.485%,-84.036%,-53.187%,-51.485%,-67.295%,-19.238%,-32.472%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,"2,342","117,029","221,546","110,441","184,021","226,040","135,865","129,440","193,304","92,213","235,698","166,265","204,317","122,360","241,464","386,641","363,339","829,506","587,224",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"23,266","19,999","22,908","31,138","230,203","36,700","35,336","95,850","39,955","19,933","10,507","25,233","79,330","222,170","141,949","95,046","98,037",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","896,547","1,243,517","1,022,051","1,383,603","973,040","890,533","1,235,376","1,442,394","1,326,249","1,382,793","2,541,468","1,849,583","1,147,279","1,062,558","949,318","1,905,975","768,420","785,776","868,667","1,048,362",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"968,689","501,158","1,095,040","777,534","826,015","762,699","946,451","2,357,787","1,791,695","2,047,839","1,746,768","2,702,155","2,237,565","1,936,608","1,309,522","3,659,424","1,266,527","2,170,045","7,700,171","2,359,143",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,865,236","1,744,675","2,117,091","2,161,137","1,799,055","1,653,232","2,181,827","3,800,181","3,117,944","3,430,632","4,288,236","4,551,738","3,384,844","2,999,166","2,258,840","5,565,399","2,034,947","2,955,821","8,568,838","3,407,505",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,865,236","-1,744,675","-2,117,091","-2,137,871","-1,779,056","-1,630,324","-2,150,689","-3,569,978","-3,081,244","-3,395,296","-4,192,386","-4,511,783","-3,364,911","-2,988,659","-2,233,607","-5,486,069","-1,812,777","-2,813,872","-8,473,792","-3,309,468",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-60,194","-103,568","-180,843","-215,146","-214,908","-211,714","-227,990","-227,271","-235,736","-213,505","-35,332",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"78,836","35,925","28,842","48,270","66,363",-,-,-,-,-,-,-,-,-,-,-,486,"2,017","21,947","23,501",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),575,473,"1,209","1,173","-3,046","3,722",-366,"-4,543","-12,613","94,900","-108,293","-16,977","-66,967","17,330","27,253","11,080","-7,647","-3,583","-23,232","-19,288",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"66,444","63,775","171,713","-338,073","53,037","468,563","47,317","1,809",-,"-26,391","163,372","52,874","71,598","23,671","57,381","-29,944","29,778","38,675","56,850","433,594",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,719,381","-1,644,502","-1,915,327","-2,426,501","-1,662,702","-1,218,233","-2,207,306","-3,753,555","-3,309,003","-3,541,695","-4,349,021","-4,703,876","-3,587,551","-3,183,394","-2,362,478","-5,540,265","-1,790,160","-2,776,763","-8,418,227","-2,871,661",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-393,791",-,-,-,-,-,-,-,"421,584",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,719,381","-1,644,502","-1,915,327","-2,426,501","-1,662,702","-1,612,024","-2,207,306","-3,753,555","-3,309,003","-3,541,695","-4,349,021","-4,703,876","-3,587,551","-2,761,810","-2,362,478","-5,540,265","-1,790,160","-2,776,763","-8,418,227","-2,871,661",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-606,606",-,-,"-1,161,197",-,-,"-1,154,935",-,-,-,"-864,742",-,-,-,-,"-836,893",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,719,381","-1,644,502","-1,915,327","-1,819,895","-1,662,702","-1,612,024","-1,046,109","-3,753,555","-3,309,003","-2,386,760","-4,349,021","-4,703,876","-3,587,551","-1,897,068","-2,362,478","-5,540,265","-1,790,160","-2,776,763","-7,581,334","-2,871,661",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,719,381","-1,644,502","-1,915,327","-1,819,895","-1,662,702","-1,612,024","-1,046,109","-3,753,555","-3,309,003","-2,386,760","-4,349,021","-4,703,876","-3,587,551","-1,897,068","-2,362,478","-5,540,265","-1,790,160","-2,776,763","-7,581,334","-2,871,661",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,203,929","1,258,985","657,577","650,540","648,860","453,035","182,183","180,260","179,516","179,219","178,834","178,735","169,575","166,976","153,409","125,128","123,218","112,091","97,521","86,969",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,203,929","1,258,985","657,577","650,540","648,860","453,035","182,183","180,260","179,516","179,219","178,834","178,735","169,575","166,976","153,409","125,128","123,218","112,091","97,521","86,969",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),239.662%,177.900%,260.943%,260.890%,261.450%,152.783%,1.873%,0.853%,5.862%,7.332%,16.573%,42.842%,37.622%,48.965%,57.309%,43.877%,47.163%,45.914%,29.460%,17.710%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.780,-1.306,-2.913,-2.798,-2.562,-3.558,-5.742,-20.823,-18.433,-13.318,-24.319,-26.318,-21.156,-11.361,-15.400,-44.277,-14.528,-24.772,-77.741,-33.019,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.780,-1.306,-2.913,-2.798,-2.562,-3.558,-5.742,-20.894,-18.433,-13.318,-24.319,-26.329,-21.600,-11.361,-15.400,-44.277,-14.528,-24.772,-77.741,-33.019,Upgrade,Financials in USD,Fiscal year is January - December
