Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,"2,561,000","4,286,000","2,761,000","566,000","85,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-40.247%,55.234%,387.809%,565.882%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"35,706,000","32,150,000","28,145,000","21,957,000","15,956,000","14,524,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-35,706,000","-29,589,000","-23,859,000","-19,196,000","-15,390,000","-14,439,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","21,151,000","34,853,000","38,225,000","21,250,000","9,304,000","7,343,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"21,151,000","34,853,000","38,225,000","21,250,000","9,304,000","7,343,000",Financials in USD,Fiscal year is January - December
Operating Income,"-56,857,000","-64,442,000","-62,084,000","-40,446,000","-24,694,000","-21,782,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,144,000","2,864,000","1,701,000","11,000","88,000","674,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,330,000","3,301,000","-32,000","-120,000","-46,000","-43,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-53,383,000","-58,277,000","-60,415,000","-40,555,000","-24,652,000","-21,151,000",Financials in USD,Fiscal year is January - December
Asset Writedown,"-584,000","-25,962,000",-,"-22,000","-238,000","-6,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-16,901,000","833,000","10,750,000","-14,742,000","5,028,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-70,868,000","-83,406,000","-49,665,000","-55,319,000","-19,862,000","-21,157,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-70,868,000","-83,406,000","-49,665,000","-55,319,000","-19,862,000","-21,157,000",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-28,000","12,348,000","-8,545,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-70,896,000","-71,058,000","-58,210,000","-55,319,000","-19,862,000","-21,157,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-70,896,000","-71,058,000","-58,210,000","-55,319,000","-19,862,000","-21,157,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,546,609","4,437,222","2,611,079","291,228","1,386,258","1,358,690",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,546,609","4,437,222","2,611,079","291,228","1,386,258","1,358,690",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.855%,69.938%,796.576%,-78.992%,2.029%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-15.593,-16.014,-22.293,-189.951,-14.328,-15.572,Financials in USD,Fiscal year is January - December
EPS (Diluted),-15.593,-16.014,-22.293,-189.951,-14.328,-15.572,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-34,949,000","-64,433,000","-76,270,000","-40,178,000","-25,334,000","-20,374,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-7.687,-14.521,-29.210,-137.961,-18.275,-14.995,Financials in USD,Fiscal year is January - December
Operating Margin,-,-2516.283%,-1448.530%,-1464.904%,-4362.898%,-25625.882%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-2774.619%,-1358.143%,-2003.586%,-3509.187%,-24890.588%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-2515.931%,-1779.515%,-1455.197%,-4475.972%,-23969.412%,Financials in USD,Fiscal year is January - December
EBITDA,"-52,964,000","-60,881,000","-60,686,000","-39,677,000","-24,130,000","-21,355,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,893,000","3,561,000","1,398,000","769,000","564,000","427,000",Financials in USD,Fiscal year is January - December
EBIT,"-56,857,000","-64,442,000","-62,084,000","-40,446,000","-24,694,000","-21,782,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"2,561,000","4,286,000","2,761,000","566,000","85,000",Financials in USD,Fiscal year is January - December
